Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-02-06,LRCX,326.0,323.52,Bearish,1.63,10163.12
2020-02-07,REG,63.54,63.12,Bearish,-0.44,10118.32
2020-02-12,UDR,49.48,49.29,Bearish,-0.81,10036.07
2020-02-26,QRVO,96.83,96.13,Bearish,-1.67,9868.16
2020-03-06,DGX,116.84,112.02,Bearish,-0.73,9795.76
2020-03-23,ULTA,149.45,143.24,Bearish,-12.41,8579.81
2020-04-07,CAG,31.39,30.45,Bearish,-2.59,8357.73
2020-04-13,CXO,54.48,52.05,Bearish,2.25,8546.12
2020-04-23,BLK,481.32,471.2,Bearish,0.19,8562.09
2020-04-29,FAST,37.0,36.74,Bearish,0.69,8620.79
2020-05-06,FLS,27.25,26.65,Bearish,-0.96,8538.29
2020-05-07,AMGN,236.9,233.33,Bearish,0.06,8543.01
2020-05-13,BDX,262.68,261.92,Bearish,0.29,8567.38
2020-05-19,INCY,97.33,94.92,Bearish,-3.03,8307.93
2020-05-28,ADS,52.02,49.0,Bearish,2.77,8538.07
2020-06-01,WM,107.0,106.01,Bearish,-1.33,8424.52
2020-06-10,WMT,121.56,121.16,Bearish,0.74,8487.19
2020-06-17,ZION,37.06,35.93,Bearish,-2.61,8265.43
2020-06-23,WDC,45.36,43.51,Bearish,2.63,8482.59
2020-07-06,ETR,97.84,96.4,Bearish,-0.36,8452.39
2020-07-10,NOW,426.5,422.91,Bearish,5.44,8912.4
2020-07-16,ACN,219.78,219.11,Bearish,-1.02,8821.12
2020-07-21,CCI,171.5,167.53,Bearish,-0.68,8760.88
2020-07-24,CPRT,90.27,89.52,Bearish,-1.4,8638.21
2020-08-06,NEM,71.19,70.11,Bearish,0.16,8651.98
2020-08-12,VFC,65.31,63.72,Bearish,-0.92,8572.64
2020-08-13,SIVB,253.42,249.6,Bearish,-1.69,8427.8
2020-08-26,C,51.66,50.85,Bearish,-1.97,8261.64
2020-08-31,WLTW,205.73,205.53,Bearish,-1.78,8114.75
2020-09-03,HAS,82.65,80.01,Bearish,2.04,8280.64
2020-09-16,KMX,105.69,104.51,Bearish,0.23,8299.9
2020-09-29,ZBH,136.81,133.4,Bearish,-1.75,8154.74
2020-10-06,UAA,12.2,11.69,Bearish,-2.44,7955.68
2020-10-09,CNC,64.99,64.2,Bearish,-0.94,7880.66
2020-10-12,DD,59.42,58.43,Bearish,-0.73,7823.49
2020-10-14,GOOGL,1574.6,1563.44,Bearish,-0.71,7767.93
2020-10-19,DOW,49.33,48.84,Bearish,0.02,7769.5
