Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-21,AMT,233.92,236.73,Bullish,-1.16,9884.41
2020-01-22,QCOM,95.26,92.97,Bearish,0.92,9974.9
2020-01-23,WU,27.54,27.75,Bullish,-1.63,9811.97
2020-01-24,SCHW,48.39,47.15,Bearish,0.52,9863.16
2020-01-27,CHD,71.0,72.38,Bullish,-0.17,9846.75
2020-01-29,MDT,119.75,118.37,Bearish,-0.61,9786.38
2020-01-30,CNC,64.33,63.52,Bearish,0.05,9791.05
2020-01-31,DRI,118.3,116.43,Bearish,1.89,9975.79
2020-02-03,CHRW,72.93,72.01,Bearish,0.62,10037.55
2020-02-04,GL,106.54,107.13,Bullish,2.66,10304.68
2020-02-05,CVS,68.78,70.54,Bullish,-0.23,10281.46
2020-02-06,SYY,75.92,76.62,Bullish,0.55,10337.58
2020-02-07,NOC,363.38,361.42,Bearish,-0.62,10273.44
2020-02-10,GIS,51.9,52.36,Bullish,0.67,10342.05
2020-02-11,AEP,102.0,102.22,Bullish,0.01,10343.07
2020-02-12,NEM,44.1,43.89,Bearish,0.77,10422.36
2020-02-13,PEAK,36.67,37.28,Bullish,1.03,10529.6
2020-02-14,SYK,217.79,221.54,Bullish,0.42,10573.91
2020-02-18,RF,16.42,16.31,Bearish,-0.12,10561.03
2020-02-19,NRG,40.11,39.4,Bearish,0.86,10652.21
2020-02-20,PNR,43.51,44.55,Bullish,0.86,10743.83
2020-02-21,AAPL,79.65,78.26,Bearish,-0.31,10710.58
2020-02-24,CHRW,73.21,72.14,Bearish,0.64,10778.71
2020-02-25,EXR,109.07,107.0,Bearish,-0.93,10678.68
2020-02-26,LB,23.6,22.78,Bearish,-9.4,9675.18
2020-02-28,MKTX,329.67,324.33,Bearish,-7.29,8969.46
2020-03-03,EXPE,96.47,95.19,Bearish,-0.96,8883.7
2020-03-04,NOV,19.43,18.99,Bearish,0.82,8956.83
2020-03-05,CLX,170.27,175.85,Bullish,0.77,9025.6
2020-03-06,ICE,95.13,94.04,Bearish,0.35,9057.06
2020-03-09,KEYS,90.2,89.2,Bearish,-3.31,8757.1
2020-03-12,LOW,91.21,89.92,Bearish,-3.02,8492.5
2020-03-18,HII,150.19,172.36,Bullish,-0.68,8434.76
2020-03-19,XEL,61.53,57.99,Bearish,14.19,9631.35
2020-03-20,LDOS,77.18,72.51,Bearish,0.84,9712.25
2020-03-23,HSY,117.75,111.43,Bearish,-6.34,9096.4
2020-03-24,DRI,45.13,53.89,Bullish,3.16,9383.77
2020-03-25,IFF,98.82,104.57,Bullish,8.27,10159.84
2020-03-27,EXPE,61.92,60.03,Bearish,6.03,10772.71
2020-03-30,WU,19.94,18.91,Bearish,3.41,11140.03
2020-03-31,FCX,6.32,6.75,Bullish,-0.63,11069.86
2020-04-01,MSFT,153.0,152.11,Bearish,-2.24,10822.01
2020-04-02,IR,23.53,23.04,Bearish,-1.91,10615.43
2020-04-03,TMUS,84.56,81.98,Bearish,-1.89,10414.41
2020-04-06,MOS,10.64,11.33,Bullish,-3.15,10085.99
2020-04-07,VMC,107.82,107.92,Bullish,4.45,10534.52
2020-04-08,MO,38.89,40.13,Bullish,1.94,10739.28
2020-04-09,DHR,144.54,145.73,Bullish,1.48,10898.13
2020-04-13,NLOK,19.26,18.86,Bearish,0.52,10954.98
2020-04-14,CE,83.78,81.31,Bearish,2.79,11260.94
2020-04-15,NLOK,18.82,19.7,Bullish,0.89,11361.08
2020-04-16,STE,155.57,150.33,Bearish,-1.31,11211.79
2020-04-17,ALB,60.58,61.47,Bullish,0.0,11211.79
2020-04-20,COST,317.95,312.08,Bearish,3.15,11565.29
2020-04-21,PAYX,64.97,64.02,Bearish,-1.95,11339.42
2020-04-22,K,65.87,64.68,Bearish,-0.58,11274.0
2020-04-23,LVS,45.17,45.96,Bullish,-4.93,10718.26
2020-04-24,AIG,23.14,23.35,Bullish,3.03,11042.5
2020-04-27,KMI,14.5,15.02,Bullish,-0.78,10955.95
2020-04-28,HRL,46.44,47.76,Bullish,3.57,11346.89
2020-04-29,CTVA,26.82,27.05,Bullish,-1.91,11130.15
2020-04-30,COG,21.02,21.62,Bullish,-2.13,10893.11
2020-05-01,ZBH,117.6,116.25,Bearish,1.16,11019.59
2020-05-04,PRGO,52.75,51.27,Bearish,-0.1,11008.97
2020-05-05,A,74.91,76.37,Bullish,1.54,11178.36
2020-05-06,INCY,96.84,96.08,Bearish,0.71,11257.75
2020-05-07,VFC,56.71,57.28,Bullish,-0.36,11217.29
2020-05-08,NSC,171.91,174.75,Bullish,0.65,11289.94
2020-05-11,AMGN,233.07,242.74,Bullish,-2.25,11035.46
2020-05-12,BSX,37.91,36.98,Bearish,2.93,11358.89
2020-05-13,ABMD,191.67,185.6,Bearish,-0.16,11340.98
2020-05-14,A,79.29,81.64,Bullish,0.1,11352.11
2020-05-18,ROL,40.88,39.41,Bearish,0.2,11375.23
2020-05-20,MNST,67.72,69.41,Bullish,-1.19,11240.4
2020-05-21,UNM,14.5,15.06,Bullish,-2.13,11001.09
2020-05-22,CVX,91.45,90.28,Bearish,-0.88,10904.74
2020-05-26,CHTR,515.0,509.85,Bearish,-2.41,10642.1
2020-05-27,TIF,125.74,127.54,Bullish,0.02,10643.76
2020-05-28,ATO,100.9,101.68,Bullish,1.77,10832.42
2020-05-29,NDAQ,116.32,118.46,Bullish,-0.35,10794.28
2020-06-01,PKI,99.97,101.96,Bullish,-0.68,10720.65
2020-06-02,VTR,36.14,37.53,Bullish,6.76,11445.52
2020-06-03,MU,48.04,48.92,Bullish,4.83,11998.35
2020-06-04,DISCA,22.23,23.09,Bullish,2.57,12306.25
2020-06-05,JBHT,119.57,120.74,Bullish,-0.1,12294.16
2020-06-08,PLD,95.7,97.77,Bullish,1.04,12421.79
2020-06-09,DHR,172.37,169.45,Bearish,-1.45,12242.28
2020-06-10,LW,71.34,70.52,Bearish,7.08,13109.02
2020-06-11,KSU,152.04,145.57,Bearish,1.85,13351.04
2020-06-15,EIX,56.37,59.45,Bullish,-0.93,13226.46
2020-06-16,NFLX,425.76,436.13,Bullish,1.35,13404.59
2020-06-18,JKHY,177.22,179.81,Bullish,-0.67,13314.98
2020-06-19,DLR,145.45,139.85,Bearish,-1.7,13088.19
2020-06-23,FCX,11.07,11.08,Bullish,-3.56,12622.46
2020-06-26,CNP,18.03,17.7,Bearish,-3.96,12122.07
2020-06-29,ROP,390.43,385.64,Bearish,-0.79,12025.77
2020-06-30,SCHW,32.6,33.74,Bullish,-1.96,11790.11
2020-07-01,TTWO,138.4,144.11,Bullish,-0.42,11740.52
2020-07-02,CTL,10.0,9.79,Bearish,-0.1,11728.74
2020-07-06,AOS,48.04,48.04,Bullish,0.69,11810.11
2020-07-07,SJM,105.39,106.05,Bullish,-1.15,11674.09
2020-07-08,PYPL,178.89,181.57,Bullish,-0.09,11663.27
2020-07-09,JKHY,182.12,182.3,Bullish,-1.06,11539.94
2020-07-13,KSU,144.83,147.93,Bullish,3.9,11990.21
2020-07-14,MTD,823.68,849.34,Bullish,1.17,12130.35
2020-07-15,HAS,75.4,78.33,Bullish,-0.63,12054.15
2020-07-17,HST,11.26,11.01,Bearish,3.11,12428.78
2020-07-20,V,194.74,198.47,Bullish,-1.76,12210.03
2020-07-21,CXO,51.82,54.43,Bullish,0.28,12244.12
2020-07-22,ESS,214.0,220.83,Bullish,-1.65,12041.51
2020-07-23,TEL,86.48,88.31,Bullish,-0.51,11979.73
2020-07-24,AIV,36.27,35.65,Bearish,-0.65,11902.18
2020-07-27,COG,18.89,17.97,Bearish,-0.27,11869.52
2020-07-28,SIVB,225.0,221.48,Bearish,-3.63,11438.87
2020-07-29,EBAY,55.19,54.53,Bearish,-1.33,11286.35
2020-07-30,GOOGL,1497.97,1538.37,Bullish,-0.61,11217.74
2020-07-31,WRB,61.98,61.75,Bearish,-0.4,11172.43
2020-08-03,ALK,34.09,34.0,Bearish,-0.85,11077.16
2020-08-04,KMX,97.26,99.36,Bullish,0.06,11083.79
2020-08-05,CPRI,15.55,15.64,Bullish,-2.4,10817.84
2020-08-06,MU,50.0,48.7,Bearish,-0.12,10804.51
2020-08-07,LDOS,91.21,93.21,Bullish,1.67,10984.83
2020-08-10,CMG,1180.61,1161.0,Bearish,1.51,11150.82
2020-08-11,FAST,48.18,47.39,Bearish,-1.18,11019.58
2020-08-12,EW,77.0,78.58,Bullish,1.48,11182.96
2020-08-13,NLOK,22.45,22.97,Bullish,-1.12,11057.52
2020-08-14,BSX,39.37,39.16,Bearish,-0.59,10992.51
2020-08-17,WYNN,85.37,83.5,Bearish,2.71,11289.92
2020-08-18,PSX,62.26,61.31,Bearish,0.13,11304.61
2020-08-19,JKHY,184.56,172.22,Bearish,1.46,11470.17
2020-08-20,INFO,82.27,81.83,Bearish,0.41,11517.76
2020-08-21,TIF,126.33,126.01,Bearish,-0.74,11432.81
2020-08-24,EIX,51.36,52.34,Bullish,-0.74,11347.7
2020-08-26,DG,198.74,204.09,Bullish,-2.26,11091.0
2020-08-27,MDT,104.45,106.86,Bullish,0.95,11196.89
2020-08-28,PSX,60.35,61.79,Bullish,-5.46,10585.0
2020-08-31,NEM,66.98,67.28,Bullish,-2.15,10357.81
2020-09-01,HCA,134.35,134.2,Bearish,-2.58,10090.2
2020-09-02,LRCX,345.98,362.7,Bullish,-4.41,9644.85
2020-09-03,JWN,15.7,15.84,Bullish,0.93,9734.54
2020-09-04,PRGO,51.75,50.86,Bearish,3.63,10088.38
2020-09-08,GM,31.72,32.38,Bullish,-0.5,10038.12
2020-09-09,COTY,3.82,3.7,Bearish,1.08,10146.64
2020-09-10,CTVA,28.72,29.14,Bullish,-1.09,10035.97
2020-09-11,DLR,146.58,145.6,Bearish,0.5,10086.49
2020-09-14,GD,146.46,147.47,Bullish,-1.48,9937.23
2020-09-15,TTWO,157.53,160.59,Bullish,-2.36,9703.11
2020-09-17,AIZ,116.59,119.47,Bullish,0.36,9738.02
2020-09-18,ATO,93.19,92.0,Bearish,-1.13,9628.09
2020-09-21,DVN,9.38,9.27,Bearish,1.5,9772.41
2020-09-22,CVS,58.81,58.14,Bearish,1.31,9900.11
2020-09-23,UA,9.9,10.0,Bullish,-2.32,9670.1
2020-09-24,STZ,185.47,181.87,Bearish,-0.42,9629.51
2020-09-25,SHW,684.81,697.45,Bullish,0.19,9647.8
2020-09-28,BBY,107.25,108.44,Bullish,0.13,9660.08
2020-09-30,MAS,55.23,55.13,Bearish,0.95,9752.05
2020-10-01,GPS,17.17,17.87,Bullish,6.01,10337.96
