Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-14,AMGN,235.8,240.0,Bearish,-0.43,9957.2
2020-01-17,EOG,87.07,85.31,Bullish,-1.25,9833.18
2020-01-22,FLIR,55.0,54.29,Bullish,1.03,9934.55
2020-01-24,IPGP,147.89,144.33,Bullish,-3.48,9588.52
2020-01-28,LW,90.11,91.66,Bearish,-0.49,9541.41
2020-01-31,EQIX,604.07,589.73,Bullish,1.86,9719.18
2020-02-11,FISV,123.81,120.71,Bullish,-1.11,9611.08
2020-02-12,CERN,80.52,76.68,Bullish,0.49,9657.8
2020-02-14,LKQ,33.87,33.2,Bullish,0.15,9672.34
2020-02-19,LW,95.98,94.35,Bullish,0.73,9743.17
2020-04-27,CL,71.92,71.03,Bullish,-1.15,9630.75
2020-05-14,KLAC,162.55,176.75,Bearish,0.36,9665.14
2020-05-26,ABT,92.95,89.48,Bullish,1.66,9825.36
2020-06-02,TIF,128.67,117.03,Bullish,-2.36,9593.59
2020-06-03,HSY,137.62,134.22,Bullish,-0.29,9565.63
2020-06-11,PEP,134.22,127.84,Bullish,-0.12,9554.52
2020-06-22,EXPD,73.11,74.58,Bearish,0.01,9555.78
2020-07-09,CPRT,85.37,83.38,Bullish,-0.08,9547.74
2020-07-10,MPC,33.21,36.2,Bearish,2.78,9813.24
2020-07-13,ACN,221.33,215.74,Bullish,2.03,10012.43
2020-07-14,TFX,349.29,362.35,Bearish,-2.42,9770.6
2020-07-22,LEN,68.32,70.93,Bearish,2.44,10008.64
2020-07-28,ATO,102.2,104.6,Bearish,-0.6,9948.6
2020-07-29,KEY,11.95,12.56,Bearish,-0.41,9907.7
2020-08-04,HCA,124.9,128.39,Bearish,-0.58,9850.39
2020-08-06,FB,249.04,265.28,Bearish,-1.65,9687.75
2020-08-11,JNPR,26.1,25.52,Bullish,-0.93,9597.18
2020-08-18,FB,260.95,262.34,Bearish,-0.46,9553.12
2020-08-24,ANET,223.89,218.83,Bullish,0.55,9606.09
2020-08-25,BIIB,276.27,279.03,Bearish,-0.01,9605.06
2020-08-27,KLAC,213.78,204.45,Bullish,1.87,9784.22
2020-09-01,LB,29.33,31.54,Bearish,1.33,9913.98
2020-09-02,IRM,29.93,30.5,Bearish,0.95,10008.0
2020-09-03,CHTR,624.04,608.1,Bullish,-0.99,9908.91
2020-09-23,FTNT,119.46,115.27,Bullish,0.61,9969.33
2020-09-25,LW,62.61,64.89,Bearish,-1.57,9813.14
2020-10-01,ALL,95.1,92.26,Bullish,1.84,9993.63
2020-10-02,HII,137.21,144.13,Bearish,-0.14,9979.26
2020-10-06,CCI,168.75,165.09,Bullish,-0.77,9902.41
2020-10-15,GM,30.99,32.59,Bearish,-1.73,9730.74
2020-10-22,NUE,48.11,49.9,Bearish,0.18,9748.16
