Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-07,CDNS,70.46,71.07,Bullish,1.4,10140.29
2020-01-08,MHK,128.22,127.61,Bearish,1.22,10263.58
2020-01-09,ABC,85.62,86.66,Bullish,0.0,10263.58
2020-01-10,BWA,41.84,41.42,Bearish,-0.19,10243.7
2020-01-13,RCL,133.21,133.11,Bearish,0.33,10277.49
2020-01-14,HES,69.36,70.06,Bullish,0.66,10345.39
2020-01-15,AMGN,240.67,241.7,Bullish,-0.69,10273.63
2020-01-16,TSCO,90.94,91.09,Bullish,1.81,10459.62
2020-01-17,APA,33.08,32.67,Bearish,1.24,10589.8
2020-01-21,JWN,40.29,39.69,Bearish,-0.2,10568.51
2020-01-22,MU,59.52,59.17,Bullish,-1.87,10370.56
2020-01-23,MYL,21.64,22.14,Bullish,-2.24,10138.56
2020-01-24,HSY,154.06,154.68,Bullish,-0.82,10055.01
2020-01-27,LDOS,100.15,100.77,Bearish,-1.03,9951.75
2020-01-28,CCI,150.15,151.73,Bullish,-1.81,9771.46
2020-01-29,LW,91.6,92.05,Bullish,0.64,9834.45
2020-01-30,WBA,52.04,51.95,Bearish,1.66,9998.01
2020-01-31,AON,223.76,220.25,Bullish,1.26,10124.44
2020-02-03,VNO,66.01,65.26,Bearish,-0.96,10027.07
2020-02-04,WMB,21.41,21.48,Bullish,-0.46,9980.97
2020-02-05,SPG,137.27,140.47,Bullish,-0.65,9916.2
2020-02-06,AEE,82.72,83.17,Bullish,0.18,9934.03
2020-02-07,EMN,73.0,72.38,Bearish,-1.46,9789.32
2020-02-10,PRGO,59.84,60.2,Bullish,-0.78,9713.28
2020-02-11,HON,178.25,179.15,Bullish,0.95,9805.28
2020-02-12,SPG,141.99,139.17,Bearish,-1.26,9681.4
2020-02-13,PSA,226.94,228.56,Bullish,1.67,9843.33
2020-02-14,UDR,49.76,50.32,Bullish,0.0,9843.33
2020-02-18,TEL,92.74,91.98,Bearish,-0.98,9746.46
2020-02-19,PRGO,59.21,59.2,Bullish,1.67,9909.37
2020-02-20,BLL,76.43,76.6,Bearish,-0.21,9888.7
2020-02-21,PEG,59.0,59.96,Bullish,-1.0,9789.33
2020-02-24,MOS,18.73,19.41,Bullish,-7.18,9086.51
2020-02-25,EIX,76.41,75.08,Bearish,1.0,9177.3
2020-02-26,IPG,23.26,22.99,Bearish,3.02,9454.91
2020-02-27,XRX,34.87,33.83,Bearish,1.65,9610.85
2020-02-28,CME,206.16,198.82,Bearish,-5.51,9081.06
2020-03-02,FB,194.03,196.44,Bullish,-5.26,8602.99
2020-03-03,CME,209.39,216.07,Bullish,2.72,8837.33
2020-03-04,VLO,65.93,64.15,Bearish,0.64,8894.25
2020-03-05,HES,55.1,54.48,Bearish,5.04,9342.7
2020-03-06,EW,67.51,68.62,Bearish,-0.2,9324.08
2020-03-09,DLTR,75.44,83.51,Bullish,3.5,9650.67
2020-03-11,CERN,67.47,68.35,Bearish,0.51,9699.65
2020-03-16,HPQ,15.72,14.46,Bearish,1.64,9858.67
2020-03-17,CAG,27.65,29.8,Bullish,-6.13,9254.38
2020-03-18,CMG,492.01,465.21,Bearish,-17.61,7624.42
2020-03-19,HPE,8.29,9.11,Bullish,-7.8,7029.78
2020-03-20,GIS,53.0,53.37,Bearish,9.67,7709.39
2020-03-23,SYF,13.28,12.8,Bearish,-6.2,7231.72
2020-03-24,CRM,144.63,153.64,Bullish,-3.67,6965.98
2020-03-25,REGN,443.04,429.78,Bearish,-6.05,6544.77
2020-03-26,ESS,202.1,218.7,Bullish,7.72,7050.25
2020-03-27,ADI,89.26,88.67,Bearish,-1.6,6937.65
2020-03-30,WHR,83.64,87.71,Bullish,-1.3,6847.47
2020-03-31,LHX,180.83,180.12,Bearish,-3.01,6641.24
2020-04-01,IVZ,8.51,8.01,Bearish,-2.49,6475.62
