Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-21,ETR,126.44,127.36,Bullish,-0.09,9991.41
2020-02-10,BLK,553.44,561.1,Bullish,1.13,10104.6
2020-02-21,ROK,203.47,209.37,Bullish,0.91,10196.12
2020-04-03,CME,167.02,173.74,Bullish,1.49,10347.55
2020-05-15,VRSN,212.85,217.25,Bullish,-0.34,10312.4
2020-06-02,ABMD,226.62,230.66,Bullish,1.82,10499.87
2020-07-01,EQR,58.94,60.83,Bullish,-1.77,10314.31
2020-07-10,IRM,26.21,26.74,Bullish,-0.07,10306.64
2020-08-03,ARNC,16.38,17.26,Bullish,4.86,10808.04
2020-08-04,WDC,43.43,44.76,Bullish,-1.22,10676.0
2020-08-05,TXN,130.5,132.7,Bullish,0.87,10768.6
2020-08-07,PCAR,87.06,88.6,Bullish,1.43,10922.99
2020-08-10,PM,77.36,78.37,Bullish,-0.86,10829.45
2020-08-18,MSI,147.58,149.8,Bullish,0.31,10862.66
2020-08-27,FLT,244.73,248.0,Bullish,2.8,11167.01
2020-08-28,FLT,248.05,255.0,Bullish,-1.64,10983.98
2020-10-12,PGR,99.99,101.38,Bullish,-1.07,10866.94
2020-10-26,ABMD,279.22,288.32,Bullish,0.9,10965.07
