Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-04-13,AXP,93.29,90.33,Bearish,3.36,10335.67
2020-04-17,FTV,48.79,50.51,Bullish,-1.33,10198.41
2020-04-22,CTAS,193.6,197.44,Bullish,0.64,10263.26
2020-04-30,FBHS,50.51,48.2,Bearish,1.15,10381.45
2020-06-17,ORCL,53.03,51.52,Bearish,-4.05,9960.96
2020-07-15,CCL,16.13,17.48,Bullish,-4.01,9561.07
2020-08-10,HP,18.56,19.42,Bullish,-3.19,9256.03
2020-09-29,MKC,192.8,189.89,Bearish,-1.42,9124.48
2020-10-26,PFG,42.84,41.99,Bearish,3.22,9418.46
2020-11-04,KEY,13.34,12.54,Bearish,-4.28,9015.45
