Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-21,LRCX,308.19,308.68,Bearish,-0.11,9989.07
2020-01-22,AZO,1155.77,1157.33,Bearish,-1.25,9863.81
2020-01-24,HSIC,71.12,71.2,Bearish,-3.74,9495.22
2020-01-27,SO,69.41,69.74,Bearish,-0.43,9454.38
2020-01-28,EVRG,71.83,72.18,Bearish,-0.01,9453.07
2020-01-30,EQIX,602.7,603.0,Bearish,2.37,9677.47
2020-01-31,AEE,81.81,82.05,Bearish,-0.49,9630.4
2020-02-03,DUK,97.63,97.67,Bearish,0.97,9724.19
2020-02-07,SJM,107.65,108.23,Bearish,-1.27,9600.52
2020-02-10,HSY,156.41,156.99,Bearish,-0.5,9552.17
2020-02-11,IEX,174.64,176.05,Bearish,0.01,9553.25
2020-02-12,ROL,39.51,39.66,Bearish,-0.78,9478.27
2020-02-14,HRL,48.47,48.58,Bearish,0.29,9505.69
2020-02-18,BXP,147.5,147.51,Bearish,1.96,9691.57
2020-02-20,TWTR,38.76,39.05,Bearish,0.93,9781.79
2020-02-21,FFIV,132.16,133.36,Bearish,-0.57,9725.91
2020-03-03,MTD,725.04,731.05,Bearish,-3.12,9422.39
2020-03-04,CME,217.7,223.63,Bearish,-1.29,9301.06
2020-03-19,ALXN,82.51,83.5,Bearish,5.06,9771.44
2020-03-20,APH,68.8,70.04,Bearish,-0.09,9762.94
2020-03-26,ETN,76.29,78.25,Bearish,-2.07,9561.08
2020-03-30,DRE,32.51,33.05,Bearish,0.55,9613.93
2020-04-03,INCY,77.59,78.59,Bearish,-5.66,9069.68
2020-04-06,KR,32.3,32.63,Bearish,-1.27,8954.36
2020-04-24,PKI,87.54,87.55,Bearish,-0.79,8883.18
2020-05-06,WU,19.32,19.47,Bearish,1.37,9004.81
2020-05-12,HP,18.33,18.42,Bearish,2.7,9248.32
2020-05-13,ILMN,322.69,323.39,Bearish,0.15,9262.61
2020-05-15,NWS,10.92,11.01,Bearish,1.83,9431.9
2020-05-18,PKI,92.86,93.32,Bearish,2.23,9641.99
2020-05-19,AMZN,2429.83,2449.33,Bearish,-0.81,9563.9
2020-05-20,WELL,45.18,45.75,Bearish,-1.46,9423.83
2020-05-22,WRB,55.87,56.45,Bearish,1.76,9589.59
2020-05-29,MTD,794.71,795.0,Bearish,-0.7,9522.16
2020-06-01,AWK,126.91,127.77,Bearish,-1.87,9343.94
2020-06-02,A,90.0,90.29,Bearish,0.18,9360.44
2020-06-03,PG,118.1,118.53,Bearish,1.65,9515.12
2020-06-04,OKE,40.34,40.71,Bearish,-2.79,9249.85
2020-06-09,PYPL,155.79,156.86,Bearish,-1.47,9114.28
2020-06-10,CHD,75.16,75.5,Bearish,1.43,9244.65
2020-06-17,CPB,49.1,49.41,Bearish,0.45,9285.93
2020-06-29,HPE,9.58,9.58,Bearish,-1.99,9100.99
2020-07-01,ULTA,202.62,203.57,Bearish,2.04,9287.09
2020-07-02,CDNS,97.38,97.82,Bearish,0.79,9360.81
2020-07-08,JBHT,124.2,125.91,Bearish,0.66,9422.55
2020-07-09,CHRW,80.4,80.87,Bearish,-1.14,9314.74
2020-07-14,PM,73.12,74.31,Bearish,-0.29,9287.34
2020-07-17,DXC,16.72,16.81,Bearish,-1.08,9187.35
2020-07-20,CINF,76.06,77.06,Bearish,-1.92,9011.23
2020-07-21,LH,195.88,196.81,Bearish,-1.28,8896.28
2020-07-22,DHR,194.68,195.61,Bearish,1.21,9003.48
2020-07-23,WFC,26.16,26.35,Bearish,0.79,9074.91
2020-07-24,WAB,61.67,61.87,Bearish,-0.27,9049.96
2020-07-29,CAG,37.27,37.63,Bearish,0.05,9054.81
2020-07-30,PSA,194.72,197.71,Bearish,-1.45,8923.83
2020-07-31,CPRT,93.11,93.25,Bearish,0.17,8939.11
2020-08-03,ZTS,152.19,154.51,Bearish,-1.06,8843.91
2020-08-04,DXC,18.23,18.24,Bearish,0.11,8853.47
2020-08-06,MMC,118.0,118.77,Bearish,0.54,8901.34
2020-08-07,KSU,184.68,187.04,Bearish,1.69,9052.17
2020-08-10,BXP,90.39,90.95,Bearish,2.39,9268.26
2020-08-11,GWW,352.07,352.92,Bearish,-0.32,9238.99
2020-08-12,CERN,72.55,72.77,Bearish,-0.52,9190.7
2020-08-14,KLAC,210.08,211.51,Bearish,-1.61,9042.4
2020-08-17,WLTW,201.04,201.67,Bearish,0.44,9081.75
2020-08-18,CBOE,89.97,90.18,Bearish,1.92,9255.87
2020-08-24,EXR,105.31,106.24,Bearish,0.35,9288.04
2020-08-25,VNO,36.97,37.12,Bearish,3.48,9611.43
2020-08-26,KSS,20.55,20.71,Bearish,-1.78,9440.05
2020-08-27,CMG,1277.8,1279.63,Bearish,-1.29,9318.69
2020-08-28,EW,83.87,84.33,Bearish,-1.73,9157.45
2020-08-31,EVRG,52.94,53.22,Bearish,0.66,9217.91
2020-09-01,TMUS,116.63,116.9,Bearish,-0.89,9135.77
2020-09-03,VTR,44.0,44.25,Bearish,-0.59,9082.15
2020-09-04,REG,41.43,41.53,Bearish,0.85,9159.08
2020-09-16,SLG,50.14,51.24,Bearish,-0.93,9073.84
2020-09-18,AES,18.47,18.79,Bearish,0.33,9103.39
2020-09-22,KR,33.4,33.74,Bearish,1.65,9254.04
2020-09-28,CAG,35.32,35.46,Bearish,-0.14,9240.98
2020-09-29,TGT,156.75,156.94,Bearish,0.02,9242.74
2020-09-30,CDW,118.53,119.53,Bearish,-2.53,9008.7
2020-10-02,SJM,115.75,116.47,Bearish,-0.91,8926.6
2020-10-05,DUK,90.98,91.74,Bearish,1.04,9019.06
2020-10-06,EQIX,787.42,790.83,Bearish,-1.57,8877.19
2020-10-09,PWR,59.2,59.23,Bearish,-2.23,8678.93
2020-10-12,AXP,106.46,106.61,Bearish,0.83,8751.06
2020-10-13,TMO,466.89,467.53,Bearish,-0.0,8751.06
2020-10-14,ROL,58.67,58.79,Bearish,-1.75,8598.34
2020-10-16,FFIV,132.02,132.7,Bearish,0.5,8641.03
2020-10-19,ARNC,23.23,23.29,Bearish,-1.11,8545.43
2020-10-22,TRV,123.32,126.14,Bearish,1.15,8643.34
2020-10-23,HRL,49.35,49.61,Bearish,-0.04,8639.84
2020-10-27,CCI,160.19,160.61,Bearish,1.04,8729.78
2020-11-02,ALK,38.22,38.27,Bearish,2.06,8909.39
