Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-16,HIG,59.83,60.27,Bullish,1.11,10110.65
2020-01-17,VTR,59.56,58.81,Bearish,-1.14,9995.45
2020-01-21,CBOE,116.4,117.39,Bullish,-0.64,9931.04
2020-01-22,CPRT,99.13,99.64,Bullish,0.7,10000.11
2020-01-23,CL,70.07,70.61,Bullish,-0.75,9925.28
2020-01-24,ITW,180.0,176.3,Bearish,-0.2,9905.2
2020-01-27,T,38.02,38.25,Bullish,0.68,9972.41
2020-01-28,PPL,36.33,36.64,Bullish,0.05,9977.84
2020-01-29,RMD,164.14,165.84,Bullish,0.69,10046.46
2020-01-30,RL,111.98,116.25,Bullish,-2.5,9795.32
2020-01-31,SPG,136.0,133.15,Bearish,0.43,9837.91
2020-02-03,TXN,121.06,123.4,Bullish,0.37,9874.61
2020-02-04,HAS,103.05,103.91,Bullish,0.11,9885.9
2020-02-05,HP,42.43,43.85,Bullish,-0.34,9852.16
2020-02-06,HST,17.2,17.0,Bearish,0.83,9934.07
2020-02-07,UAA,20.83,20.25,Bearish,-0.05,9929.21
2020-02-10,KMB,145.07,146.21,Bullish,-0.55,9874.14
2020-02-11,BDX,253.66,256.41,Bullish,-1.76,9699.93
2020-02-12,IPGP,142.43,147.07,Bullish,4.15,10102.08
2020-02-13,NEE,67.57,68.87,Bullish,1.03,10205.78
2020-02-14,CPRI,29.73,28.62,Bearish,0.53,10259.79
2020-02-18,COST,319.0,322.05,Bullish,0.29,10289.74
2020-02-19,HAL,21.98,22.28,Bullish,-2.53,10029.3
2020-02-20,QRVO,103.93,101.56,Bearish,2.59,10288.98
2020-02-21,DRI,119.98,121.1,Bullish,-1.01,10185.31
2020-02-24,FANG,73.2,71.08,Bearish,5.89,10784.78
2020-02-25,DD,50.5,47.47,Bearish,2.05,11006.06
2020-02-26,CPRI,25.98,24.74,Bearish,-2.67,10712.57
2020-02-27,STZ,188.09,175.66,Bearish,-1.24,10579.82
2020-02-28,SWKS,91.96,100.18,Bullish,2.94,10891.08
2020-03-02,AON,208.78,221.06,Bullish,-2.78,10587.93
2020-03-03,HIG,54.19,51.58,Bearish,-2.61,10311.8
2020-03-04,AEP,96.37,99.82,Bullish,0.43,10355.82
2020-03-05,TROW,125.04,122.01,Bearish,0.03,10358.48
2020-03-06,APA,23.42,20.7,Bearish,28.84,13345.62
2020-03-09,AZO,1013.58,1113.69,Bullish,0.94,13471.38
2020-03-10,ADS,66.63,63.56,Bearish,7.04,14420.19
2020-03-11,HBAN,9.62,9.13,Bearish,0.12,14437.38
