Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-29,MAA,137.58,136.58,Bearish,-0.42,9957.64
2020-01-30,BK,44.16,45.4,Bullish,-0.58,9900.15
2020-02-12,GPS,17.94,18.46,Bullish,0.22,9921.8
2020-02-18,LOW,124.64,123.23,Bearish,0.19,9940.26
2020-03-17,IEX,118.33,125.96,Bullish,3.72,10310.16
2020-03-20,CAT,103.12,95.5,Bearish,2.18,10535.25
2020-04-06,PHM,20.69,21.7,Bullish,-2.29,10293.88
2020-04-21,CERN,69.07,68.59,Bearish,-0.88,10202.91
2020-05-21,BR,120.61,117.79,Bearish,0.85,10289.52
2020-06-03,WLTW,201.24,204.89,Bullish,0.34,10324.94
2020-06-29,NRG,31.86,32.94,Bullish,-0.85,10236.9
2020-07-20,IFF,131.0,128.72,Bearish,1.01,10340.66
2020-08-06,HOLX,72.8,70.25,Bearish,2.49,10598.07
2020-09-25,LW,62.61,64.89,Bullish,1.57,10764.12
2020-10-13,JNJ,149.0,148.36,Bearish,0.48,10816.2
2020-11-02,AME,99.81,102.27,Bullish,1.6,10989.46
