Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-16,CSCO,48.38,49.05,Bullish,-0.59,9941.19
2020-01-17,BSX,43.2,44.28,Bullish,-0.25,9916.44
2020-01-21,AMP,171.25,170.25,Bearish,0.19,9934.94
2020-01-22,ADSK,197.47,194.73,Bearish,-1.64,9771.73
2020-01-23,PEAK,36.55,37.03,Bullish,-0.22,9750.64
2020-01-24,NWS,14.69,14.35,Bearish,0.56,9805.65
2020-01-27,JCI,40.85,40.3,Bearish,-1.14,9693.87
2020-01-28,XRAY,59.77,59.08,Bearish,0.61,9752.73
2020-01-29,NLSN,20.88,20.54,Bearish,-2.46,9512.63
2020-01-30,YUM,105.47,106.6,Bullish,-0.76,9440.33
2020-01-31,FFIV,125.08,122.12,Bearish,-0.48,9395.15
2020-02-03,AZO,1062.13,1050.45,Bearish,0.75,9465.74
2020-02-04,ATO,118.5,117.22,Bearish,-1.51,9322.76
2020-02-05,HOG,34.73,35.34,Bullish,-2.82,9060.15
2020-02-06,TJX,62.47,61.82,Bearish,0.36,9092.51
2020-02-07,QCOM,89.62,87.42,Bearish,-2.1,8901.81
2020-02-10,FLIR,52.95,53.93,Bullish,2.58,9131.64
2020-02-11,ROL,39.08,39.5,Bullish,0.38,9166.31
2020-02-12,VRSN,204.67,208.29,Bullish,1.16,9272.82
2020-02-13,AJG,106.6,108.2,Bullish,0.88,9354.23
2020-02-14,AEE,86.0,86.79,Bullish,-0.47,9310.23
2020-02-18,AMT,255.3,252.93,Bearish,1.25,9426.59
2020-02-19,IEX,175.84,173.54,Bearish,-0.28,9399.9
2020-02-20,PRGO,58.63,59.61,Bullish,0.91,9485.47
2020-02-21,DOV,118.24,119.44,Bullish,-0.52,9436.22
2020-02-24,WRB,77.83,77.04,Bearish,2.44,9666.46
2020-02-25,EBAY,37.31,36.46,Bearish,0.33,9697.97
2020-02-26,SYF,31.0,30.59,Bearish,0.6,9756.43
2020-02-27,NKE,90.0,88.55,Bearish,-3.89,9376.52
2020-02-28,SPGI,260.22,265.91,Bullish,6.74,10008.19
2020-03-02,MA,298.89,306.74,Bullish,-7.18,9289.53
2020-03-03,MCHP,94.27,89.41,Bearish,-2.7,9038.9
2020-03-04,ALLE,121.67,124.35,Bullish,0.32,9067.74
2020-03-05,HOG,29.14,27.8,Bearish,2.28,9274.13
2020-03-06,STE,154.51,157.03,Bullish,-3.05,8991.11
2020-03-09,CF,34.41,31.17,Bearish,5.85,9517.24
2020-03-10,IT,110.4,114.11,Bullish,-3.6,9174.83
2020-03-11,APTV,70.59,67.23,Bearish,5.52,9681.22
2020-03-12,MKC,138.82,131.18,Bearish,0.46,9726.19
2020-03-13,NUE,34.0,35.84,Bullish,-3.5,9386.16
2020-03-16,HOLX,34.42,32.25,Bearish,7.58,10097.36
2020-03-17,A,66.02,70.44,Bullish,5.65,10667.36
2020-03-18,PBCT,13.07,13.84,Bullish,-3.17,10328.83
2020-03-19,DVN,5.51,6.55,Bullish,-9.79,9317.41
2020-03-20,GLW,21.35,18.86,Bearish,5.13,9795.48
2020-03-23,IP,28.93,26.47,Bearish,0.5,9844.37
2020-03-24,QRVO,73.41,78.79,Bullish,-1.63,9683.68
2020-03-25,TXN,104.33,99.16,Bearish,-8.41,8869.23
2020-03-26,HSY,126.12,132.45,Bullish,1.39,8992.95
2020-03-27,FLS,22.82,21.69,Bearish,-4.12,8622.41
2020-03-30,DISCA,18.79,20.01,Bullish,-3.38,8331.0
2020-03-31,AXP,89.94,85.61,Bearish,3.48,8621.27
2020-04-01,WAT,176.58,182.31,Bullish,2.89,8870.65
2020-04-02,ETFC,31.65,34.25,Bullish,0.53,8917.46
2020-04-03,HAS,70.59,66.94,Bearish,-0.3,8891.08
2020-04-06,FB,160.15,165.55,Bullish,-1.72,8737.89
2020-04-07,PH,138.32,132.36,Bearish,-5.44,8262.88
2020-04-08,UNH,247.69,267.83,Bullish,-0.33,8235.75
2020-04-09,TMO,307.55,317.38,Bullish,0.3,8260.37
2020-04-13,SNPS,133.85,140.13,Bullish,3.68,8564.18
2020-04-14,MSFT,169.0,173.7,Bullish,0.4,8598.2
2020-04-15,REGN,525.3,511.69,Bearish,-4.05,8250.08
2020-04-16,SLG,51.19,49.34,Bearish,-0.51,8208.02
2020-04-17,MPC,22.61,25.45,Bullish,6.02,8701.76
2020-04-20,ESS,257.38,241.9,Bearish,-1.68,8555.77
2020-04-21,AOS,39.68,38.72,Bearish,1.47,8681.88
2020-04-22,HCA,108.33,104.52,Bearish,0.72,8744.42
2020-04-23,GD,134.0,130.49,Bearish,1.6,8884.17
2020-04-24,GLW,20.18,20.78,Bullish,2.9,9141.99
2020-04-27,EXC,36.98,37.83,Bullish,-0.63,9084.37
2020-04-28,ICE,93.51,90.29,Bearish,1.09,9183.44
2020-04-29,IQV,139.72,143.1,Bullish,0.85,9261.38
2020-04-30,OMC,59.68,57.03,Bearish,0.23,9282.87
2020-05-01,EVRG,57.68,55.92,Bearish,-1.32,9159.97
2020-05-04,PNR,33.05,34.48,Bullish,-1.53,9019.98
2020-05-05,NWL,12.5,11.93,Bearish,2.42,9238.32
2020-05-06,LKQ,24.94,24.0,Bearish,-3.24,8939.34
2020-05-07,IFF,132.62,130.28,Bearish,-1.01,8849.36
2020-05-08,IP,33.18,34.35,Bullish,-1.9,8681.35
2020-05-11,TFX,339.08,347.45,Bullish,-2.31,8481.18
2020-05-12,AIZ,98.45,93.1,Bearish,4.88,8894.85
2020-05-13,NOV,12.75,11.51,Bearish,-4.57,8488.37
2020-05-14,NTAP,40.75,41.84,Bullish,3.14,8754.85
2020-05-15,CAT,105.18,107.92,Bullish,2.5,8973.3
2020-05-18,LUV,25.75,27.09,Bullish,-2.84,8718.27
2020-05-19,WAT,188.24,183.99,Bearish,0.27,8742.2
2020-05-20,RMD,164.41,161.76,Bearish,0.33,8770.94
2020-05-21,AMAT,56.84,55.02,Bearish,1.15,8871.37
2020-05-22,ISRG,546.96,562.8,Bullish,-2.42,8656.76
2020-05-26,BMY,61.51,60.32,Bearish,-0.67,8599.05
2020-05-27,TIF,125.74,127.54,Bullish,0.02,8600.4
2020-05-28,MS,47.25,44.4,Bearish,-0.43,8563.27
2020-05-29,ALXN,115.38,119.9,Bullish,-0.32,8535.99
2020-06-01,DFS,47.79,49.84,Bullish,2.73,8768.64
2020-06-02,EQR,61.69,60.46,Bearish,-0.72,8705.59
2020-06-03,MHK,98.44,104.46,Bullish,4.1,9062.2
2020-06-04,OMC,56.68,57.86,Bullish,1.47,9195.33
2020-06-05,EXPD,78.75,77.92,Bearish,-0.36,9162.17
2020-06-08,AAPL,82.56,83.36,Bullish,3.57,9489.06
2020-06-09,MDT,102.01,99.11,Bearish,1.67,9647.83
2020-06-10,PXD,106.51,102.73,Bearish,-1.73,9481.28
2020-06-11,PM,74.15,71.25,Bearish,3.04,9769.77
2020-06-12,CPB,48.16,47.07,Bearish,-2.37,9538.24
2020-06-15,HRL,46.4,47.09,Bullish,0.38,9574.3
2020-06-16,NVR,3299.15,3450.06,Bullish,0.35,9607.68
2020-06-17,DOW,42.7,41.17,Bearish,-2.29,9387.88
2020-06-18,VZ,56.5,56.89,Bullish,-2.07,9193.08
2020-06-19,DIS,119.98,114.35,Bearish,-1.52,9053.8
2020-06-22,MSFT,195.79,200.57,Bullish,-0.09,9045.74
2020-06-23,BLL,71.78,70.57,Bearish,1.72,9201.68
2020-06-24,ZION,35.0,33.22,Bearish,-4.07,8827.01
2020-06-25,DXC,14.94,15.91,Bullish,-1.65,8681.2
2020-06-26,SCHW,33.62,31.75,Bearish,-2.02,8505.42
2020-06-29,SBUX,71.41,73.48,Bullish,0.01,8506.57
2020-06-30,NVDA,372.56,379.91,Bullish,0.1,8514.84
2020-07-01,IVZ,10.74,10.26,Bearish,1.59,8649.87
2020-07-02,YUM,87.74,86.56,Bearish,-0.98,8565.0
2020-07-06,PEAK,29.17,27.69,Bearish,0.81,8634.1
2020-07-07,BA,185.07,178.88,Bearish,-0.58,8584.43
2020-07-08,WHR,133.43,136.0,Bullish,-2.16,8399.0
2020-07-09,ANTM,262.22,255.0,Bearish,0.75,8462.09
2020-07-10,ZION,30.37,32.21,Bullish,0.37,8493.09
2020-07-13,GPN,165.96,160.77,Bearish,-1.51,8364.6
2020-07-14,EW,67.66,71.22,Bullish,0.39,8397.04
2020-07-15,TPR,13.52,14.02,Bullish,1.52,8524.55
2020-07-16,LEN,67.86,69.81,Bullish,-1.44,8401.42
2020-07-17,PBCT,11.66,11.35,Bearish,1.42,8520.91
2020-07-20,PVH,49.02,47.34,Bearish,-2.06,8345.27
2020-07-21,BIIB,285.0,280.19,Bearish,1.59,8478.34
2020-07-22,SHW,611.3,625.9,Bullish,-0.7,8419.12
2020-07-23,ALLE,108.7,102.56,Bearish,1.68,8560.88
2020-07-24,MET,38.73,38.22,Bearish,0.58,8610.41
2020-07-27,ANSS,294.97,300.17,Bullish,-0.55,8563.04
2020-07-28,HPE,9.71,9.48,Bearish,-2.21,8373.75
2020-07-29,LW,62.22,59.81,Bearish,-0.47,8334.04
2020-07-30,BAX,85.0,86.01,Bullish,0.82,8402.12
2020-07-31,DHR,201.52,203.8,Bullish,0.89,8477.13
2020-08-03,MSCI,380.47,371.91,Bearish,2.05,8650.56
2020-08-04,CVX,84.48,86.49,Bullish,-1.07,8558.31
2020-08-05,HON,148.79,150.82,Bullish,1.1,8652.44
2020-08-06,LHX,171.11,173.67,Bullish,1.04,8742.03
2020-08-07,L,36.38,37.76,Bullish,1.69,8889.42
2020-08-10,MCHP,98.6,100.26,Bullish,0.04,8892.96
2020-08-11,KLAC,203.56,200.54,Bearish,-3.2,8608.82
2020-08-12,VRTX,263.08,270.85,Bullish,-1.08,8516.05
2020-08-13,WYNN,84.29,86.67,Bullish,-0.29,8491.08
2020-08-14,WLTW,198.41,201.51,Bullish,0.31,8517.68
2020-08-17,EQIX,758.36,772.08,Bullish,1.92,8681.53
2020-08-18,FLS,31.07,30.28,Bearish,-0.46,8641.26
2020-08-19,FANG,44.45,43.3,Bearish,4.22,9005.89
2020-08-20,ANSS,319.14,328.32,Bullish,-1.04,8911.96
2020-08-21,AIG,29.11,28.27,Bearish,-3.61,8590.11
2020-08-24,UNM,17.75,18.78,Bullish,-1.84,8431.87
2020-08-25,EL,213.13,215.43,Bullish,0.78,8497.76
2020-08-26,COP,38.83,37.56,Bearish,-1.01,8412.26
2020-08-27,WHR,179.56,177.83,Bearish,-0.25,8391.52
2020-08-28,APTV,85.38,87.25,Bullish,-1.85,8236.58
2020-08-31,FRC,114.33,112.91,Bearish,-0.83,8168.45
2020-09-01,AMCR,10.98,11.24,Bullish,3.16,8426.48
2020-09-02,CTVA,29.33,30.13,Bullish,-1.7,8282.85
2020-09-03,AAPL,126.91,120.88,Bearish,-0.74,8221.46
2020-09-04,LHX,184.48,181.73,Bearish,0.43,8257.0
2020-09-08,PKG,105.85,103.48,Bearish,0.04,8260.16
2020-09-09,TAP,38.0,37.52,Bearish,5.75,8734.74
2020-09-10,KEY,12.67,12.29,Bearish,-0.65,8677.83
2020-09-11,WFC,23.92,24.27,Bullish,1.76,8830.89
2020-09-14,HSY,146.15,144.5,Bearish,0.23,8851.64
2020-09-15,ADS,46.5,44.36,Bearish,-5.68,8348.61
2020-09-16,MKC,201.36,198.68,Bearish,1.65,8486.64
2020-09-17,LIN,246.95,250.39,Bullish,-1.29,8377.04
2020-09-18,FE,29.7,28.96,Bearish,0.21,8394.56
2020-09-21,PKI,116.59,118.25,Bullish,1.71,8538.35
2020-09-22,EXPE,91.94,93.95,Bullish,-1.56,8404.85
2020-09-23,FTI,6.72,6.37,Bearish,-2.92,8159.25
2020-09-24,HRB,14.41,14.92,Bullish,3.1,8412.34
2020-09-25,PSA,212.91,218.47,Bullish,0.14,8423.77
2020-09-28,MCHP,101.11,103.07,Bullish,0.0,8423.77
2020-09-29,COTY,2.77,2.65,Bearish,1.82,8576.92
2020-09-30,ALK,37.59,36.63,Bearish,0.49,8618.55
2020-10-01,QRVO,132.09,135.09,Bullish,-0.71,8557.6
2020-10-02,AMAT,59.09,58.21,Bearish,-2.83,8315.09
2020-10-05,XEL,70.44,71.47,Bullish,1.86,8469.39
2020-10-06,AMP,164.52,159.8,Bearish,-1.4,8351.17
2020-10-07,GLW,33.93,35.06,Bullish,0.09,8358.29
2020-10-08,EXPE,94.06,95.95,Bullish,-0.95,8279.19
2020-10-09,CTXS,137.02,139.43,Bullish,3.01,8528.74
2020-10-12,ROK,247.78,244.23,Bearish,0.35,8558.45
2020-10-13,IQV,169.5,166.59,Bearish,0.88,8634.13
2020-10-14,RCL,61.35,59.91,Bearish,-1.21,8529.65
2020-10-15,AIG,29.16,29.96,Bullish,0.93,8609.23
2020-10-16,GWW,388.18,383.54,Bearish,2.75,8845.62
2020-10-19,PM,78.98,77.84,Bearish,5.68,9348.48
2020-10-20,HSY,148.64,146.88,Bearish,0.55,9400.21
2020-10-21,IQV,173.9,169.25,Bearish,0.28,9426.22
2020-10-22,ILMN,318.84,325.92,Bullish,-1.32,9301.73
2020-10-23,FTNT,128.01,130.38,Bullish,-4.63,8871.07
2020-10-26,AEE,82.71,84.06,Bullish,-0.05,8866.86
2020-10-27,RE,208.85,202.1,Bearish,1.54,9003.46
2020-10-28,ICE,95.85,93.77,Bearish,-2.51,8777.8
2020-10-29,HFC,17.03,17.79,Bullish,4.52,9174.31
2020-10-30,FOXA,25.56,26.52,Bullish,2.78,9428.96
2020-11-02,WBA,34.53,35.79,Bullish,2.75,9688.21
2020-11-03,ZTS,164.64,163.14,Bearish,-5.04,9200.27
2020-11-04,CSCO,37.03,36.57,Bearish,-0.57,9148.08
