Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-17,GL,104.82,104.45,Bearish,0.09,10008.66
2020-01-22,ADBE,352.6,350.06,Bearish,-0.21,9987.56
2020-01-23,LVS,67.68,69.45,Bullish,-2.04,9784.23
2020-01-24,MKC,174.27,172.67,Bearish,-0.22,9762.66
2020-01-27,MDT,118.5,119.23,Bullish,-0.03,9760.2
2020-01-29,MA,323.0,320.32,Bearish,-1.71,9593.14
2020-01-30,LEG,48.86,49.37,Bullish,-3.53,9254.77
2020-02-05,LRCX,331.23,325.62,Bearish,0.76,9325.17
2020-02-07,IVZ,18.01,18.22,Bullish,2.6,9567.18
2020-02-10,BAX,90.7,91.28,Bullish,0.02,9569.27
2020-02-11,CRM,191.48,189.11,Bearish,0.13,9581.88
2020-02-18,AWK,140.34,139.26,Bearish,0.27,9607.37
2020-02-19,DISH,42.0,41.25,Bearish,1.82,9782.22
2020-02-27,ABMD,150.1,153.97,Bullish,0.17,9799.17
2020-02-28,DISH,32.47,33.52,Bullish,2.72,10066.0
2020-03-05,DGX,118.3,115.68,Bearish,4.13,10481.25
2020-03-06,SRE,138.11,141.87,Bullish,-4.73,9985.72
2020-03-13,YUM,81.78,78.46,Bearish,1.58,10143.35
2020-03-16,FLIR,28.69,32.02,Bullish,6.42,10794.36
2020-03-20,MU,37.77,36.11,Bearish,-3.41,10426.67
2020-04-01,MKTX,320.41,333.99,Bullish,6.85,11140.4
2020-04-07,GOOG,1221.0,1186.51,Bearish,-0.31,11105.5
2020-04-09,XEC,19.38,17.96,Bearish,-1.93,10891.48
2020-04-15,GS,170.63,178.52,Bullish,-0.1,10880.41
2020-04-17,STT,61.96,58.49,Bearish,-1.11,10759.39
2020-04-21,KSU,127.78,131.01,Bullish,-3.12,10424.12
2020-04-22,HRB,14.25,13.86,Bearish,-2.3,10184.66
2020-04-28,TFC,38.85,37.52,Bearish,-1.4,10042.4
2020-05-05,SLB,16.97,16.25,Bearish,2.59,10302.11
2020-05-13,AMCR,9.25,9.11,Bearish,-0.55,10245.13
2020-05-14,IQV,130.59,132.37,Bullish,1.77,10426.15
2020-05-18,JNJ,152.49,150.52,Bearish,0.72,10501.17
2020-05-26,AZO,1167.57,1123.2,Bearish,-2.14,10276.23
2020-05-28,ADM,39.67,39.0,Bearish,-1.73,10098.04
2020-06-02,USB,37.3,36.62,Bearish,-2.74,9821.79
2020-06-03,CI,203.56,201.36,Bearish,-1.47,9677.51
2020-06-05,PFE,36.24,35.99,Bearish,-2.21,9463.95
2020-06-08,TSCO,120.29,122.24,Bullish,0.36,9498.09
2020-06-09,ARE,157.82,160.09,Bullish,-1.12,9391.63
2020-06-10,IPGP,168.3,165.39,Bearish,5.04,9865.22
2020-06-15,WDC,41.46,42.93,Bullish,-1.53,9714.49
2020-06-16,DUK,89.0,86.95,Bearish,0.91,9802.71
2020-06-19,PGR,83.16,80.99,Bearish,-0.35,9768.63
2020-06-25,LVS,44.0,44.99,Bullish,-3.11,9464.99
2020-07-02,O,62.24,61.1,Bearish,3.26,9773.45
2020-07-14,ADP,142.68,145.48,Bullish,1.82,9951.59
2020-07-21,CDNS,106.54,103.58,Bearish,0.58,10009.81
2020-07-23,AZO,1178.03,1168.46,Bearish,-0.03,10007.24
2020-07-28,ORLY,456.39,450.05,Bearish,-1.11,9896.23
2020-08-04,IR,32.94,32.65,Bearish,0.12,9908.25
2020-08-05,AMCR,10.8,10.69,Bearish,-0.65,9843.61
2020-08-06,TAP,36.17,36.57,Bullish,2.79,10117.8
2020-08-11,RJF,77.39,75.89,Bearish,1.08,10226.66
2020-08-25,TSN,64.14,63.54,Bearish,0.35,10262.0
2020-08-27,CHTR,619.05,614.29,Bearish,-0.43,10217.97
2020-09-01,FTI,7.48,7.69,Bullish,-0.13,10204.47
2020-09-02,WMT,151.25,147.68,Bearish,1.47,10354.72
2020-09-03,UDR,35.55,35.14,Bearish,-0.09,10345.92
2020-09-08,EL,213.73,216.02,Bullish,0.65,10413.11
2020-09-11,LH,183.18,181.47,Bearish,-0.73,10336.93
2020-09-17,TDG,525.13,519.01,Bearish,1.7,10512.22
2020-09-28,SEE,38.36,37.89,Bearish,0.05,10517.78
2020-09-29,VRSN,200.63,204.91,Bullish,-0.09,10508.54
2020-10-01,RJF,73.44,72.69,Bearish,-4.19,10067.75
2020-10-02,CI,164.46,167.23,Bullish,1.78,10247.44
2020-10-06,COST,361.9,358.35,Bearish,-0.71,10174.95
2020-10-08,CRM,264.2,260.22,Bearish,-1.17,10055.75
2020-10-09,FTI,7.2,7.07,Bearish,-0.0,10055.75
2020-10-13,AMAT,65.24,64.69,Bearish,1.42,10198.3
2020-10-14,ADM,48.03,48.85,Bullish,3.08,10511.93
2020-10-23,SNA,170.92,169.39,Bearish,2.06,10728.8
2020-10-26,HRB,18.18,18.38,Bullish,-1.54,10564.1
2020-11-04,KEYS,108.61,107.8,Bearish,-1.92,10361.62
