Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-17,ORCL,55.63,55.13,Bearish,-0.44,9956.35
2020-01-22,AVB,219.85,216.64,Bearish,-0.75,9881.51
2020-01-24,MYL,22.35,21.85,Bearish,-0.57,9825.15
2020-01-29,INTU,289.34,285.92,Bearish,-0.86,9740.8
2020-01-31,WDC,69.16,65.5,Bearish,-2.5,9497.28
2020-02-04,RE,281.49,277.59,Bearish,-1.54,9350.56
2020-02-05,IRM,32.31,31.95,Bearish,0.5,9397.18
2020-02-06,COF,105.53,103.52,Bearish,0.57,9450.42
2020-02-07,MCK,160.15,156.32,Bearish,-0.33,9419.42
2020-02-11,INFO,81.4,80.62,Bearish,0.27,9445.09
2020-02-13,ALXN,105.3,103.42,Bearish,1.82,9616.88
2020-02-14,EXPD,74.27,73.39,Bearish,-0.74,9545.29
2020-02-18,BDX,260.75,256.0,Bearish,0.44,9587.23
2020-02-19,UAL,80.94,79.42,Bearish,-0.77,9513.48
2020-02-20,QCOM,90.81,89.47,Bearish,1.73,9677.84
2020-02-25,NOW,338.56,329.72,Bearish,-0.99,9582.23
2020-02-27,GILD,78.31,72.66,Bearish,1.15,9692.84
2020-03-03,EW,71.25,69.52,Bearish,-1.88,9510.68
2020-03-19,JKHY,162.63,148.57,Bearish,12.19,10669.59
2020-03-20,FISV,87.11,81.77,Bearish,5.43,11248.8
2020-03-24,ATVI,58.34,54.43,Bearish,3.89,11686.41
2020-03-31,HFC,26.76,24.51,Bearish,7.33,12543.58
2020-04-07,ADP,145.54,136.96,Bearish,-0.38,12495.4
2020-04-09,PSX,67.11,61.52,Bearish,2.44,12800.36
2020-04-15,CCI,166.02,162.46,Bearish,1.61,13005.86
2020-04-16,COG,20.1,19.31,Bearish,-6.5,12159.95
2020-04-17,UNH,300.99,290.56,Bearish,1.11,12294.64
2020-04-22,KSU,133.5,129.34,Bearish,2.15,12558.91
2020-04-27,TTWO,128.22,125.93,Bearish,3.95,13054.42
2020-04-28,BR,115.61,112.47,Bearish,-1.41,12869.91
2020-04-29,WEC,95.64,93.31,Bearish,2.78,13227.79
2020-04-30,XOM,47.68,46.47,Bearish,5.46,13949.62
2020-05-05,RF,10.46,9.98,Bearish,4.64,14597.48
2020-05-06,VRSK,160.0,155.18,Bearish,-1.34,14401.19
2020-05-12,TSCO,109.82,107.73,Bearish,0.83,14520.54
2020-05-19,FANG,43.77,41.84,Bearish,-2.03,14225.31
2020-05-22,ALK,32.32,31.02,Bearish,-4.32,13611.05
2020-05-26,ATO,99.57,97.6,Bearish,0.25,13645.28
2020-05-28,GPC,87.52,84.31,Bearish,-0.0,13645.28
2020-06-02,HRB,17.68,17.16,Bearish,-3.49,13168.55
2020-06-03,PRGO,56.75,55.54,Bearish,-0.45,13108.67
2020-06-05,A,92.13,90.38,Bearish,-1.1,12964.83
2020-06-09,JNJ,148.25,145.96,Bearish,-0.82,12858.71
2020-06-10,APD,251.95,247.86,Bearish,4.23,13402.9
2020-06-11,CLX,208.45,204.93,Bearish,-0.01,13401.59
2020-06-16,FOXA,30.15,28.31,Bearish,0.74,13501.11
2020-06-17,ADSK,242.29,237.04,Bearish,-0.05,13494.3
2020-06-19,SYY,56.89,54.26,Bearish,-1.95,13231.67
2020-06-23,INCY,109.46,106.52,Bearish,1.25,13396.98
2020-06-26,DLR,143.49,140.59,Bearish,1.81,13640.1
2020-07-01,HAL,13.19,12.47,Bearish,1.72,13874.73
2020-07-02,VTR,39.17,37.29,Bearish,2.74,14255.01
2020-07-06,FLIR,43.1,41.76,Bearish,2.44,14603.28
2020-07-09,RCL,50.92,47.12,Bearish,-10.08,13131.46
2020-07-10,SBAC,308.92,304.42,Bearish,3.08,13535.45
2020-07-13,INTC,59.84,58.58,Bearish,-1.92,13275.83
