Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-17,XRX,37.37,37.33,Bearish,2.94,10293.64
2020-01-21,KHC,30.96,31.01,Bullish,-1.32,10157.85
2020-01-22,DLR,126.1,126.28,Bearish,-0.78,10078.12
2020-01-23,IPG,23.57,23.54,Bullish,-1.01,9975.84
2020-01-24,CSX,76.68,76.7,Bearish,-0.23,9953.23
2020-01-27,ESS,309.16,308.94,Bullish,0.87,10039.82
2020-01-28,COO,354.93,355.04,Bearish,0.19,10059.05
2020-01-29,LIN,208.13,208.23,Bearish,-0.85,9973.31
2020-01-30,CTXS,122.44,122.54,Bullish,-1.89,9785.22
2020-01-31,EXR,110.68,110.68,Bearish,1.03,9885.98
2020-02-03,RCL,116.36,116.45,Bullish,-3.25,9564.2
2020-02-04,AJG,104.8,104.7,Bearish,0.27,9589.61
2020-02-05,CMCSA,44.65,44.59,Bearish,0.36,9623.89
2020-02-06,ED,93.57,93.47,Bearish,1.07,9726.52
2020-02-07,PPL,36.06,36.02,Bullish,0.11,9737.3
2020-02-10,JNJ,151.68,151.86,Bullish,-0.2,9718.12
2020-02-11,NFLX,373.75,373.69,Bearish,-0.75,9645.2
2020-02-12,RJF,97.25,97.26,Bearish,-2.12,9440.75
2020-02-13,IT,150.97,150.88,Bullish,0.66,9503.1
2020-02-14,FB,214.0,214.18,Bearish,-1.99,9313.97
2020-02-18,PAYX,89.35,89.36,Bearish,-0.43,9273.49
2020-02-19,APA,28.4,28.47,Bearish,0.03,9276.73
2020-02-20,BKR,20.7,20.66,Bullish,0.34,9308.47
2020-02-21,XEC,42.52,42.49,Bullish,-2.38,9087.0
2020-02-24,RMD,169.92,169.83,Bullish,-2.61,8850.02
2020-02-25,HRL,44.7,44.72,Bearish,2.23,9046.95
2020-02-26,TMO,308.74,309.16,Bullish,-2.28,8841.01
2020-02-27,UAA,14.03,13.99,Bullish,4.88,9272.28
2020-02-28,ABT,77.12,77.03,Bullish,4.79,9716.37
2020-03-02,AMD,47.42,47.46,Bearish,4.65,10168.2
2020-03-03,VMC,128.22,128.08,Bearish,-3.7,9791.75
2020-03-04,RJF,79.68,79.79,Bullish,-3.2,9478.3
2020-03-06,NFLX,367.7,368.97,Bullish,0.76,9550.79
