Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-16,TIF,134.1,134.12,Bullish,0.07,10007.45
2020-01-17,CTXS,117.15,117.22,Bullish,0.99,10106.07
2020-01-21,GL,103.94,103.85,Bullish,-0.56,10049.84
2020-01-22,DRI,114.82,114.98,Bullish,2.32,10283.27
2020-01-23,IPG,23.57,23.54,Bullish,-1.01,10178.92
2020-01-24,CSX,76.68,76.7,Bullish,0.23,10201.99
2020-01-27,DVA,82.1,82.03,Bullish,0.61,10263.9
2020-01-28,DG,156.42,156.66,Bullish,-0.8,10182.18
2020-01-29,AMP,166.19,166.04,Bullish,1.96,10381.27
2020-01-30,NTAP,54.8,54.85,Bullish,-2.16,10156.83
2020-01-31,ABMD,186.34,186.29,Bullish,-0.27,10129.59
2020-02-03,ABC,85.94,85.7,Bullish,1.08,10238.85
2020-02-04,WRB,74.79,74.84,Bullish,1.17,10358.49
2020-02-05,GIS,52.62,52.56,Bullish,-1.17,10237.72
2020-02-06,GE,12.94,12.95,Bullish,-1.46,10088.32
2020-02-07,FITB,29.53,29.49,Bullish,0.0,10088.32
2020-02-10,CF,41.7,41.67,Bullish,0.62,10150.91
2020-02-11,XOM,60.58,60.53,Bullish,-0.11,10139.32
2020-02-12,ADS,104.6,104.63,Bullish,-0.07,10132.47
2020-02-13,ANSS,291.75,291.68,Bullish,-0.33,10099.26
2020-02-14,BSX,42.27,42.31,Bullish,-0.21,10077.75
2020-02-18,EQIX,644.17,643.59,Bullish,-0.69,10008.25
2020-02-19,AIG,49.4,49.41,Bullish,0.79,10087.25
2020-02-20,NUE,47.92,47.85,Bullish,2.23,10312.31
2020-02-21,PFE,35.76,35.72,Bullish,-1.06,10203.41
2020-02-24,PRGO,59.27,59.21,Bullish,-4.63,9731.26
2020-02-25,HRL,44.7,44.72,Bullish,-2.23,9514.72
2020-02-26,CBOE,123.93,123.81,Bullish,0.73,9584.29
2020-02-27,VIAC,23.96,23.89,Bullish,3.71,9939.71
2020-02-28,PFE,33.49,33.42,Bullish,2.86,10224.04
2020-03-02,NVDA,276.9,276.43,Bullish,-4.59,9755.16
2020-03-03,HSY,153.11,153.49,Bullish,3.18,10065.34
2020-03-04,DIS,118.96,119.18,Bullish,-2.46,9817.28
2020-03-05,XYL,82.3,82.46,Bullish,0.94,9910.01
2020-03-06,WDC,55.05,54.73,Bullish,-4.36,9478.1
2020-03-09,MTD,670.0,669.78,Bullish,1.89,9657.43
2020-03-10,TAP,44.12,43.89,Bullish,-3.65,9305.13
2020-03-11,PNR,36.35,36.4,Bullish,1.02,9400.05
2020-03-12,XRAY,40.0,39.93,Bullish,-2.01,9211.1
2020-03-13,DAL,38.54,38.36,Bullish,9.18,10056.38
2020-03-16,AAPL,60.49,60.55,Bullish,2.16,10273.76
2020-03-17,LW,53.35,53.13,Bullish,-10.69,9175.03
2020-03-18,DHI,28.91,28.78,Bullish,5.82,9708.84
2020-03-19,CERN,59.72,59.49,Bullish,-5.62,9162.8
2020-03-20,CAG,26.31,26.05,Bullish,-2.68,8917.03
2020-03-23,MOS,9.28,9.22,Bullish,7.0,9541.22
2020-03-24,WU,19.16,19.11,Bullish,0.42,9581.06
2020-03-25,C,42.31,41.86,Bullish,5.36,10094.33
2020-03-26,AXP,92.24,93.29,Bullish,0.9,10185.01
2020-03-27,ITW,142.72,143.3,Bullish,0.38,10223.8
2020-03-30,CFG,19.62,19.65,Bullish,-3.14,9902.66
2020-03-31,ROP,314.0,311.81,Bullish,-1.51,9753.2
2020-04-01,TTWO,115.52,116.33,Bullish,2.07,9954.78
2020-04-02,ZBRA,173.87,174.24,Bullish,2.92,10245.91
2020-04-03,DRE,29.62,29.59,Bullish,3.07,10560.76
2020-04-06,PXD,76.1,76.24,Bullish,-7.36,9783.87
2020-04-07,NWSA,8.83,8.79,Bullish,1.13,9894.42
2020-04-08,LYV,38.14,37.76,Bullish,-6.29,9271.78
2020-04-09,ROL,35.95,36.02,Bullish,0.39,9308.11
2020-04-13,CHTR,468.97,469.7,Bullish,3.4,9624.42
2020-04-14,AVY,111.0,110.53,Bullish,0.15,9638.84
2020-04-15,AIG,24.2,24.08,Bullish,-2.81,9368.06
2020-04-16,ADSK,171.46,171.0,Bullish,2.76,9626.63
