Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-16,CPRT,97.3,97.21,Bullish,-0.18,9981.5
2020-01-17,FIS,147.31,147.09,Bullish,0.59,10039.99
2020-01-22,HPQ,21.96,21.93,Bullish,0.73,10113.21
2020-01-23,GPS,17.85,17.81,Bullish,-1.01,10011.17
2020-01-24,BXP,142.1,142.01,Bullish,-0.12,9999.12
2020-01-28,ALXN,106.92,106.97,Bullish,-0.18,9981.38
2020-01-29,ATVI,60.49,60.4,Bullish,1.62,10142.96
2020-01-30,IBM,136.76,136.77,Bullish,0.58,10201.88
2020-01-31,NOV,20.64,20.61,Bullish,1.16,10320.56
2020-02-03,SO,70.67,70.7,Bullish,-1.29,10187.25
2020-02-04,NWSA,13.81,13.81,Bullish,1.15,10304.26
2020-02-05,ES,90.37,90.49,Bullish,0.06,10309.94
2020-02-06,VIAC,34.64,34.6,Bullish,-1.25,10180.88
2020-02-07,FOXA,36.98,37.0,Bullish,1.17,10299.61
2020-02-10,VRSN,205.51,205.83,Bullish,-0.9,10207.26
2020-02-11,CAH,59.25,59.41,Bullish,0.22,10229.37
2020-02-12,TDG,650.11,650.23,Bullish,0.94,10325.43
2020-02-13,OKE,76.17,76.22,Bullish,0.67,10394.3
2020-02-14,CAG,32.63,32.69,Bullish,0.23,10418.07
2020-02-18,DRE,38.54,38.52,Bullish,-0.49,10366.72
2020-02-19,KHC,27.36,27.31,Bullish,0.55,10423.74
2020-02-20,FIS,157.0,156.78,Bullish,-0.55,10366.87
2020-02-21,HP,44.79,44.9,Bullish,-1.67,10194.13
2020-02-28,LDOS,103.04,102.65,Bullish,5.54,10759.16
2020-03-02,AAP,133.45,132.99,Bullish,-0.9,10661.81
2020-03-04,NWS,12.15,12.1,Bullish,-3.74,10263.24
2020-03-05,ANTM,287.65,287.16,Bullish,1.44,10411.19
2020-03-06,MYL,15.45,15.4,Bullish,0.84,10498.8
2020-03-10,WHR,117.05,117.37,Bullish,-2.67,10218.57
2020-03-11,AAL,16.31,16.26,Bullish,-4.27,9782.19
2020-03-13,NI,25.16,25.18,Bullish,0.87,9867.01
2020-03-17,FTI,6.2,6.17,Bullish,-12.11,8672.58
2020-03-18,VIAC,12.05,12.21,Bullish,3.87,9008.06
2020-03-20,TFC,30.31,30.04,Bullish,-8.25,8264.9
2020-03-23,XEL,50.5,50.0,Bullish,5.4,8711.35
2020-03-24,T,28.0,28.09,Bullish,1.14,8810.62
2020-03-26,STT,49.93,49.42,Bullish,3.07,9081.23
2020-03-27,ABMD,146.35,145.24,Bullish,2.03,9265.3
2020-03-30,VNO,37.69,37.6,Bullish,-2.69,9016.3
2020-03-31,CSX,57.72,57.3,Bullish,1.39,9141.3
2020-04-01,HST,10.26,10.28,Bullish,-5.54,8634.96
2020-04-02,LB,10.05,10.15,Bullish,11.83,9656.84
2020-04-03,PYPL,92.79,92.39,Bullish,3.96,10038.97
2020-04-06,EW,65.1,65.14,Bullish,-3.12,9725.81
2020-04-08,CCL,11.86,11.99,Bullish,-3.8,9356.67
2020-04-09,NFLX,371.06,370.72,Bullish,6.84,9996.98
2020-04-13,PXD,79.03,78.55,Bullish,0.42,10038.5
2020-04-14,PVH,47.62,47.96,Bullish,-5.58,9478.69
2020-04-15,KEYS,93.29,92.97,Bullish,3.7,9829.83
2020-04-16,MAR,80.09,80.39,Bullish,-1.22,9709.98
2020-04-17,JNJ,151.99,152.02,Bullish,0.49,9757.59
2020-04-20,PGR,81.68,81.94,Bullish,1.51,9905.1
2020-04-21,AVY,102.76,103.26,Bullish,0.87,9991.39
2020-04-22,FBHS,43.34,43.08,Bullish,0.46,10037.22
2020-04-24,DE,138.94,138.63,Bullish,0.77,10114.69
2020-04-27,MNST,60.6,60.52,Bullish,-1.84,9928.14
2020-04-28,CBOE,98.76,98.5,Bullish,0.24,9952.19
2020-04-29,HSY,134.57,134.41,Bullish,-1.61,9791.74
2020-04-30,EQR,65.09,65.06,Bullish,-1.63,9632.52
2020-05-01,DGX,108.65,108.81,Bullish,-0.56,9578.94
2020-05-04,AON,178.24,177.68,Bullish,3.31,9895.95
2020-05-05,LVS,46.63,46.39,Bullish,-1.13,9784.28
2020-05-07,FB,211.16,211.26,Bullish,0.05,9789.36
2020-05-08,CDNS,82.36,82.46,Bullish,1.59,9945.12
2020-05-11,WBA,41.78,41.71,Bullish,-3.43,9603.9
2020-05-13,ED,71.24,71.46,Bullish,1.09,9708.25
2020-05-14,DLTR,75.33,75.53,Bullish,-0.28,9681.17
2020-05-15,WBA,38.31,38.4,Bullish,2.95,9966.55
2020-05-20,MAR,92.36,92.68,Bullish,-0.67,9899.37
2020-05-21,INCY,98.49,98.68,Bullish,1.74,10071.67
2020-05-22,BKR,15.1,15.12,Bullish,2.3,10303.35
2020-05-26,HST,12.22,12.17,Bullish,-0.4,10262.37
2020-05-27,ECL,207.02,207.35,Bullish,0.66,10330.29
2020-05-28,SRE,127.33,127.39,Bullish,-0.13,10317.22
2020-05-29,FBHS,61.13,60.96,Bullish,0.64,10383.19
2020-06-01,MSFT,182.54,182.83,Bullish,0.36,10420.39
2020-06-02,BR,123.28,123.28,Bullish,0.55,10477.71
2020-06-03,COP,45.11,45.12,Bullish,0.07,10484.74
2020-06-04,AIV,40.04,40.0,Bullish,0.76,10564.83
2020-06-05,AZO,1155.22,1153.93,Bullish,0.29,10595.87
2020-06-08,JBHT,122.13,122.01,Bullish,-0.1,10585.27
2020-06-09,D,85.8,85.85,Bullish,1.26,10718.32
2020-06-10,HUM,393.86,392.51,Bullish,-3.7,10321.53
2020-06-12,UNM,17.07,17.08,Bullish,5.59,10898.12
2020-06-16,LOW,131.84,131.74,Bullish,1.77,11091.08
2020-06-17,AAL,16.76,16.98,Bullish,0.73,11172.38
2020-06-18,UNH,290.43,291.48,Bullish,-1.08,11051.33
2020-06-19,BK,39.35,39.23,Bullish,-0.64,10980.09
2020-06-22,MMM,157.0,156.69,Bullish,-0.08,10971.75
2020-06-23,MAR,91.0,90.62,Bullish,-4.85,10439.92
2020-06-24,DISCK,19.7,19.68,Bullish,-0.36,10402.14
2020-06-25,TPR,12.62,12.6,Bullish,0.8,10485.69
2020-06-26,CMI,168.95,168.75,Bullish,1.41,10633.76
2020-06-29,ILMN,363.32,362.31,Bullish,2.22,10869.74
2020-06-30,STZ,174.79,174.95,Bullish,1.61,11045.03
2020-07-06,ALXN,113.75,113.57,Bullish,-0.48,10992.25
2020-07-07,EXC,36.92,37.0,Bullish,0.32,11027.87
2020-07-08,TPR,13.02,13.0,Bullish,-3.74,10614.97
2020-07-09,NFLX,508.4,507.76,Bullish,5.58,11207.26
2020-07-10,ALGN,273.6,273.29,Bullish,-1.71,11016.08
2020-07-14,DXC,15.34,15.41,Bullish,4.32,11492.0
2020-07-15,MET,38.72,38.64,Bullish,1.28,11639.25
2020-07-16,PFE,35.6,35.6,Bullish,1.09,11765.84
2020-07-17,CTAS,279.94,280.06,Bullish,-0.75,11677.99
2020-07-20,LEN,69.12,68.85,Bullish,-0.97,11564.62
2020-07-21,MAS,53.84,53.9,Bullish,2.41,11843.81
2020-07-22,TSN,60.42,60.35,Bullish,0.93,11953.71
2020-07-24,BSX,38.53,38.6,Bullish,-0.67,11873.21
2020-07-27,COTY,4.0,4.01,Bullish,3.3,12264.97
2020-07-29,AVB,151.41,151.58,Bullish,0.97,12383.73
2020-07-30,PNC,106.45,106.27,Bullish,0.21,12409.32
2020-07-31,MSI,139.7,139.8,Bullish,-2.21,12134.93
2020-08-03,JNPR,25.35,25.3,Bullish,0.47,12192.26
2020-08-04,WFC,24.2,24.22,Bullish,0.0,12192.26
2020-08-05,O,62.27,62.35,Bullish,0.23,12219.79
