Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-06,ABMD,166.53,179.04,Bullish,0.85,10085.0
2020-01-07,HOG,36.73,36.02,Bearish,-1.47,9936.52
2020-01-08,BAC,34.57,34.97,Bullish,-0.76,9860.52
2020-01-09,DUK,90.28,90.62,Bullish,-0.48,9812.78
2020-01-10,JKHY,148.98,145.51,Bearish,-0.96,9718.55
2020-01-13,CBRE,60.01,60.66,Bullish,-0.35,9684.81
2020-01-14,CINF,105.41,104.86,Bearish,-0.36,9649.77
2020-01-15,AJG,94.97,95.81,Bullish,-0.15,9635.72
2020-01-16,SCHW,46.99,49.0,Bullish,-1.55,9486.58
2020-01-17,WMB,24.06,23.86,Bearish,2.75,9747.2
2020-01-21,MMM,181.85,179.39,Bearish,0.82,9827.56
2020-01-22,EIX,78.35,77.07,Bearish,-0.97,9731.76
2020-01-23,BK,46.48,47.02,Bullish,-1.52,9583.68
2020-01-24,COST,314.02,310.51,Bearish,-1.08,9480.37
2020-01-27,LEN,66.17,67.29,Bullish,-0.24,9458.05
2020-01-28,XRAY,59.77,59.08,Bearish,0.61,9515.48
2020-01-29,DXC,34.18,33.1,Bearish,0.31,9544.68
2020-01-30,FAST,34.73,36.14,Bullish,-2.65,9291.61
2020-01-31,GOOGL,1467.86,1432.78,Bearish,-1.43,9158.44
2020-02-03,CLX,157.65,155.84,Bearish,-3.05,8879.26
2020-02-04,TIF,134.25,134.08,Bearish,-0.01,8877.94
2020-02-05,CRM,190.4,185.49,Bearish,0.05,8882.69
2020-02-06,CPRI,33.48,31.34,Bearish,1.26,8994.84
2020-02-07,SO,69.03,68.38,Bearish,0.15,9007.96
2020-02-10,HON,174.92,176.95,Bullish,0.5,9053.45
2020-02-11,ODFL,147.26,146.29,Bearish,-1.28,8937.42
2020-02-12,PGR,83.8,83.24,Bearish,-0.79,8866.53
2020-02-13,UDR,49.21,49.61,Bullish,1.13,8966.31
2020-02-14,STX,55.86,53.99,Bearish,-1.33,8847.3
2020-02-18,COF,102.13,103.03,Bullish,0.73,8911.47
2020-02-19,CMCSA,46.22,45.97,Bearish,-0.48,8868.67
2020-02-20,MO,45.09,45.56,Bullish,1.1,8966.36
2020-02-21,PHM,46.7,46.41,Bearish,0.77,9035.18
2020-02-24,PEP,145.86,142.64,Bearish,1.04,9129.6
2020-02-25,MCO,268.0,260.03,Bearish,-0.19,9112.42
2020-02-26,XRX,36.82,35.73,Bearish,2.98,9384.2
2020-02-27,REGN,468.56,431.61,Bearish,-5.26,8890.96
2020-02-28,FANG,57.13,62.0,Bullish,-0.97,8804.53
2020-03-02,FRC,100.41,105.68,Bullish,-3.21,8521.49
2020-03-03,VFC,74.87,71.51,Bearish,-2.69,8291.85
2020-03-04,JBHT,94.15,98.05,Bullish,-2.79,8060.65
2020-03-05,EW,73.04,69.65,Bearish,-1.64,7928.11
2020-03-06,KMB,139.14,146.46,Bullish,1.23,8025.79
2020-03-09,WLTW,200.91,184.74,Bearish,0.15,8037.75
2020-03-10,KSS,34.02,31.61,Bearish,6.97,8597.6
2020-03-11,WLTW,182.22,188.25,Bullish,-2.69,8366.18
2020-03-13,HPQ,18.57,17.18,Bearish,8.02,9036.75
2020-03-16,CAG,22.96,27.21,Bullish,7.78,9739.43
2020-03-17,XEC,15.22,13.25,Bearish,-10.12,8754.27
2020-03-18,HPE,7.81,8.53,Bullish,9.89,9620.19
2020-03-19,IT,83.0,92.95,Bullish,-11.8,8484.69
2020-03-20,ESS,212.0,196.33,Bearish,6.36,9024.03
2020-03-23,MAR,75.02,70.13,Bearish,-4.06,8657.37
2020-03-24,REGN,468.22,449.53,Bearish,2.99,8916.48
2020-03-25,EQR,51.68,54.57,Bullish,8.54,9677.91
2020-03-26,MYL,14.88,15.54,Bullish,-1.91,9492.9
2020-03-27,VTR,27.41,30.39,Bullish,-5.23,8996.07
2020-03-30,URI,88.43,95.16,Bullish,8.18,9731.87
2020-03-31,GLW,21.37,20.54,Bearish,2.1,9936.28
2020-04-01,NFLX,376.05,364.08,Bearish,-1.65,9772.53
2020-04-02,MSCI,268.78,286.99,Bullish,-4.39,9343.03
2020-04-03,UAA,7.68,8.22,Bullish,3.1,9632.32
2020-04-06,APA,5.2,5.87,Bullish,-1.21,9515.56
2020-04-07,CAH,50.47,47.88,Bearish,-2.15,9310.93
2020-04-08,UNH,247.69,267.83,Bullish,-0.33,9280.36
2020-04-09,FDX,129.61,122.29,Bearish,1.33,9403.42
2020-04-13,ATVI,60.32,62.75,Bullish,-1.09,9300.53
2020-04-14,IP,34.88,33.58,Bearish,2.33,9517.62
2020-04-15,ATVI,62.63,65.71,Bullish,2.41,9746.79
2020-04-16,HOG,18.63,18.35,Bearish,0.62,9806.86
2020-04-17,CPB,51.37,50.34,Bearish,-1.42,9667.26
2020-04-20,MYL,16.14,15.86,Bearish,3.32,9988.48
2020-04-21,DOV,86.6,84.51,Bearish,0.56,10044.86
2020-04-22,TIF,129.35,128.07,Bearish,0.88,10133.4
2020-04-23,TTWO,127.57,124.55,Bearish,-1.95,9936.29
2020-04-24,K,64.92,64.1,Bearish,-0.49,9887.21
2020-04-27,CB,100.8,106.53,Bullish,1.99,10083.57
2020-04-28,LDOS,103.82,102.32,Bearish,1.13,10197.82
2020-04-29,CE,81.09,86.34,Bullish,-1.46,10049.03
2020-04-30,LMT,383.1,389.06,Bullish,-0.56,9992.48
2020-05-01,BA,143.23,133.37,Bearish,-3.41,9651.33
2020-05-04,WU,18.36,18.85,Bullish,1.95,9839.37
2020-05-05,ZION,31.11,30.18,Bearish,2.06,10042.55
2020-05-06,HD,227.37,223.92,Bearish,-1.3,9912.2
2020-05-07,ESS,237.77,249.06,Bullish,-2.5,9664.56
2020-05-08,IDXX,296.28,287.9,Bearish,-4.34,9245.31
2020-05-11,VAR,118.18,121.36,Bullish,-2.74,8992.32
2020-05-12,IBM,123.01,120.26,Bearish,3.52,9308.68
2020-05-13,VRSN,208.62,212.09,Bullish,2.67,9556.76
2020-05-14,WLTW,195.83,201.66,Bullish,-0.27,9530.61
2020-05-15,CL,66.77,68.95,Bullish,0.43,9571.5
2020-05-18,GIS,63.02,61.58,Bearish,1.78,9741.79
2020-05-19,WMT,131.75,124.95,Bearish,0.82,9821.88
2020-05-20,CVS,64.1,63.22,Bearish,-0.62,9761.03
2020-05-21,ATVI,74.36,72.47,Bearish,-0.1,9751.68
2020-05-22,AOS,42.81,42.22,Bearish,-3.68,9393.09
2020-05-26,HSY,131.75,128.27,Bearish,-3.67,9048.37
2020-05-27,CME,184.71,176.53,Bearish,-1.37,8924.37
2020-05-28,LEN,65.69,60.19,Bearish,-1.17,8819.84
2020-05-29,ALB,75.45,76.52,Bullish,0.99,8907.27
2020-06-01,PRGO,54.46,55.44,Bullish,2.92,9167.44
2020-06-02,SHW,580.35,597.11,Bullish,-0.86,9088.66
2020-06-03,MDT,97.51,97.1,Bearish,-0.25,9066.11
2020-06-04,BDX,242.0,243.55,Bullish,-0.73,9000.29
2020-06-05,INTU,280.77,288.11,Bullish,2.69,9242.83
2020-06-08,ABC,97.99,102.3,Bullish,-1.09,9142.16
2020-06-09,BDX,247.35,237.28,Bearish,0.55,9192.01
2020-06-10,CMG,1042.62,1028.96,Bearish,0.16,9207.14
2020-06-11,LLY,151.85,144.08,Bearish,1.37,9333.66
