Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-21,UAL,87.88,85.79,Bearish,3.93,10393.08
2020-01-22,DTE,134.05,132.62,Bearish,-0.99,10290.4
2020-01-27,STX,61.89,60.67,Bearish,-0.63,10225.23
2020-01-29,PG,125.91,125.06,Bearish,-0.93,10130.18
2020-01-30,PPL,36.68,36.47,Bearish,0.58,10188.62
2020-02-03,EXR,110.72,109.58,Bearish,-0.73,10114.12
2020-02-06,HAS,105.5,102.49,Bearish,2.48,10365.3
2020-02-07,PKG,103.68,101.38,Bearish,0.34,10400.22
2020-02-11,COST,314.03,310.68,Bearish,-1.4,10254.64
2020-02-12,FTV,66.95,66.11,Bearish,1.55,10414.1
2020-02-13,WAT,223.58,220.58,Bearish,2.01,10623.8
2020-02-18,EFX,162.6,159.63,Bearish,-1.1,10507.02
2020-02-19,PEAK,37.16,36.82,Bearish,-1.0,10401.72
2020-02-20,FLT,320.77,317.39,Bearish,1.93,10602.49
2020-02-26,HRL,44.94,43.94,Bearish,2.41,10857.94
2020-03-03,PVH,74.22,71.93,Bearish,-1.65,10678.45
2020-03-11,AWK,135.35,129.67,Bearish,3.47,11048.93
2020-03-18,EMR,43.99,41.14,Bearish,-13.57,9549.2
2020-03-20,VRTX,217.7,206.0,Bearish,3.94,9925.27
2020-03-23,VLO,37.31,32.62,Bearish,3.43,10265.52
2020-03-27,HST,11.79,11.28,Bearish,-0.44,10220.37
2020-04-07,CAG,31.39,30.45,Bearish,-2.59,9955.82
2020-04-13,CSX,63.31,61.57,Bearish,-0.68,9888.51
2020-04-28,ADBE,353.09,333.45,Bearish,-2.84,9607.75
2020-04-29,SBUX,78.18,76.86,Bearish,0.13,9620.26
2020-04-30,FBHS,50.51,48.2,Bearish,1.15,9731.05
2020-05-01,IDXX,277.51,270.75,Bearish,-1.73,9562.9
2020-05-06,CL,69.39,67.84,Bearish,0.15,9576.78
2020-05-12,AMAT,54.4,52.33,Bearish,1.92,9761.02
2020-05-19,WMT,131.75,124.95,Bearish,0.82,9841.28
2020-05-28,LB,17.24,16.28,Bearish,-2.79,9566.35
2020-05-29,CVS,66.39,65.57,Bearish,-0.31,9537.11
2020-06-04,FMC,101.32,99.8,Bearish,-0.73,9467.3
2020-06-09,SRE,133.1,130.31,Bearish,1.49,9608.04
2020-06-11,AMZN,2603.5,2557.96,Bearish,2.16,9815.59
2020-06-17,ORCL,53.03,51.52,Bearish,-4.05,9418.02
2020-06-24,EXPD,75.0,73.62,Bearish,0.63,9477.0
2020-07-02,DISH,35.35,33.06,Bearish,0.53,9527.65
2020-07-10,PYPL,181.63,178.4,Bearish,4.94,9998.17
2020-07-13,COST,326.3,322.92,Bearish,-2.08,9790.31
2020-07-14,HRB,14.0,13.61,Bearish,-7.46,9059.49
2020-07-20,EIX,55.98,54.89,Bearish,-1.43,8929.74
2020-07-21,NLOK,20.6,19.94,Bearish,-3.34,8631.04
2020-07-24,NLOK,21.06,20.39,Bearish,-1.12,8534.63
2020-07-30,KHC,35.06,34.39,Bearish,-0.76,8469.59
2020-08-06,SCHW,33.58,33.14,Bearish,-3.09,8207.96
2020-08-07,ADSK,242.47,236.24,Bearish,1.91,8364.9
2020-08-11,ESS,224.68,219.53,Bearish,-0.35,8335.68
2020-08-12,OMC,56.11,54.15,Bearish,-1.27,8230.01
2020-08-14,IDXX,384.78,379.4,Bearish,-0.65,8176.57
2020-08-18,JWN,16.34,15.45,Bearish,-0.59,8128.5
2020-08-20,ZBRA,282.56,276.55,Bearish,0.75,8189.45
2020-08-24,CCI,163.1,161.01,Bearish,0.23,8208.26
2020-08-25,CBOE,92.88,90.6,Bearish,-1.3,8101.62
2020-08-26,ADS,46.25,44.92,Bearish,-3.89,7786.75
2020-08-31,L,36.71,35.86,Bearish,-1.66,7657.63
2020-09-03,FLS,30.02,28.92,Bearish,0.61,7704.2
2020-09-04,EIX,53.06,52.26,Bearish,2.02,7859.96
2020-09-15,NTRS,81.2,78.76,Bearish,-5.2,7451.61
2020-09-16,STZ,197.0,193.2,Bearish,0.06,7455.87
2020-09-21,PNR,45.64,44.64,Bearish,-1.66,7332.33
2020-09-23,NVDA,503.02,484.95,Bearish,-2.28,7164.85
2020-09-24,AON,200.42,195.68,Bearish,-1.04,7090.37
2020-09-29,MGM,22.58,21.72,Bearish,0.68,7138.94
2020-10-02,AMGN,252.4,245.41,Bearish,-3.85,6864.12
2020-10-06,FANG,31.63,29.21,Bearish,0.61,6905.79
2020-10-09,PFG,43.71,42.47,Bearish,-0.28,6886.37
2020-10-14,VRSK,193.49,191.76,Bearish,-1.19,6804.36
2020-10-19,NLSN,14.02,13.61,Bearish,1.09,6878.53
2020-10-26,PFG,42.84,41.99,Bearish,3.22,7100.15
2020-10-28,FE,33.0,31.76,Bearish,-0.38,7073.26
2020-11-03,CF,27.97,27.02,Bearish,1.91,7208.59
2020-11-04,KEY,13.34,12.54,Bearish,-4.28,6900.14
