Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-21,UAL,87.88,85.79,Bearish,3.93,10393.08
2020-01-22,DTE,134.05,132.62,Bearish,-0.99,10290.4
2020-01-23,EW,80.5,77.09,Bearish,0.73,10365.31
2020-01-24,FISV,122.58,120.84,Bearish,-0.51,10312.92
2020-01-27,ATO,117.17,116.39,Bearish,0.2,10333.27
2020-01-29,DLR,130.22,127.63,Bearish,1.16,10452.68
2020-01-30,URI,150.05,141.58,Bearish,2.97,10762.88
2020-02-03,EXR,110.72,109.58,Bearish,-0.73,10684.19
2020-02-06,HAS,105.5,102.49,Bearish,2.48,10949.51
2020-02-07,TXN,131.25,128.7,Bearish,-1.65,10769.24
2020-02-11,COST,314.03,310.68,Bearish,-1.4,10618.5
2020-02-12,CERN,80.52,76.68,Bearish,-0.49,10566.89
2020-02-13,LYB,84.8,83.49,Bearish,1.26,10699.52
2020-02-18,WFC,47.97,46.99,Bearish,0.34,10735.76
2020-02-19,VTR,59.64,59.15,Bearish,-6.21,10068.77
2020-02-20,MSCI,330.32,321.71,Bearish,2.62,10332.08
2020-02-21,OXY,42.55,42.12,Bearish,2.52,10592.3
2020-02-26,HRL,44.94,43.94,Bearish,2.41,10847.51
2020-03-03,RHI,50.92,48.44,Bearish,-1.83,10649.4
2020-03-05,WELL,78.53,76.17,Bearish,0.23,10673.82
2020-03-11,BKNG,1522.29,1442.5,Bearish,1.28,10810.43
2020-03-16,ED,82.65,79.55,Bearish,-15.3,9156.07
2020-03-18,ALL,81.64,75.55,Bearish,-0.76,9086.9
2020-03-20,MMM,138.07,124.89,Bearish,8.03,9816.49
2020-03-23,CFG,17.68,15.87,Bearish,-2.01,9619.6
2020-03-27,BKNG,1344.87,1255.15,Bearish,-3.72,9261.44
2020-04-07,CAG,31.39,30.45,Bearish,-2.59,9021.71
2020-04-13,IEX,151.58,146.63,Bearish,-0.09,9013.9
2020-04-15,BBY,66.72,64.76,Bearish,-0.62,8958.07
2020-04-20,JBHT,106.14,100.89,Bearish,-2.95,8694.0
2020-04-28,SYK,193.73,185.01,Bearish,-2.17,8505.45
2020-04-29,EXR,94.04,89.54,Bearish,0.29,8530.44
2020-04-30,WRK,33.2,32.19,Bearish,2.34,8730.33
2020-05-01,IDXX,277.51,270.75,Bearish,-1.73,8579.47
2020-05-06,LYB,54.8,52.11,Bearish,-0.58,8529.69
2020-05-07,ABBV,86.52,84.22,Bearish,0.54,8576.16
2020-05-11,WAB,56.3,54.65,Bearish,3.98,8917.52
2020-05-12,AMAT,54.4,52.33,Bearish,1.92,9089.07
2020-05-19,INCY,97.33,94.92,Bearish,-3.03,8813.82
2020-05-21,EA,119.88,117.36,Bearish,-2.22,8618.33
2020-05-28,LB,17.24,16.28,Bearish,-2.79,8377.56
2020-05-29,CVS,66.39,65.57,Bearish,-0.31,8351.96
2020-06-01,WM,107.0,106.01,Bearish,-1.33,8240.88
2020-06-02,ICE,98.04,96.35,Bearish,-1.29,8134.28
2020-06-04,ALGN,268.11,260.07,Bearish,-7.6,7515.97
2020-06-09,NTAP,48.58,46.72,Bearish,1.7,7643.85
2020-06-11,FCX,10.68,9.91,Bearish,-0.38,7614.59
2020-06-17,ORCL,53.03,51.52,Bearish,-4.05,7306.17
2020-06-23,WDC,45.36,43.51,Bearish,2.63,7498.12
2020-06-24,EXPD,75.0,73.62,Bearish,0.63,7545.08
2020-06-26,TMUS,109.15,105.2,Bearish,-0.16,7532.96
2020-07-01,PHM,34.17,32.98,Bearish,2.52,7722.79
2020-07-02,DISH,35.35,33.06,Bearish,0.53,7764.06
2020-07-06,PSA,202.24,196.53,Bearish,0.11,7772.44
2020-07-09,CL,74.06,73.32,Bearish,-0.56,7728.95
2020-07-10,PYPL,181.63,178.4,Bearish,4.94,8110.64
2020-07-13,COST,326.3,322.92,Bearish,-2.08,7942.02
2020-07-14,HRB,14.0,13.61,Bearish,-7.46,7349.17
2020-07-16,INCY,103.83,101.58,Bearish,-1.75,7220.6
2020-07-20,ROK,224.51,222.44,Bearish,0.76,7275.25
2020-07-21,GILD,77.35,76.78,Bearish,0.81,7333.93
2020-07-24,ABT,100.21,98.95,Bearish,-1.46,7226.77
2020-07-30,KHC,35.06,34.39,Bearish,-0.76,7171.7
2020-07-31,FDX,172.0,168.4,Bearish,0.19,7185.66
2020-08-03,CBRE,43.62,41.35,Bearish,-0.83,7126.29
2020-08-05,REGN,654.95,624.52,Bearish,1.22,7213.2
2020-08-06,HAL,15.34,14.82,Bearish,-1.64,7095.03
2020-08-07,ADSK,242.47,236.24,Bearish,1.91,7230.69
2020-08-11,SO,55.27,54.19,Bearish,-0.62,7185.6
2020-08-12,EMN,75.5,73.58,Bearish,-0.08,7179.72
2020-08-13,SIVB,253.42,249.6,Bearish,-1.69,7058.41
2020-08-14,IDXX,384.78,379.4,Bearish,-0.65,7012.58
2020-08-18,UHS,114.71,112.11,Bearish,0.42,7041.91
2020-08-19,MAA,116.06,113.28,Bearish,-1.76,6917.73
2020-08-20,MCHP,106.53,104.92,Bearish,-3.18,6697.5
2020-08-24,CCI,163.1,161.01,Bearish,0.23,6712.88
2020-08-25,CBOE,92.88,90.6,Bearish,-1.3,6625.67
2020-08-26,STT,69.0,67.98,Bearish,-1.7,6512.8
2020-08-27,ADI,120.95,119.04,Bearish,-0.38,6488.19
2020-08-28,JBHT,143.53,141.75,Bearish,1.06,6557.16
2020-08-31,LNC,37.76,36.05,Bearish,-1.4,6465.2
2020-09-03,ADBE,526.04,507.8,Bearish,2.52,6628.03
2020-09-04,EIX,53.06,52.26,Bearish,2.02,6762.03
2020-09-10,EL,219.54,214.6,Bearish,0.69,6808.95
2020-09-11,DISCA,23.41,22.83,Bearish,-3.35,6581.0
