Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-13,NBL,22.25,22.26,Bearish,-1.16,9883.88
2020-01-15,WYNN,149.28,150.03,Bullish,0.8,9963.08
2020-01-16,DISH,36.68,36.82,Bullish,0.11,9973.92
2020-01-21,TMUS,81.99,82.03,Bullish,0.43,10016.42
2020-01-23,RSG,94.13,94.41,Bullish,0.15,10031.26
2020-01-24,VLO,89.12,89.26,Bearish,2.04,10235.77
2020-01-27,MAA,136.56,136.64,Bullish,0.53,10290.42
2020-01-28,IDXX,277.35,278.64,Bearish,-0.36,10253.65
2020-01-29,ROK,196.0,196.17,Bullish,0.22,10275.8
2020-01-30,ALLE,130.0,130.66,Bullish,-0.88,10185.23
2020-01-31,FTI,16.12,16.51,Bearish,-2.29,9952.21
2020-02-07,CTL,14.48,14.53,Bullish,2.07,10157.98
2020-02-10,ODFL,146.69,146.81,Bullish,-0.66,10091.3
2020-02-12,DHR,163.56,163.83,Bullish,0.1,10101.81
2020-02-13,MU,59.01,59.33,Bullish,-2.76,9823.07
2020-02-18,SPG,138.96,139.17,Bullish,-1.34,9691.5
2020-02-20,IPG,24.91,24.93,Bullish,-1.53,9542.94
2020-02-21,HES,63.9,64.42,Bullish,-1.75,9376.34
2020-03-02,CTSH,60.6,61.33,Bearish,2.15,9577.96
2020-03-05,PEAK,33.91,34.62,Bullish,-0.33,9546.82
2020-03-11,WMB,15.74,16.02,Bullish,-8.15,8768.3
2020-03-18,ORCL,43.67,47.27,Bullish,-3.01,8504.13
2020-03-19,GPS,7.66,8.07,Bearish,12.8,9592.83
2020-03-23,APH,68.94,69.0,Bullish,2.3,9813.85
2020-03-25,DGX,78.23,79.02,Bullish,10.49,10843.75
2020-03-26,IR,22.59,23.41,Bullish,1.12,10964.88
2020-03-27,WELL,47.52,49.7,Bullish,-3.02,10633.57
2020-03-30,CMG,622.21,639.97,Bearish,-3.11,10302.83
2020-03-31,CL,66.01,66.36,Bullish,1.24,10430.12
2020-04-02,APTV,44.72,45.59,Bearish,5.73,11027.49
2020-04-03,TXT,24.47,24.85,Bearish,-2.94,10703.64
2020-04-13,ALLE,94.88,95.77,Bullish,0.17,10722.26
2020-04-15,GOOG,1245.61,1262.47,Bullish,-0.83,10632.8
2020-04-16,DISCK,19.35,19.52,Bearish,-0.7,10558.59
2020-04-20,AMP,107.27,110.11,Bullish,-2.41,10304.59
2020-04-21,EBAY,37.51,37.61,Bullish,0.26,10331.6
2020-04-23,FAST,34.77,34.92,Bullish,2.5,10590.25
2020-04-24,FBHS,43.59,43.72,Bullish,5.78,11202.79
2020-04-29,ALB,64.06,64.67,Bullish,-3.71,10786.64
2020-05-01,HD,216.77,218.57,Bearish,-2.38,10529.77
2020-05-05,CAG,33.33,33.39,Bullish,-0.48,10479.58
2020-05-08,EA,116.25,116.62,Bullish,0.38,10519.02
2020-05-11,ETFC,40.6,40.98,Bullish,-3.93,10105.85
2020-05-13,SJM,117.69,118.19,Bullish,-2.94,9808.34
2020-05-14,XEL,57.93,58.2,Bearish,0.33,9840.43
2020-05-15,UDR,34.51,34.76,Bearish,-1.79,9663.93
2020-05-19,KLAC,172.21,172.52,Bullish,1.38,9797.19
2020-05-21,CF,27.5,27.7,Bullish,-0.22,9775.93
2020-05-22,APA,12.0,12.17,Bullish,0.08,9783.63
2020-06-01,SWK,125.03,125.09,Bearish,-3.28,9462.26
2020-06-02,SBAC,314.35,318.26,Bullish,0.84,9541.63
2020-06-04,AMCR,10.45,10.53,Bullish,1.02,9639.09
2020-06-08,EL,203.5,204.84,Bullish,-1.14,9528.95
2020-06-18,CDNS,93.09,93.73,Bullish,-3.24,9219.95
2020-06-22,BWA,34.13,34.28,Bullish,1.29,9338.59
2020-06-26,NOC,300.68,301.86,Bearish,-1.38,9209.92
2020-06-30,PWR,38.99,39.23,Bullish,-2.64,8966.69
2020-07-07,BDX,248.38,251.38,Bullish,0.31,8994.8
2020-07-08,IRM,26.03,26.16,Bearish,-0.08,8987.93
2020-07-14,HPE,9.39,9.51,Bullish,-1.23,8877.42
2020-07-15,NFLX,516.3,523.26,Bearish,-0.17,8862.08
2020-07-16,FITB,18.81,19.16,Bullish,-1.68,8713.45
2020-07-20,CINF,76.06,77.06,Bullish,1.92,8880.49
2020-07-22,AFL,36.12,36.66,Bullish,1.26,8992.31
2020-07-23,XRAY,43.96,43.98,Bullish,-1.99,8812.96
2020-07-24,SBAC,298.49,298.68,Bullish,1.86,8976.88
2020-07-27,VLO,57.8,58.03,Bullish,-1.27,8863.15
2020-07-28,LB,19.09,19.12,Bearish,-9.89,7986.24
2020-07-30,AKAM,109.11,110.5,Bearish,-1.14,7895.01
2020-07-31,HSY,144.97,145.41,Bearish,0.27,7916.19
2020-08-04,FRC,112.73,113.2,Bullish,0.48,7954.38
2020-08-06,CE,98.32,98.97,Bullish,3.04,8196.26
2020-08-13,GPN,172.4,173.4,Bullish,-0.14,8184.4
2020-08-14,MA,325.67,326.8,Bearish,-0.99,8103.56
2020-08-18,ROK,232.98,233.02,Bullish,-1.43,7987.59
2020-08-19,ABMD,312.38,314.35,Bullish,-0.37,7958.07
2020-08-20,CPRT,99.98,100.39,Bearish,-0.8,7894.34
2020-08-21,JPM,97.27,97.32,Bearish,-1.64,7765.24
2020-08-26,KSS,20.55,20.71,Bullish,1.78,7903.7
2020-08-28,XEL,68.58,68.65,Bullish,1.82,8047.34
2020-08-31,MAA,116.66,117.12,Bullish,0.04,8050.8
2020-09-02,HES,45.7,45.89,Bearish,-1.71,7913.18
2020-09-08,VIAC,28.47,28.71,Bullish,-0.35,7885.71
2020-09-11,ED,72.68,72.74,Bearish,-1.06,7801.96
2020-09-15,CBOE,89.43,89.61,Bullish,0.96,7876.76
2020-09-17,DISCK,21.88,22.0,Bullish,-0.59,7830.04
2020-09-18,INFO,78.66,79.11,Bearish,0.43,7864.01
2020-09-21,FTNT,116.23,117.84,Bullish,0.17,7877.28
2020-09-22,HD,271.68,273.31,Bearish,3.22,8130.97
2020-09-29,NFLX,489.5,493.48,Bullish,1.51,8254.11
2020-09-30,AMAT,59.43,59.45,Bullish,0.46,8292.4
2020-10-02,CCI,166.91,168.62,Bullish,0.02,8294.37
2020-10-06,CSCO,38.5,38.57,Bullish,1.08,8383.74
2020-10-07,NBL,4.18,4.18,Bearish,-0.0,8383.74
2020-10-09,NBL,4.2,4.2,Bullish,0.0,8383.74
2020-10-12,SIVB,274.56,276.29,Bullish,-2.73,8154.59
2020-10-13,INFO,79.38,79.79,Bullish,-0.76,8092.45
2020-10-14,LW,71.91,72.13,Bearish,-3.11,7840.67
2020-10-15,GPC,100.08,101.28,Bullish,-0.41,7808.17
2020-10-16,ATO,94.37,94.49,Bearish,0.55,7851.02
2020-10-21,ADM,50.77,50.81,Bullish,1.57,7974.46
2020-10-26,EXR,118.04,118.61,Bullish,-1.41,7861.67
2020-10-27,TPR,21.28,21.42,Bearish,-2.7,7649.5
2020-10-29,TSCO,132.56,133.02,Bearish,-0.42,7617.2
2020-10-30,EVRG,55.08,55.2,Bearish,-0.54,7576.4
2020-11-03,TIF,130.9,131.0,Bullish,0.02,7577.56
2020-11-04,MHK,115.84,118.09,Bullish,3.18,7818.84
