Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-16,KHC,31.7,31.73,Bullish,-2.42,9757.86
2020-01-17,BMY,66.75,66.72,Bullish,1.09,9864.66
2020-01-21,TSCO,93.56,93.64,Bullish,-1.01,9764.77
2020-01-22,JWN,39.8,39.88,Bullish,-0.61,9705.56
2020-01-27,MTB,168.32,168.03,Bullish,0.76,9778.87
2020-01-28,MDT,119.21,119.18,Bullish,-1.15,9666.18
2020-01-29,F,8.85,8.86,Bullish,0.34,9699.1
2020-01-30,EQIX,602.7,603.0,Bullish,-2.37,9468.85
2020-02-03,HBAN,13.7,13.72,Bullish,-0.43,9428.07
2020-02-04,TAP,56.87,56.91,Bullish,1.74,9591.73
2020-02-05,COO,353.11,353.57,Bullish,-0.3,9563.29
2020-02-06,AJG,105.23,105.12,Bullish,-0.18,9546.0
2020-02-07,ETR,131.8,131.94,Bullish,0.57,9600.18
2020-02-10,ALB,83.11,83.25,Bullish,1.12,9707.91
2020-02-11,AFL,52.89,52.94,Bullish,-1.17,9594.39
2020-02-12,DRI,122.65,122.45,Bullish,0.12,9606.17
2020-02-13,CAH,59.54,59.4,Bullish,0.73,9675.96
2020-02-14,BLL,77.18,77.22,Bullish,0.83,9755.96
2020-02-18,VIAC,35.02,35.1,Bullish,1.31,9883.42
2020-02-19,PEP,145.62,145.53,Bullish,-0.42,9842.06
2020-02-20,NWL,19.83,19.89,Bullish,-2.63,9582.93
2020-02-21,CTL,13.23,13.22,Bullish,0.38,9619.79
2020-02-24,O,82.12,82.17,Bullish,-1.64,9461.93
2020-02-26,VRSN,195.56,195.85,Bullish,-1.08,9359.76
2020-02-27,ORCL,50.88,50.78,Bullish,0.45,9401.58
2020-03-05,CBOE,115.92,115.95,Bullish,1.54,9546.28
2020-03-06,HBI,12.07,12.02,Bullish,0.63,9606.0
2020-03-09,DISCK,22.51,22.54,Bullish,3.52,9944.15
2020-03-12,INCY,68.15,68.02,Bullish,6.17,10557.52
2020-03-16,GD,126.26,126.7,Bullish,2.67,10839.23
2020-03-19,OMC,55.25,54.84,Bullish,-10.82,9665.89
2020-03-20,ADS,27.26,27.55,Bullish,16.92,11301.77
2020-03-23,TRV,87.6,88.36,Bullish,2.65,11601.27
2020-03-24,HLT,68.43,69.39,Bullish,-4.06,11129.89
2020-03-25,DRE,28.74,28.52,Bullish,6.87,11894.65
2020-03-27,IBM,108.58,108.03,Bullish,4.48,12427.27
2020-03-30,HON,130.75,131.75,Bullish,1.48,12611.08
2020-03-31,SWKS,89.97,89.38,Bullish,-4.49,12044.28
2020-04-01,CDW,89.32,88.83,Bullish,1.55,12230.59
2020-04-02,LVS,39.9,40.27,Bullish,-5.79,11522.58
2020-04-03,LMT,352.0,350.5,Bullish,1.67,11714.88
2020-04-06,IEX,143.26,143.96,Bullish,-1.32,11560.57
2020-04-07,WELL,44.79,44.4,Bullish,13.66,13139.68
2020-04-09,IQV,128.3,128.53,Bullish,-2.05,12870.49
2020-04-13,UPS,98.58,98.42,Bullish,0.84,12978.0
2020-04-14,MA,269.88,270.72,Bullish,-1.29,12810.12
2020-04-15,FFIV,120.37,120.42,Bullish,2.53,13134.39
2020-04-16,CBOE,98.04,97.94,Bullish,3.85,13639.87
2020-04-17,TPR,15.16,15.22,Bullish,-3.4,13176.25
2020-04-20,HD,206.13,206.05,Bullish,-0.07,13167.06
2020-04-21,ULTA,201.0,201.57,Bullish,1.55,13371.43
2020-04-22,KMX,64.79,64.91,Bullish,1.48,13568.83
2020-04-23,GPS,7.02,7.1,Bullish,-3.77,13057.87
2020-04-27,IBM,125.56,125.92,Bullish,-1.37,12878.36
2020-04-28,VMC,110.75,110.77,Bullish,2.95,13257.97
2020-04-29,CBOE,99.08,99.32,Bullish,0.07,13267.32
2020-04-30,IFF,131.43,131.03,Bullish,-1.81,13027.61
2020-05-04,DGX,107.88,107.28,Bullish,0.12,13043.26
2020-05-05,AFL,35.86,35.92,Bullish,-3.52,12584.38
2020-05-06,INTC,59.04,59.18,Bullish,-1.27,12424.79
2020-05-07,BEN,18.06,18.14,Bullish,4.52,12986.17
2020-05-08,VFC,58.44,58.23,Bullish,-0.3,12947.76
2020-05-11,COP,42.23,42.27,Bullish,-2.44,12631.81
2020-05-12,KHC,29.34,29.38,Bullish,-2.31,12340.05
2020-05-13,CHD,73.27,73.45,Bullish,-0.68,12255.87
2020-05-15,IEX,148.14,148.42,Bullish,1.42,12430.31
2020-05-18,LDOS,98.9,98.73,Bullish,-0.93,12314.49
2020-05-19,PGR,76.1,75.87,Bullish,-2.0,12067.95
2020-05-20,AIG,28.2,28.04,Bullish,2.93,12421.49
2020-05-21,AAL,9.87,9.89,Bullish,-3.19,12024.8
2020-05-26,NVR,3202.0,3214.42,Bullish,2.15,12283.44
2020-05-28,ZTS,137.81,138.11,Bullish,0.69,12367.73
2020-05-29,TDG,423.19,424.82,Bullish,3.54,12806.09
2020-06-01,LRCX,270.6,270.97,Bullish,-0.35,12761.43
2020-06-02,DLTR,96.75,96.98,Bullish,-3.23,12348.8
2020-06-03,PNW,79.11,78.97,Bullish,-0.95,12230.94
2020-06-04,NVR,3386.79,3396.38,Bullish,0.46,12287.5
2020-06-05,PNW,79.22,79.38,Bullish,3.07,12664.15
2020-06-08,WAT,208.47,208.22,Bullish,-4.46,12099.57
2020-06-09,CMG,1036.91,1039.47,Bullish,-1.31,11941.05
2020-06-10,FTNT,137.35,137.64,Bullish,-3.42,11533.06
2020-06-17,PEP,131.89,131.76,Bullish,1.03,11652.41
2020-06-18,MGM,18.46,18.58,Bullish,-4.31,11150.31
2020-06-19,NVDA,369.7,370.45,Bullish,2.44,11422.17
