Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-17,PSX,103.79,103.31,Bullish,-0.16,9984.39
2020-01-21,FTV,65.59,65.42,Bullish,-1.26,9858.71
2020-01-22,HOG,35.31,35.17,Bullish,0.95,9951.88
2020-01-23,STT,80.06,80.46,Bullish,-2.7,9683.64
2020-01-24,DISCK,28.7,28.65,Bullish,1.21,9800.4
2020-01-27,CI,202.2,199.95,Bullish,1.98,9994.12
2020-01-28,SLB,34.22,33.96,Bullish,-1.66,9828.03
2020-01-30,WY,29.91,30.07,Bullish,-0.75,9753.91
2020-02-03,XLNX,84.7,85.05,Bullish,-1.3,9627.09
2020-02-05,PSA,222.97,222.14,Bullish,0.82,9705.94
2020-02-06,AMD,48.8,49.32,Bullish,1.68,9868.67
2020-02-07,SPG,140.32,141.02,Bullish,0.67,9934.64
2020-02-10,APA,27.88,27.97,Bullish,-1.43,9792.12
2020-02-11,ODFL,147.26,146.29,Bullish,1.28,9917.61
2020-02-12,NI,29.72,29.83,Bullish,1.21,10037.3
2020-02-13,HIG,58.93,59.24,Bullish,-0.12,10025.42
2020-02-14,SCHW,47.12,47.23,Bullish,-0.64,9961.47
2020-02-18,RE,290.5,289.79,Bullish,-0.23,9938.9
2020-02-19,FE,52.26,52.15,Bullish,-0.65,9874.07
2020-02-20,NRG,39.38,39.04,Bullish,1.23,9995.94
2020-02-21,FCX,12.01,11.94,Bullish,-0.09,9987.06
2020-02-24,APA,26.96,26.75,Bullish,-6.39,9349.12
2020-02-28,NRG,33.65,33.21,Bullish,2.58,9590.49
2020-03-02,AAL,19.05,18.86,Bullish,-9.21,8707.54
2020-03-04,NCLH,34.25,33.0,Bullish,-8.69,7951.09
2020-03-05,BSX,37.99,37.46,Bullish,4.04,8272.3
2020-03-06,EXR,108.28,110.02,Bullish,0.26,8293.45
2020-03-09,PBCT,13.04,13.21,Bullish,2.22,8477.61
2020-03-10,WELL,66.64,64.61,Bullish,-9.76,7650.16
2020-03-11,CNP,18.12,17.66,Bullish,-9.0,6961.93
2020-03-16,TFX,288.97,282.66,Bullish,-9.27,6316.66
2020-03-17,M,6.8,6.7,Bullish,0.65,6357.68
2020-03-18,HLT,58.01,56.68,Bullish,5.51,6707.93
2020-03-19,HBAN,7.47,7.68,Bullish,-2.31,6553.13
2020-03-23,KO,38.76,37.56,Bullish,-4.29,6271.74
2020-03-25,ROL,33.53,32.59,Bullish,2.56,6432.11
2020-03-26,MCHP,75.45,74.52,Bullish,-4.54,6140.4
2020-03-27,SEE,25.2,24.72,Bullish,4.0,6386.11
2020-03-30,F,5.11,5.03,Bullish,-3.98,6132.19
2020-03-31,WM,93.58,92.56,Bullish,-1.91,6015.19
2020-04-01,KSU,119.18,122.13,Bullish,3.1,6201.76
2020-04-02,UNH,235.3,240.44,Bullish,-3.71,5971.98
2020-04-03,LH,115.11,113.31,Bullish,5.01,6271.12
2020-04-08,T,29.95,29.89,Bullish,2.43,6423.72
2020-04-09,NFLX,371.06,370.72,Bullish,6.84,6863.31
2020-04-13,FOX,25.46,25.4,Bullish,0.81,6919.18
2020-04-14,COP,34.37,34.08,Bullish,0.09,6925.63
2020-04-15,FOXA,25.77,25.7,Bullish,-0.39,6898.62
2020-04-16,FTV,47.59,47.51,Bullish,3.52,7141.16
2020-04-17,EA,116.71,115.15,Bullish,0.5,7176.6
2020-04-20,BK,36.75,36.41,Bullish,-0.34,7152.22
2020-04-21,BR,108.43,107.36,Bullish,0.28,7172.55
2020-04-23,AVB,159.47,157.45,Bullish,0.2,7187.07
2020-04-24,TRV,100.89,100.82,Bullish,1.17,7271.17
2020-04-27,HP,17.15,17.72,Bullish,1.12,7352.52
2020-04-29,HSY,134.57,134.41,Bullish,-1.61,7233.98
2020-04-30,TSN,63.0,62.19,Bullish,-1.98,7091.0
2020-05-01,SIVB,187.23,184.86,Bullish,0.51,7127.35
2020-05-04,DD,44.51,44.72,Bullish,-2.81,6927.39
2020-05-06,PM,72.43,71.5,Bullish,-3.56,6680.69
2020-05-08,ED,74.9,74.18,Bullish,-1.55,6577.47
2020-05-11,KSS,17.86,17.54,Bullish,-4.95,6251.92
2020-05-12,FANG,41.62,40.87,Bullish,-5.85,5885.91
2020-05-13,WHR,105.0,103.75,Bullish,5.69,6220.68
2020-05-14,AIV,33.2,33.55,Bullish,1.2,6295.6
2020-05-19,PM,67.87,68.51,Bullish,2.44,6449.36
2020-05-20,EQIX,653.54,655.48,Bullish,-0.86,6393.79
2020-05-21,MKTX,475.7,472.93,Bullish,2.07,6526.12
2020-05-22,AFL,34.94,34.7,Bullish,-0.06,6522.52
2020-05-26,CLX,198.46,197.13,Bullish,2.36,6676.41
2020-05-27,SWKS,118.13,119.03,Bullish,-2.8,6489.27
2020-05-29,IFF,133.97,133.19,Bullish,-1.01,6423.58
2020-06-02,MU,46.49,46.82,Bullish,1.83,6541.24
2020-06-03,BDX,243.21,243.04,Bullish,0.64,6583.14
2020-06-04,PGR,78.59,78.8,Bullish,1.92,6709.34
2020-06-05,NEM,53.96,54.76,Bullish,2.11,6851.2
2020-06-08,VRTX,264.05,265.01,Bullish,1.34,6942.71
2020-06-09,SNA,152.79,151.44,Bullish,-3.24,6717.94
2020-06-10,CERN,72.12,71.87,Bullish,-5.72,6333.6
2020-06-11,IRM,28.04,27.61,Bullish,-0.64,6292.88
2020-06-12,MO,39.41,39.13,Bullish,4.76,6592.15
2020-06-15,BMY,55.64,55.1,Bullish,2.02,6725.34
2020-06-17,EXC,38.68,38.45,Bullish,0.16,6735.92
2020-06-18,ANTM,263.92,265.53,Bullish,-1.42,6640.22
2020-06-19,NTRS,83.36,82.66,Bullish,0.02,6641.84
2020-06-22,BDX,236.93,235.19,Bullish,0.43,6670.45
2020-06-23,EIX,56.49,55.77,Bullish,-1.66,6559.46
2020-06-24,DTE,105.83,105.27,Bullish,0.11,6566.97
2020-06-25,SHW,567.63,573.21,Bullish,-2.67,6391.79
2020-06-26,BMY,57.96,57.54,Bullish,-0.33,6370.85
2020-06-29,ROST,83.93,85.24,Bullish,0.27,6388.08
2020-06-30,PWR,38.99,39.23,Bullish,-2.64,6219.38
2020-07-06,LUV,34.72,34.3,Bullish,-1.43,6130.24
2020-07-07,IP,35.49,35.24,Bullish,-2.74,5962.57
2020-07-08,UA,8.62,8.64,Bullish,-3.27,5767.76
2020-07-09,TROW,124.27,122.83,Bullish,3.26,5955.89
2020-07-10,CMG,1110.58,1118.04,Bullish,-3.8,5729.58
2020-07-14,FB,236.76,239.73,Bullish,-0.53,5699.46
2020-07-15,FTNT,131.4,129.32,Bullish,-0.27,5684.28
2020-07-16,EQIX,716.4,714.09,Bullish,0.97,5739.2
2020-07-17,OMC,56.23,55.69,Bullish,-2.26,5609.28
2020-07-20,TXT,33.5,32.99,Bullish,2.04,5723.72
2020-07-22,VRTX,293.56,291.23,Bullish,-2.36,5588.75
2020-07-23,MAR,89.91,88.97,Bullish,-1.56,5501.36
2020-07-24,TMO,403.37,406.38,Bullish,2.24,5624.33
2020-07-27,AES,15.39,15.25,Bullish,0.46,5650.36
2020-07-29,PFG,43.33,43.88,Bullish,-0.31,5633.1
2020-07-30,PCAR,85.13,84.61,Bullish,1.01,5689.95
2020-07-31,HON,148.92,149.37,Bullish,-1.07,5629.31
2020-08-03,GPS,13.22,13.11,Bullish,3.07,5801.86
2020-08-04,CL,76.53,76.77,Bullish,-0.79,5755.77
2020-08-05,ADI,116.58,116.17,Bullish,0.54,5787.0
2020-08-06,EIX,53.58,53.87,Bullish,1.73,5887.26
2020-08-07,NOV,11.83,11.99,Bullish,2.9,6057.97
2020-08-10,CDNS,108.35,107.19,Bullish,-1.29,5980.08
2020-08-11,HOLX,66.34,65.79,Bullish,2.61,6136.21
2020-08-12,PSA,199.53,198.38,Bullish,-0.08,6131.55
2020-08-13,CINF,80.06,79.58,Bullish,0.63,6170.06
2020-08-14,FB,262.31,261.24,Bullish,-0.51,6138.57
2020-08-17,VNO,35.61,35.18,Bullish,-1.14,6068.57
2020-08-18,LW,63.46,63.28,Bullish,1.04,6131.75
2020-08-19,VTR,40.61,40.37,Bullish,3.06,6319.19
2020-08-20,ILMN,351.01,354.6,Bullish,-0.18,6308.11
2020-08-21,TAP,36.97,36.8,Bullish,2.81,6485.51
2020-08-24,CHD,96.17,96.63,Bullish,-0.72,6438.61
2020-08-25,MKTX,486.45,484.49,Bullish,2.49,6598.89
2020-08-26,LLY,149.19,149.26,Bullish,-1.07,6528.34
2020-08-27,PSX,60.18,60.26,Bullish,2.39,6684.11
2020-08-28,KMB,156.12,156.5,Bullish,0.86,6741.37
2020-08-31,AIG,29.25,29.14,Bullish,0.97,6806.75
