Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-17,MSFT,167.42,167.1,Bearish,0.11,10010.8
2020-01-21,EXC,47.44,47.58,Bearish,-0.19,9991.86
2020-01-22,HPQ,21.96,21.93,Bearish,-0.73,9918.99
2020-01-23,HSIC,70.86,71.0,Bearish,-0.11,9907.84
2020-01-24,HRL,47.16,47.23,Bearish,0.7,9977.18
2020-01-28,TEL,97.54,98.1,Bearish,1.23,10099.77
2020-01-29,ATVI,60.49,60.4,Bearish,-1.62,9936.27
2020-01-30,NRG,37.2,37.16,Bearish,-0.52,9884.83
2020-01-31,PSA,224.45,223.76,Bearish,0.13,9897.6
2020-02-03,CNC,63.31,62.88,Bearish,-0.24,9873.59
2020-02-04,NWS,14.21,14.15,Bearish,-0.49,9825.36
2020-02-05,MTB,173.13,173.04,Bearish,1.64,9986.86
2020-02-06,LLY,147.74,147.3,Bearish,0.55,10041.8
2020-02-07,ESS,315.73,314.79,Bearish,-0.26,10015.47
2020-02-10,PSA,225.8,226.42,Bearish,0.02,10017.24
2020-02-11,HP,44.34,44.08,Bearish,-0.24,9992.8
2020-02-12,ALLE,137.79,138.57,Bearish,-0.23,9970.11
2020-02-13,ISRG,599.0,600.35,Bearish,-0.39,9930.96
2020-02-14,WRB,79.32,79.4,Bearish,0.05,9935.96
2020-02-18,DRE,38.54,38.52,Bearish,0.49,9984.93
2020-02-19,HP,45.46,45.46,Bearish,0.63,10048.21
2020-02-20,TWTR,38.76,39.05,Bearish,0.93,10141.75
2020-02-21,TRV,134.26,135.16,Bearish,-0.45,10096.18
2020-03-02,HP,37.41,37.62,Bearish,5.06,10606.66
2020-03-04,ANET,197.73,201.63,Bearish,0.19,10626.59
2020-03-06,NEM,52.18,52.35,Bearish,4.44,11098.41
2020-03-10,MRK,80.48,82.02,Bearish,0.73,11179.04
2020-03-13,TMO,297.65,300.12,Bearish,-2.88,10857.09
2020-03-17,DISCA,21.16,21.51,Bearish,1.14,10981.26
2020-03-19,OXY,10.41,10.83,Bearish,8.25,11887.34
2020-03-20,KMI,11.84,12.35,Bearish,8.24,12866.41
2020-03-24,CI,141.94,147.2,Bearish,-8.15,11817.58
2020-03-26,NLSN,13.62,13.81,Bearish,2.69,12136.02
2020-03-30,EVRG,58.75,59.11,Bearish,5.51,12804.68
2020-03-31,DLR,139.17,138.91,Bearish,-1.23,12647.58
2020-04-02,CME,166.53,168.57,Bearish,-4.02,12138.71
2020-04-03,ANSS,215.34,218.3,Bearish,-5.78,11437.0
2020-04-06,HSY,143.55,141.86,Bearish,0.73,11520.68
2020-04-07,URI,111.02,107.93,Bearish,-2.35,11250.3
2020-04-09,DAL,25.4,24.39,Bearish,6.93,12029.44
2020-04-13,REGN,512.01,517.02,Bearish,-0.04,12024.4
2020-04-14,PG,118.76,120.96,Bearish,-0.3,11988.58
2020-04-15,CPB,51.42,50.5,Bearish,-0.18,11967.43
2020-04-16,ISRG,514.88,510.44,Bearish,-1.2,11824.08
2020-04-17,VRSN,208.65,209.93,Bearish,-1.15,11688.55
2020-04-22,TROW,101.11,100.63,Bearish,1.62,11877.58
2020-04-24,SNPS,152.99,153.03,Bearish,0.94,11989.03
2020-04-27,MNST,60.6,60.52,Bearish,1.84,12210.14
2020-04-28,HP,18.77,18.98,Bearish,-5.62,11523.36
2020-04-29,NLSN,13.99,13.96,Bearish,-5.52,10887.76
2020-04-30,MRO,6.31,6.12,Bearish,6.62,11608.68
2020-05-04,ZTS,127.76,127.44,Bearish,-2.06,11369.56
2020-05-05,LVS,46.63,46.39,Bearish,1.13,11497.85
2020-05-07,JNPR,22.84,23.12,Bearish,-1.72,11300.29
2020-05-08,CERN,68.37,68.75,Bearish,0.03,11303.59
2020-05-11,VIAC,18.44,18.04,Bearish,-0.55,11241.31
2020-05-14,XEL,57.93,58.2,Bearish,0.33,11278.09
2020-05-15,VNO,34.96,35.32,Bearish,-1.97,11056.41
2020-05-18,CSCO,45.21,45.06,Bearish,0.49,11110.67
2020-05-20,LVS,49.7,50.17,Bearish,3.59,11509.84
2020-05-21,CMG,1035.0,1026.71,Bearish,-2.82,11185.66
2020-05-22,RE,205.26,205.68,Bearish,4.76,11718.51
2020-05-26,CCI,160.82,159.59,Bearish,-2.01,11482.44
2020-05-27,FDX,128.0,130.43,Bearish,-0.11,11469.29
2020-05-28,CB,124.87,123.71,Bearish,0.64,11542.19
2020-05-29,TMO,345.09,349.19,Bearish,-0.38,11498.08
2020-06-01,AOS,47.51,47.32,Bearish,-0.86,11398.77
2020-06-02,IBM,125.67,126.0,Bearish,-1.49,11228.44
2020-06-03,SNPS,184.0,184.21,Bearish,0.47,11281.12
2020-06-04,WYNN,96.98,95.38,Bearish,0.45,11331.96
2020-06-05,RE,229.56,226.15,Bearish,-1.18,11197.98
2020-06-08,RCL,75.06,75.12,Bearish,1.3,11343.43
2020-06-09,VRSK,170.0,169.33,Bearish,-0.4,11298.2
2020-06-10,NEM,58.25,58.73,Bearish,5.26,11892.24
2020-06-12,IVZ,10.5,10.34,Bearish,-8.16,10922.18
2020-06-15,CLX,207.4,208.03,Bearish,-0.34,10885.43
2020-06-16,INCY,94.45,95.53,Bearish,-0.04,10880.9
2020-06-18,AMZN,2647.01,2653.98,Bearish,0.11,10893.38
2020-06-19,BK,39.35,39.23,Bearish,0.64,10963.6
2020-06-22,WDC,45.51,45.11,Bearish,4.08,11410.75
2020-06-23,TPR,14.01,13.78,Bearish,5.04,11986.37
2020-06-25,CMG,1047.4,1048.9,Bearish,1.5,12165.68
2020-06-26,WAT,176.16,174.76,Bearish,0.04,12170.5
2020-06-29,NI,22.57,22.69,Bearish,-0.18,12149.05
2020-06-30,WYNN,73.57,74.49,Bearish,1.94,12384.77
2020-07-01,TMUS,105.68,106.13,Bearish,0.88,12493.62
2020-07-02,ISRG,582.29,580.48,Bearish,0.72,12583.57
2020-07-06,NOC,313.05,312.4,Bearish,1.83,12813.23
2020-07-08,SWK,139.43,139.28,Bearish,1.39,12991.18
2020-07-09,NFLX,508.4,507.76,Bearish,-5.58,12266.29
2020-07-10,VRSK,173.6,174.17,Bearish,1.35,12431.52
2020-07-13,SPG,64.78,63.69,Bearish,1.82,12658.15
2020-07-14,HBI,12.48,12.55,Bearish,-8.23,11616.84
2020-07-15,BLK,572.28,568.59,Bearish,-0.29,11582.73
2020-07-16,TMO,392.93,392.42,Bearish,-0.4,11536.26
2020-07-17,KLAC,198.02,197.2,Bearish,-2.88,11203.59
2020-07-20,MHK,78.68,78.78,Bearish,-0.4,11158.27
2020-07-21,MS,52.1,52.38,Bearish,1.92,11372.85
