Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-17,MDLZ,55.14,55.16,Bearish,-1.06,9894.47
2020-01-21,ECL,195.4,195.54,Bearish,0.04,9897.99
2020-01-22,JWN,39.8,39.88,Bullish,-0.61,9837.98
2020-01-23,SCHW,48.4,48.42,Bearish,2.56,10090.07
2020-01-24,PKI,99.89,99.78,Bullish,0.27,10117.76
2020-01-27,WRB,71.54,71.59,Bearish,-0.86,10030.33
2020-01-28,AES,20.16,20.18,Bullish,0.79,10109.94
2020-01-29,DGX,110.7,110.67,Bearish,0.65,10175.41
2020-01-30,LYV,70.71,70.65,Bullish,-3.2,9850.24
2020-01-31,NOV,20.64,20.61,Bearish,-1.16,9735.65
2020-02-03,KSS,42.87,42.88,Bullish,-0.55,9681.89
2020-02-04,EXPD,73.34,73.27,Bullish,0.1,9691.09
2020-02-05,MAA,139.16,139.14,Bearish,-0.59,9634.14
2020-02-06,DLR,123.95,124.02,Bullish,-0.73,9563.54
2020-02-07,EA,109.17,109.09,Bearish,0.29,9591.61
2020-02-10,ILMN,294.36,294.41,Bullish,-0.3,9562.54
2020-02-11,VFC,83.0,82.96,Bearish,-0.42,9522.49
2020-02-12,IFF,139.41,139.39,Bullish,4.41,9942.78
2020-02-13,GPS,18.29,18.33,Bearish,0.82,10024.32
2020-02-14,TWTR,37.0,36.91,Bearish,-3.48,9675.46
2020-02-18,JWN,40.05,39.95,Bearish,-1.33,9547.22
2020-02-19,EMN,73.0,73.16,Bullish,1.28,9669.84
2020-02-20,EFX,161.56,161.43,Bearish,0.59,9727.08
2020-02-21,ROST,123.26,123.24,Bearish,0.31,9757.38
2020-02-24,FRT,127.93,127.88,Bearish,2.85,10035.1
2020-02-25,LB,23.59,23.5,Bearish,3.47,10383.77
2020-02-26,CB,158.23,158.03,Bullish,-3.92,9976.37
2020-02-27,MSCI,297.36,297.36,Bearish,-3.19,9657.88
2020-03-02,MAR,123.07,122.96,Bearish,6.91,10325.02
2020-03-03,STX,50.18,50.21,Bearish,-0.19,10304.91
2020-03-04,SPG,123.32,123.49,Bullish,-1.24,10177.59
2020-03-05,AIV,50.39,50.41,Bearish,-1.49,10026.21
2020-03-06,ROL,39.88,39.75,Bearish,-2.16,9809.47
2020-03-09,ALK,43.16,43.19,Bearish,-3.24,9491.22
2020-03-10,PKI,78.9,78.93,Bullish,-5.23,8994.8
2020-03-11,AAL,16.31,16.26,Bearish,4.27,9378.92
2020-03-13,NI,25.16,25.18,Bullish,0.87,9460.24
2020-03-16,COG,17.08,17.11,Bearish,-9.09,8600.71
2020-03-17,CFG,19.01,19.11,Bullish,-13.3,7456.87
2020-03-18,QRVO,73.47,73.02,Bearish,-2.2,7292.79
2020-03-19,HAL,4.78,4.8,Bullish,-1.56,7179.06
2020-03-20,MKTX,310.61,310.63,Bearish,9.23,7841.58
2020-03-23,ABMD,132.39,132.34,Bullish,5.34,8260.14
2020-03-24,PSX,45.75,45.58,Bullish,9.33,9030.89
2020-03-25,IPGP,115.7,116.75,Bearish,0.66,9090.71
2020-03-26,EXPE,64.66,64.41,Bearish,3.05,9368.19
