Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-17,ZBRA,252.75,252.74,Bearish,0.66,10066.12
2020-01-21,LOW,121.17,120.93,Bearish,-0.59,10007.15
2020-01-22,REG,63.73,63.61,Bearish,-0.49,9958.5
2020-01-23,VAR,148.97,149.41,Bearish,1.04,10062.17
2020-01-24,EXC,47.85,47.73,Bearish,1.03,10165.41
2020-01-27,AEP,102.13,101.78,Bearish,-0.35,10129.47
2020-01-28,FCX,11.09,11.3,Bullish,-1.31,9996.65
2020-01-29,MOS,19.31,19.31,Bearish,-5.88,9408.92
2020-01-30,DRI,118.47,118.21,Bearish,1.58,9557.65
2020-01-31,YUM,106.58,105.77,Bearish,-0.57,9503.45
2020-02-03,DAL,56.2,56.04,Bullish,1.28,9624.74
2020-02-04,AOS,42.99,42.79,Bullish,1.08,9729.14
2020-02-05,VAR,142.18,141.51,Bullish,0.52,9779.25
2020-02-06,INFO,80.82,80.85,Bullish,-0.57,9723.63
2020-02-07,IDXX,280.59,278.4,Bearish,-0.44,9681.3
2020-02-10,PG,126.46,126.17,Bullish,-1.67,9519.52
2020-02-11,DXC,31.76,31.89,Bullish,-1.4,9386.69
2020-02-12,DISH,40.07,40.11,Bullish,0.5,9433.65
2020-02-13,MHK,132.1,132.64,Bearish,-3.93,9062.73
2020-02-14,DXC,30.65,30.82,Bullish,-2.93,8796.87
2020-02-18,ZBH,159.95,159.25,Bearish,-0.21,8778.69
2020-02-19,CE,108.22,108.25,Bullish,0.88,8855.95
2020-02-20,IPGP,142.63,140.87,Bearish,3.2,9139.15
2020-02-21,CAH,60.17,59.72,Bearish,0.12,9150.14
2020-02-24,UHS,140.23,141.23,Bearish,4.45,9557.34
2020-02-25,CL,74.4,73.8,Bearish,1.46,9696.83
2020-02-26,GWW,288.09,284.85,Bullish,-0.0,9696.48
2020-02-27,MSCI,297.36,297.36,Bearish,-3.19,9386.92
2020-02-28,AOS,39.37,39.55,Bearish,-3.2,9086.86
2020-03-02,CHTR,494.47,497.13,Bullish,1.2,9195.53
2020-03-03,VNO,55.43,54.54,Bearish,-1.08,9095.87
2020-03-04,FISV,111.0,112.18,Bullish,0.09,9104.2
2020-03-05,NRG,34.55,34.35,Bearish,-4.06,8734.29
2020-03-06,ROL,39.88,39.75,Bearish,-2.16,8545.48
2020-03-09,KMB,139.6,141.32,Bearish,1.67,8688.48
2020-03-10,ZION,32.4,32.24,Bullish,-4.1,8332.37
2020-03-11,CCI,155.08,153.85,Bearish,0.47,8371.95
2020-03-13,LKQ,24.97,24.9,Bullish,-11.48,7410.99
2020-03-16,COG,17.08,17.11,Bearish,-9.09,6737.65
2020-03-17,CVX,70.4,70.69,Bullish,-16.86,5601.99
2020-03-18,IPGP,114.46,118.66,Bearish,5.9,5932.36
2020-03-19,CHRW,64.69,64.06,Bearish,1.02,5993.0
2020-03-20,TSCO,75.82,75.91,Bearish,-2.21,5860.38
2020-03-23,MXIM,45.14,45.83,Bullish,0.71,5902.15
2020-03-24,HBAN,7.42,7.43,Bullish,0.79,5948.87
2020-03-25,APD,193.36,191.15,Bearish,-4.33,5691.16
2020-03-26,AAL,16.06,15.66,Bullish,-6.28,5334.04
2020-03-27,NTAP,41.15,40.23,Bearish,2.26,5454.4
2020-03-30,HOG,18.01,17.92,Bullish,5.93,5777.94
2020-03-31,MRK,76.25,76.94,Bearish,1.15,5844.49
2020-04-01,MLM,182.19,186.12,Bearish,3.3,6037.22
2020-04-02,RHI,37.68,37.83,Bearish,0.16,6046.74
2020-04-03,GRMN,73.35,71.56,Bearish,-1.47,5958.1
2020-04-06,AAL,9.72,9.5,Bullish,-7.68,5500.61
2020-04-07,WMT,123.98,121.99,Bearish,1.5,5582.88
2020-04-08,JPM,92.1,94.3,Bullish,6.03,5919.28
2020-04-09,DVA,76.83,74.82,Bearish,1.09,5983.73
2020-04-13,ECL,176.34,174.66,Bearish,-0.44,5957.13
2020-04-14,CMI,149.4,148.14,Bullish,1.01,6017.53
2020-04-15,INFO,65.15,65.03,Bearish,0.31,6036.03
2020-04-16,GRMN,78.13,78.66,Bullish,1.4,6120.26
2020-04-17,COST,321.31,317.92,Bearish,1.85,6233.25
2020-04-20,VLO,48.44,50.31,Bearish,-2.81,6058.31
2020-04-21,BKR,12.46,12.75,Bearish,3.78,6287.18
2020-04-22,CMCSA,36.23,35.73,Bullish,0.73,6332.8
2020-04-23,MOS,11.29,11.23,Bullish,-0.79,6282.89
2020-04-24,LMT,378.72,381.77,Bullish,-1.39,6195.5
2020-04-27,ANSS,264.18,262.87,Bullish,-3.4,5985.03
2020-04-28,MKC,156.75,156.7,Bearish,0.04,5987.32
2020-04-29,CMG,880.22,882.34,Bullish,-0.16,5977.46
2020-04-30,TXN,117.54,116.07,Bearish,2.38,6119.48
2020-05-01,CTXS,143.62,142.58,Bearish,-2.02,5995.74
2020-05-04,A,74.28,74.56,Bullish,1.95,6112.59
2020-05-05,PRGO,51.89,51.94,Bullish,0.33,6132.52
2020-05-06,MRO,5.61,5.6,Bullish,-1.96,6012.49
2020-05-07,ADS,44.74,45.5,Bullish,0.32,6031.67
2020-05-08,PM,71.49,72.0,Bullish,-0.66,5992.16
2020-05-11,STX,50.43,49.86,Bearish,2.88,6164.52
2020-05-12,BR,119.23,117.85,Bearish,3.25,6364.71
2020-05-13,CAG,34.1,34.05,Bearish,0.82,6416.96
2020-05-14,KSU,132.88,134.11,Bearish,-0.81,6365.25
2020-05-15,WRK,24.74,24.21,Bearish,-3.03,6172.67
2020-05-18,EA,116.71,117.12,Bearish,-1.52,6079.1
2020-05-19,DOV,90.12,89.56,Bearish,0.16,6089.1
2020-05-20,INTU,288.63,290.49,Bullish,-0.39,6065.05
2020-05-21,GLW,21.55,21.32,Bearish,-0.23,6050.83
2020-05-22,TMUS,94.54,95.8,Bullish,-1.39,5966.55
2020-05-26,DVA,78.16,78.02,Bullish,0.63,6003.93
2020-05-27,FIS,138.01,138.03,Bullish,-0.47,5975.86
2020-05-28,NDAQ,116.33,116.37,Bullish,1.84,6085.8
2020-05-29,ARE,153.61,153.72,Bearish,-0.39,6062.01
2020-06-01,NVDA,353.33,352.25,Bearish,-0.33,6042.02
2020-06-02,ADSK,218.93,219.09,Bearish,-2.55,5887.65
2020-06-03,NOW,389.99,388.09,Bearish,2.27,6021.07
2020-06-04,ADSK,225.0,225.2,Bearish,-4.02,5778.8
2020-06-05,GILD,76.75,76.75,Bearish,2.94,5948.6
