Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-16,FLIR,54.4,54.43,Bullish,0.44,10044.1
2020-01-17,PG,126.35,126.41,Bullish,-0.25,10018.68
2020-01-21,CDW,136.14,136.08,Bearish,0.44,10062.49
2020-01-22,KSU,164.8,164.81,Bullish,1.52,10215.05
2020-01-23,L,51.47,51.46,Bearish,0.23,10238.86
2020-01-24,JNPR,24.57,24.58,Bullish,1.07,10348.82
2020-01-27,MNST,66.56,66.6,Bullish,0.41,10390.77
2020-01-28,WRK,40.41,40.5,Bullish,-0.49,10339.85
2020-01-29,GPN,199.07,199.27,Bullish,1.08,10451.13
2020-01-30,BSX,43.5,43.41,Bearish,3.28,10793.95
2020-01-31,FCX,11.12,11.1,Bearish,-2.23,10552.8
2020-02-03,BBY,85.39,85.26,Bearish,-0.18,10533.28
2020-02-04,MRK,88.43,88.36,Bearish,-1.36,10390.24
2020-02-05,BLK,543.84,543.48,Bearish,-1.2,10265.12
2020-02-06,MNST,69.42,69.45,Bullish,-0.58,10205.87
2020-02-07,MCO,268.01,267.5,Bearish,-0.55,10149.29
2020-02-10,KHC,29.65,29.69,Bullish,0.4,10190.04
2020-02-11,VFC,83.0,82.96,Bearish,-0.42,10147.37
2020-02-12,WHR,152.79,152.5,Bearish,-0.39,10107.83
2020-02-13,ZBH,159.0,158.73,Bearish,-1.12,9994.41
2020-02-14,HLT,113.09,113.23,Bullish,-0.93,9901.52
2020-02-18,XYL,88.0,88.05,Bullish,-0.44,9857.81
2020-02-19,PNW,101.66,101.54,Bearish,0.07,9864.64
2020-02-20,VMC,135.39,135.79,Bullish,-1.09,9757.55
2020-02-21,AJG,107.89,107.83,Bearish,0.56,9812.37
2020-02-24,ADBE,355.39,357.41,Bullish,-3.66,9453.58
2020-02-25,QRVO,96.93,96.6,Bearish,0.72,9521.92
2020-02-26,TXN,119.29,118.79,Bearish,2.77,9785.44
2020-02-27,GRMN,89.59,89.28,Bearish,-0.75,9711.82
2020-02-28,AIG,42.28,42.16,Bearish,-1.76,9541.16
2020-03-02,APA,25.49,25.52,Bullish,-2.76,9277.57
2020-03-03,EXR,105.39,105.65,Bullish,2.36,9496.4
2020-03-04,DVN,16.15,16.26,Bullish,2.05,9690.83
2020-03-05,EFX,158.93,158.25,Bearish,-0.5,9642.82
2020-03-06,PHM,41.36,41.5,Bullish,-0.92,9553.79
2020-03-09,BLL,72.03,72.51,Bullish,-1.39,9420.79
2020-03-10,HLT,89.99,90.32,Bullish,-8.08,8659.4
2020-03-11,GPC,83.55,83.9,Bullish,-0.27,8636.28
2020-03-12,FMC,77.49,77.44,Bearish,-5.41,8168.95
2020-03-13,AEP,86.43,86.47,Bullish,3.93,8490.22
2020-03-16,XOM,34.4,34.49,Bullish,4.54,8876.03
2020-03-17,HFC,21.43,21.45,Bullish,11.92,9933.65
2020-03-18,FE,37.49,37.2,Bearish,3.56,10287.67
2020-03-19,MRK,71.35,70.73,Bearish,-2.6,10019.94
2020-03-20,CVX,59.53,59.39,Bearish,6.93,10714.76
2020-03-23,DVN,6.02,6.18,Bullish,8.97,11675.94
2020-03-24,TGT,100.14,100.56,Bullish,-8.15,10724.14
2020-03-25,CTL,9.0,9.05,Bullish,2.54,10996.39
2020-03-26,SPG,62.69,62.1,Bearish,3.72,11405.89
2020-03-27,GM,21.37,21.38,Bullish,-4.44,10899.76
2020-03-30,WMB,13.75,13.82,Bullish,1.14,11024.41
2020-03-31,XRAY,38.98,38.83,Bearish,-0.76,10941.05
2020-04-01,CCI,137.67,137.59,Bearish,-6.45,10235.26
2020-04-02,TGT,94.27,94.36,Bullish,-1.03,10130.2
2020-04-03,SRE,104.65,104.28,Bearish,-4.67,9656.93
2020-04-06,TSN,56.25,56.45,Bullish,-1.83,9480.12
2020-04-07,BR,101.06,100.76,Bearish,-0.68,9415.61
2020-04-08,INTC,58.99,58.98,Bearish,3.74,9767.75
2020-04-09,LVS,48.41,47.86,Bearish,2.31,9993.52
2020-04-13,ULTA,202.75,202.6,Bearish,0.62,10055.05
2020-04-14,PNR,32.31,32.21,Bearish,0.38,10093.67
2020-04-15,CVS,60.65,60.56,Bearish,-2.83,9808.32
2020-04-16,CHD,72.64,72.65,Bullish,0.45,9852.52
2020-04-17,TROW,103.19,103.49,Bullish,-0.14,9838.91
2020-04-20,PXD,71.38,71.28,Bearish,-8.01,9050.58
2020-04-21,TPR,13.62,13.75,Bullish,-4.35,8656.79
2020-04-22,AMZN,2369.0,2363.49,Bearish,0.02,8658.71
2020-04-23,CPB,50.31,50.54,Bullish,-0.14,8646.78
2020-04-24,T,29.59,29.71,Bullish,1.83,8805.36
2020-04-27,EXPD,72.21,72.29,Bullish,-1.43,8679.84
2020-04-28,FIS,129.68,129.13,Bearish,-0.97,8595.65
2020-04-29,UA,9.8,9.79,Bearish,-1.87,8435.08
2020-04-30,UAL,29.66,29.58,Bearish,5.27,8879.34
2020-05-01,PGR,76.4,76.18,Bearish,0.03,8881.68
2020-05-04,MO,38.0,38.01,Bullish,-3.87,8538.3
2020-05-05,ORLY,390.0,390.38,Bullish,0.95,8619.12
2020-05-06,WDC,40.78,40.63,Bearish,-1.01,8531.75
2020-05-07,FANG,40.24,40.37,Bullish,1.25,8638.49
2020-05-08,DISCA,21.03,21.09,Bullish,-2.31,8439.24
2020-05-11,AZO,1051.39,1053.88,Bullish,-1.36,8324.54
2020-05-12,NEE,57.05,56.98,Bearish,-1.45,8204.17
2020-05-13,MKC,168.62,168.52,Bearish,-1.29,8098.12
2020-05-14,ODFL,148.2,148.15,Bearish,-0.15,8086.15
2020-05-15,EQR,57.08,57.13,Bullish,2.06,8252.67
2020-05-18,NOC,330.18,331.17,Bullish,-1.15,8157.88
2020-05-19,UNP,159.12,159.26,Bullish,0.62,8208.81
2020-05-20,LH,170.57,170.52,Bearish,-0.85,8138.66
2020-05-21,STT,58.04,58.09,Bullish,-1.07,8051.34
2020-05-22,MSFT,183.19,183.51,Bullish,-2.56,7845.24
2020-05-26,APTV,75.62,75.68,Bullish,-1.61,7718.96
2020-05-27,NTRS,82.45,82.9,Bullish,-4.95,7337.05
2020-05-28,CRM,180.0,181.1,Bullish,0.28,7357.67
2020-05-29,SPG,57.68,57.7,Bullish,7.49,7908.44
2020-06-01,SNA,129.97,130.01,Bullish,1.96,8063.81
2020-06-02,PEAK,26.06,26.08,Bullish,4.15,8398.54
2020-06-03,GL,80.94,80.86,Bearish,-2.98,8148.41
2020-06-04,ADS,54.93,54.53,Bearish,-0.95,8070.71
2020-06-05,BBY,82.82,82.53,Bearish,0.14,8082.26
2020-06-08,O,64.25,64.17,Bearish,-1.06,7996.49
2020-06-09,HP,26.41,26.44,Bullish,-4.55,7632.31
2020-06-10,GOOGL,1461.51,1464.7,Bullish,-2.72,7425.06
2020-06-11,O,57.8,57.88,Bullish,-0.49,7388.38
2020-06-12,MHK,98.67,97.74,Bearish,-4.85,7030.06
2020-06-15,COG,19.54,19.4,Bearish,1.98,7169.24
2020-06-16,FAST,41.8,41.81,Bullish,0.05,7172.65
2020-06-17,AEP,82.25,82.25,Bullish,-0.11,7164.76
2020-06-18,EBAY,48.55,48.44,Bearish,0.9,7229.45
2020-06-19,CLX,218.17,217.64,Bearish,0.71,7280.42
2020-06-22,ICE,94.17,94.31,Bullish,-1.61,7163.21
2020-06-23,WYNN,84.53,84.51,Bearish,9.72,7859.66
2020-06-24,PPL,25.55,25.52,Bearish,-0.79,7797.75
2020-06-25,CNP,18.21,18.15,Bearish,1.83,7940.47
2020-06-26,AJG,96.65,96.67,Bullish,-1.88,7791.44
2020-06-29,ZION,32.93,33.05,Bullish,3.0,8025.11
2020-06-30,DRI,75.54,75.77,Bullish,1.02,8107.13
2020-07-01,EXPD,76.7,76.19,Bearish,-0.59,8059.56
2020-07-02,KMB,143.13,143.2,Bullish,-0.74,8000.15
2020-07-06,AXP,96.51,96.58,Bullish,-2.55,7796.46
2020-07-07,AIV,37.99,38.0,Bullish,-1.42,7685.55
2020-07-08,ETN,87.62,87.34,Bearish,1.68,7814.38
2020-07-09,MCO,294.83,294.29,Bearish,0.22,7831.68
2020-07-10,XYL,66.65,66.51,Bearish,-0.37,7802.5
2020-07-13,DGX,119.0,119.14,Bullish,1.31,7904.92
2020-07-14,WYNN,79.24,79.3,Bullish,5.77,8360.84
2020-07-15,KSU,155.36,155.62,Bullish,1.92,8521.68
2020-07-16,XEC,25.94,26.02,Bullish,-2.18,8335.58
2020-07-17,NFLX,494.87,492.99,Bearish,-2.71,8109.44
2020-07-20,CMCSA,41.99,41.95,Bearish,-1.02,8026.69
2020-07-21,MAR,89.67,89.96,Bullish,1.95,8183.49
2020-07-22,DAL,26.23,26.25,Bullish,3.0,8429.0
2020-07-23,PH,184.23,184.06,Bearish,0.62,8481.68
2020-07-24,FBHS,71.0,71.0,Bullish,4.31,8847.44
2020-07-27,LUV,31.57,31.53,Bearish,-2.48,8628.43
2020-07-28,VIAC,24.47,24.52,Bullish,2.6,8852.45
2020-07-29,VMC,121.07,121.08,Bullish,-0.01,8851.71
2020-07-30,SBUX,76.63,76.64,Bullish,0.38,8885.38
2020-07-31,LEN,72.38,72.35,Bearish,-1.02,8795.14
2020-08-03,IVZ,10.0,10.0,Bullish,-2.3,8592.85
2020-08-04,PNR,43.18,43.1,Bearish,-0.41,8557.24
2020-08-05,KMB,155.73,155.84,Bullish,0.51,8601.22
2020-08-06,BAC,25.45,25.47,Bullish,3.04,8862.58
2020-08-07,CMG,1181.97,1180.62,Bearish,1.66,9009.79
2020-08-10,XRAY,45.45,45.4,Bearish,-0.22,8990.07
2020-08-11,ADP,137.91,138.1,Bullish,0.52,9036.69
2020-08-12,MU,48.38,48.48,Bullish,-2.16,8841.24
2020-08-13,FB,261.55,261.3,Bearish,0.41,8877.3
2020-08-14,EL,211.88,212.09,Bullish,-0.0,8876.89
2020-08-17,ALXN,102.96,102.75,Bearish,-0.07,8870.87
2020-08-18,NUE,46.39,46.37,Bearish,1.55,9008.2
2020-08-19,CMA,39.64,39.68,Bullish,0.26,9031.46
2020-08-20,IBM,123.2,123.15,Bearish,-0.12,9020.44
2020-08-21,EMR,67.79,67.86,Bullish,2.08,9208.17
2020-08-24,VAR,172.75,172.74,Bearish,0.13,9220.43
2020-08-25,MAR,98.83,98.77,Bearish,0.98,9310.44
2020-08-26,UPS,159.01,158.9,Bearish,-0.29,9283.05
2020-08-27,HP,16.71,16.61,Bearish,-2.35,9064.95
2020-08-28,AMGN,253.4,253.12,Bearish,-0.15,9050.97
2020-08-31,ZTS,159.85,160.1,Bullish,0.83,9126.44
2020-09-01,MTD,973.42,975.89,Bullish,2.84,9386.04
2020-09-02,NOW,500.0,499.69,Bearish,3.33,9698.77
2020-09-03,UAL,37.13,37.4,Bullish,0.16,9714.03
2020-09-04,DUK,81.22,80.97,Bearish,0.41,9753.57
2020-09-08,TDG,504.39,501.93,Bearish,0.4,9792.75
2020-09-09,EIX,51.7,51.54,Bearish,1.79,9967.96
2020-09-10,NSC,212.92,213.17,Bullish,1.66,10133.79
2020-09-11,SBAC,304.17,304.57,Bullish,1.23,10258.0
2020-09-14,PNR,44.73,44.8,Bullish,0.38,10296.8
2020-09-15,DISCA,23.85,23.82,Bearish,-1.38,10154.87
2020-09-16,AVY,128.36,128.33,Bearish,-1.33,10019.74
2020-09-17,PSA,223.06,222.21,Bearish,-0.25,9994.28
2020-09-18,CHRW,103.25,103.13,Bearish,0.41,10035.29
2020-09-21,CVS,58.85,58.87,Bullish,-1.14,9920.96
2020-09-22,CHRW,102.61,102.56,Bearish,1.23,10043.0
2020-09-23,BMY,59.05,58.99,Bearish,0.39,10082.5
2020-09-24,AZO,1129.11,1129.63,Bullish,1.18,10201.68
2020-09-25,MOS,18.55,18.59,Bullish,-2.12,9985.43
2020-09-28,DVA,84.41,84.5,Bullish,-0.58,9927.61
2020-09-29,CMG,1263.26,1261.61,Bearish,1.43,10069.94
2020-09-30,MMM,160.93,160.18,Bearish,1.17,10187.77
2020-10-01,CPRI,18.11,18.11,Bullish,6.77,10877.17
2020-10-02,GOOGL,1459.63,1455.6,Bearish,-1.38,10727.1
2020-10-05,GE,6.39,6.41,Bullish,-4.04,10293.34
2020-10-06,AIV,36.88,36.75,Bearish,1.79,10477.2
2020-10-07,M,5.93,5.96,Bullish,4.49,10947.11
2020-10-08,CCI,165.75,165.78,Bullish,0.46,10997.05
2020-10-09,ANSS,336.0,336.82,Bullish,2.14,11232.77
2020-10-12,GD,144.8,144.73,Bearish,0.94,11338.42
2020-10-13,VRSK,193.57,193.65,Bullish,-0.89,11237.04
2020-10-14,BMY,61.11,61.0,Bearish,0.28,11268.57
2020-10-15,CPB,49.11,49.16,Bullish,-0.93,11163.64
2020-10-16,NDAQ,128.66,128.87,Bullish,-1.72,10971.71
2020-10-19,PEG,59.54,59.5,Bearish,-0.18,10951.52
2020-10-20,OKE,28.8,28.92,Bullish,-0.7,10875.02
2020-10-21,KIM,11.05,11.06,Bullish,3.8,11288.74
2020-10-22,WAB,62.4,62.42,Bullish,-1.63,11104.45
2020-10-23,GPS,21.45,21.42,Bearish,2.28,11357.3
2020-10-26,SBUX,90.03,89.66,Bearish,-0.64,11284.95
2020-10-27,SWK,166.5,166.31,Bearish,0.43,11334.03
2020-10-28,PKI,124.64,124.4,Bearish,-1.48,11166.13
2020-10-29,AXP,91.41,91.07,Bearish,-0.48,11112.02
2020-10-30,PG,137.18,137.1,Bearish,0.01,11112.82
2020-11-02,TROW,128.77,128.97,Bullish,0.6,11179.65
2020-11-03,UAA,14.76,14.77,Bullish,0.21,11202.99
2020-11-04,MAR,97.42,98.04,Bullish,2.21,11450.36
2020-11-05,VNO,31.89,31.85,Bearish,nan,nan
