Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-17,FDX,159.39,159.98,Bullish,-0.99,9901.32
2020-01-22,EBAY,35.81,35.89,Bearish,0.59,9959.37
2020-01-24,EBAY,35.79,35.36,Bearish,-1.98,9761.84
2020-02-03,NRG,37.03,37.54,Bearish,1.09,9868.09
2020-02-07,CHTR,526.11,525.21,Bullish,0.87,9954.24
2020-02-10,FIS,146.16,149.98,Bearish,0.66,10020.38
2020-02-11,GL,109.0,109.44,Bearish,0.36,10056.89
2020-02-12,CTSH,69.53,69.43,Bearish,-0.51,10006.06
2020-02-14,CTSH,69.27,68.42,Bearish,-0.72,9934.32
2020-02-19,KEYS,97.85,98.48,Bearish,0.02,9936.34
2020-02-21,KEYS,97.89,96.18,Bearish,2.27,10161.77
2020-02-24,XYL,85.75,86.43,Bearish,3.07,10473.64
2020-03-19,GWW,233.5,234.98,Bearish,9.19,11435.98
2020-03-20,GWW,235.41,213.78,Bearish,1.48,11605.39
2020-03-23,TFC,28.0,25.69,Bearish,-11.85,10230.67
2020-03-24,NLOK,17.15,17.35,Bearish,-0.62,10167.37
2020-03-30,TMO,278.29,284.96,Bearish,0.07,10174.9
2020-03-31,A,72.34,71.62,Bullish,-0.79,10094.34
2020-04-01,APD,192.0,189.28,Bearish,-3.66,9724.74
2020-04-06,PLD,78.03,80.23,Bearish,6.22,10329.72
2020-04-15,MPC,24.81,23.98,Bullish,-8.58,9443.46
2020-04-17,SPGI,282.68,282.59,Bullish,0.48,9488.32
2020-04-20,PSA,194.75,193.32,Bullish,0.03,9490.81
2020-04-23,ARNC,9.32,8.82,Bullish,-8.84,8651.48
2020-04-24,DVA,73.68,74.0,Bullish,5.63,9138.81
2020-04-27,DVA,74.74,78.95,Bullish,-1.74,8980.02
2020-05-04,ROP,337.45,341.08,Bearish,-0.29,8953.72
2020-05-11,ATO,96.61,96.78,Bullish,-0.69,8891.9
2020-05-12,KHC,29.34,29.38,Bearish,2.31,9097.29
2020-05-13,KHC,29.44,28.76,Bearish,-1.05,9001.52
2020-05-18,AES,12.22,13.04,Bullish,-2.59,8768.79
2020-05-19,MKTX,491.0,478.56,Bullish,-0.54,8721.52
2020-05-21,ROK,205.88,203.73,Bullish,-0.99,8634.83
2020-05-26,PKI,95.0,97.48,Bullish,2.43,8844.4
2020-06-01,EQR,60.54,61.1,Bearish,1.99,9020.74
2020-06-02,LOW,131.16,131.98,Bearish,-0.26,8997.59
2020-06-10,FISV,107.55,106.67,Bullish,-5.13,8535.96
2020-06-11,K,65.53,63.77,Bullish,-1.07,8444.33
2020-06-19,TFX,371.89,368.39,Bearish,-0.35,8414.4
2020-06-24,TFX,364.69,355.31,Bearish,0.31,8440.64
2020-06-29,ALL,95.56,95.44,Bearish,-1.51,8313.43
2020-07-07,HPE,9.48,9.07,Bullish,0.88,8386.27
2020-07-14,MHK,69.89,74.21,Bullish,-0.13,8375.33
2020-07-16,MHK,76.04,77.93,Bullish,0.31,8401.02
2020-07-17,ATVI,79.41,78.64,Bearish,-2.64,8178.97
2020-07-20,FMC,105.92,105.15,Bullish,0.51,8220.77
2020-07-21,WRB,63.6,64.02,Bearish,0.78,8284.56
2020-07-22,FMC,106.23,107.96,Bullish,-0.19,8269.22
2020-07-23,KSU,155.86,155.13,Bullish,-0.41,8235.68
2020-07-29,EW,77.73,79.33,Bearish,-0.87,8164.13
2020-07-30,NUE,42.51,42.7,Bullish,-0.99,8083.2
2020-07-31,CSCO,46.39,47.1,Bullish,0.04,8086.63
2020-08-03,USB,36.79,36.8,Bearish,1.09,8174.94
2020-08-04,KIM,11.14,11.54,Bearish,3.08,8426.91
2020-08-05,AAP,153.23,151.72,Bearish,-0.58,8377.78
2020-08-07,EFX,163.1,166.64,Bearish,1.03,8464.38
2020-08-14,UNH,320.54,323.7,Bearish,0.29,8489.13
2020-08-17,MAR,97.22,95.72,Bullish,-1.13,8393.15
2020-08-18,UNH,321.98,316.81,Bearish,0.43,8429.45
2020-08-19,AME,101.48,101.01,Bullish,0.09,8437.03
2020-08-27,AMT,247.4,247.97,Bearish,-0.33,8409.22
2020-08-31,WAB,67.08,66.55,Bullish,3.55,8707.43
2020-09-01,QRVO,129.07,131.48,Bearish,-1.51,8576.17
2020-09-03,QRVO,131.81,121.44,Bearish,1.34,8690.75
2020-09-17,UDR,34.77,34.76,Bullish,-1.8,8534.66
2020-09-29,COTY,2.77,2.65,Bullish,-1.82,8379.49
2020-10-01,COTY,2.7,2.85,Bullish,6.59,8931.98
2020-10-02,MGM,21.0,21.66,Bullish,-1.28,8817.41
2020-10-06,CTAS,336.41,330.72,Bullish,-0.03,8814.79
2020-10-15,STT,65.06,66.95,Bullish,-0.66,8756.92
2020-10-22,KEYS,106.21,106.26,Bullish,1.42,8881.23
2020-10-23,KEYS,106.37,107.88,Bullish,-0.75,8814.61
2020-11-04,FE,29.9,29.06,Bullish,0.82,8887.18
