Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-09,SBUX,90.25,90.53,Bullish,-0.7,9929.52
2020-01-10,DISCA,32.29,31.85,Bearish,-0.13,9917.01
2020-01-13,STX,60.23,60.99,Bearish,0.28,9944.67
2020-01-14,INTU,275.63,272.68,Bearish,0.3,9974.45
2020-01-15,MET,52.02,51.85,Bearish,0.06,9980.18
2020-01-16,KSU,160.53,161.63,Bearish,-3.6,9620.66
2020-01-17,MTB,164.46,163.03,Bearish,0.64,9681.83
2020-01-21,WRK,42.46,41.6,Bearish,0.22,9702.7
2020-01-22,FTNT,120.0,117.79,Bearish,-1.12,9593.93
2020-01-23,CL,70.07,70.61,Bullish,-0.75,9522.14
2020-01-24,CAH,54.95,53.82,Bullish,1.0,9617.63
2020-01-27,RHI,60.83,61.18,Bullish,-0.72,9548.81
2020-01-28,ABC,88.29,89.11,Bearish,-0.41,9509.33
2020-01-29,LKQ,33.47,33.49,Bearish,-1.14,9400.59
2020-01-30,EIX,76.8,76.67,Bullish,0.0,9400.59
2020-01-31,COST,308.55,305.52,Bearish,1.63,9553.69
2020-02-03,DTE,132.94,133.78,Bullish,-0.4,9515.8
2020-02-04,IP,41.94,41.76,Bearish,-4.38,9098.54
2020-02-05,ALGN,260.05,267.5,Bearish,0.46,9140.3
2020-02-06,NEM,44.33,44.39,Bearish,1.26,9255.12
2020-02-07,FANG,75.31,74.24,Bullish,-1.75,9093.45
2020-02-10,TWTR,36.63,35.96,Bullish,-1.3,8975.13
2020-02-11,FE,51.53,51.54,Bearish,0.1,8983.84
2020-02-12,MCHP,109.5,109.7,Bullish,1.24,9095.09
2020-02-13,MAS,46.78,46.49,Bullish,-1.41,8967.29
2020-02-14,STT,78.88,77.85,Bearish,0.67,9027.54
2020-02-18,APD,255.91,255.74,Bearish,0.23,9048.31
2020-02-19,REGN,397.86,400.81,Bearish,0.19,9065.5
2020-02-20,FTNT,119.25,118.0,Bullish,-2.79,8813.0
2020-02-21,JPM,136.55,135.81,Bullish,0.55,8861.28
2020-02-24,TFC,53.65,53.77,Bullish,-4.54,8459.02
2020-02-25,PKG,99.3,94.28,Bearish,1.2,8560.15
2020-02-26,CBOE,123.93,123.81,Bearish,-0.73,8497.56
2020-02-27,ANSS,241.86,244.15,Bullish,3.49,8794.22
2020-02-28,CBOE,122.74,114.0,Bearish,-5.12,8343.64
2020-03-02,DAL,46.22,47.16,Bullish,-7.29,7735.58
2020-03-03,MMM,152.44,145.24,Bearish,-4.73,7369.37
2020-03-04,NI,28.75,29.86,Bullish,0.85,7432.08
2020-03-05,QRVO,99.96,97.3,Bullish,-0.17,7419.5
2020-03-06,CHTR,486.84,496.72,Bullish,-0.72,7365.91
2020-03-09,KR,30.68,31.25,Bullish,4.15,7671.84
2020-03-10,WBA,49.49,49.16,Bullish,-4.48,7328.26
2020-03-11,XLNX,75.4,73.67,Bullish,-1.46,7221.47
2020-03-12,DIS,97.62,91.81,Bullish,1.73,7346.15
2020-03-13,ABT,77.91,81.65,Bullish,4.26,7659.13
2020-03-16,AJG,75.12,79.85,Bullish,3.32,7913.79
2020-03-17,NWL,12.89,13.26,Bearish,1.94,8066.96
2020-03-18,ETFC,30.28,29.36,Bullish,4.78,8452.16
2020-03-19,EXC,32.98,32.41,Bullish,-5.11,8020.11
2020-03-20,INFO,51.85,47.88,Bullish,-5.89,7547.95
2020-03-23,PVH,31.52,29.05,Bullish,12.98,8527.46
2020-03-24,LUV,38.2,37.66,Bullish,-5.11,8092.05
2020-03-25,IP,28.05,28.8,Bearish,-6.31,7581.61
2020-03-26,FE,35.47,38.67,Bullish,3.32,7833.25
2020-03-27,ALB,58.0,55.02,Bullish,-0.02,7831.84
2020-03-30,MTB,106.55,106.9,Bullish,-1.78,7692.76
2020-03-31,ESS,223.8,220.24,Bullish,-2.86,7472.67
2020-04-01,LOW,80.74,80.42,Bullish,3.77,7754.35
2020-04-02,VZ,53.56,55.25,Bullish,-0.55,7712.06
2020-04-03,IP,30.16,29.37,Bearish,-2.14,7547.17
2020-04-06,BR,96.63,98.61,Bullish,-0.3,7524.77
2020-04-07,HP,18.01,17.38,Bearish,-4.86,7159.04
2020-04-08,XEC,17.29,18.03,Bullish,-7.33,6634.49
2020-04-09,VIAC,16.72,16.56,Bearish,4.12,6907.79
2020-04-13,CAT,119.95,114.14,Bearish,0.02,6908.97
2020-04-14,CXO,52.35,51.17,Bullish,2.46,7078.85
2020-04-15,EXPE,58.66,60.56,Bullish,-2.33,6913.79
2020-04-16,TMO,328.5,328.84,Bearish,0.79,6968.4
2020-04-17,LH,142.56,148.52,Bullish,0.22,6983.75
2020-04-20,SLG,49.95,47.53,Bearish,2.5,7158.3
2020-04-21,MTD,700.0,683.43,Bullish,1.24,7247.22
2020-04-22,DHR,156.08,160.25,Bullish,-0.43,7215.78
2020-04-23,JKHY,159.6,156.2,Bullish,1.18,7300.67
2020-04-24,ALXN,104.28,108.12,Bullish,0.78,7357.74
2020-04-27,VFC,55.43,57.71,Bearish,-0.39,7329.19
2020-04-28,SEE,29.0,29.67,Bullish,-1.17,7243.69
2020-04-29,CAH,51.95,51.36,Bullish,-2.85,7037.45
2020-04-30,NVDA,296.29,292.28,Bullish,-0.55,6998.6
2020-05-01,PYPL,119.85,120.61,Bullish,1.98,7137.12
2020-05-04,CCI,157.15,157.73,Bullish,0.69,7186.48
2020-05-05,JNJ,149.0,149.5,Bearish,1.28,7278.47
2020-05-06,EIX,56.6,54.04,Bearish,-0.65,7231.45
2020-05-07,EXR,84.92,88.17,Bullish,2.47,7410.05
2020-05-08,MGM,15.33,15.59,Bullish,-3.55,7146.63
2020-05-11,DISCA,20.81,20.33,Bullish,-2.94,6936.23
2020-05-12,CDW,105.38,101.98,Bearish,2.95,7140.9
2020-05-13,FOX,24.72,24.06,Bullish,6.13,7578.34
2020-05-14,CCI,152.76,152.04,Bullish,-0.85,7513.79
2020-05-15,PYPL,142.9,145.51,Bearish,1.27,7609.4
2020-05-18,FTI,7.27,7.49,Bearish,3.99,7912.94
2020-05-19,MKTX,491.0,478.56,Bullish,-0.54,7870.29
2020-05-20,AEE,71.2,70.33,Bullish,-1.17,7778.26
2020-05-21,TROW,114.03,114.65,Bullish,0.03,7780.28
2020-05-22,WU,18.97,19.01,Bullish,1.59,7903.91
2020-05-26,UA,7.69,7.86,Bearish,-4.03,7585.05
2020-05-27,HPE,9.55,9.76,Bearish,1.74,7717.16
2020-05-28,ARNC,14.51,13.73,Bearish,-7.19,7162.67
2020-05-29,RCL,50.0,51.87,Bullish,7.0,7664.06
2020-06-01,DRE,34.57,35.2,Bullish,0.56,7707.31
2020-06-02,ROP,389.68,395.62,Bearish,-0.37,7678.98
2020-06-03,DVA,80.76,79.72,Bearish,-4.34,7345.41
2020-06-04,GOOGL,1436.78,1414.3,Bearish,-1.72,7218.91
2020-06-05,XYL,73.05,72.75,Bearish,0.1,7225.89
2020-06-08,AMT,265.0,266.88,Bearish,0.35,7251.36
2020-06-09,MAR,109.8,107.32,Bullish,-3.22,7018.15
2020-06-10,VZ,57.9,58.05,Bearish,1.79,7143.91
2020-06-11,ZTS,137.67,131.06,Bullish,-0.22,7127.96
2020-06-15,PPG,98.97,103.2,Bullish,-1.6,7014.14
2020-06-16,AMZN,2620.0,2615.27,Bearish,0.25,7031.41
2020-06-18,FITB,21.22,21.59,Bullish,-5.76,6626.61
2020-06-19,KMB,144.54,143.96,Bearish,0.46,6656.8
2020-06-22,DISH,35.49,35.26,Bullish,-1.84,6534.14
2020-06-23,ANSS,290.49,289.66,Bearish,0.51,6567.41
2020-06-24,BAC,24.54,23.81,Bearish,-4.3,6284.77
2020-06-25,TMUS,109.78,110.19,Bearish,3.62,6512.2
2020-06-26,SLG,49.74,46.76,Bullish,6.06,6906.63
2020-06-29,VNO,37.15,38.58,Bullish,-0.6,6865.31
2020-06-30,KO,44.25,44.68,Bearish,0.24,6882.12
2020-07-01,UA,8.79,8.65,Bearish,2.03,7021.93
2020-07-02,MCHP,105.4,104.61,Bearish,-0.95,6955.49
2020-07-06,LDOS,94.78,88.45,Bearish,-0.01,6954.7
2020-07-07,ROST,89.2,86.38,Bullish,-0.22,6939.37
2020-07-08,GM,25.19,24.94,Bearish,5.41,7314.93
2020-07-09,DXC,15.35,15.16,Bullish,2.79,7518.79
2020-07-10,CMCSA,39.23,40.51,Bullish,0.17,7531.8
2020-07-13,MDT,91.31,92.77,Bearish,-2.06,7376.68
2020-07-14,LNC,34.89,35.46,Bullish,1.0,7450.76
2020-07-15,FOX,25.33,26.25,Bearish,-1.71,7323.0
2020-07-16,MHK,76.04,77.93,Bullish,0.31,7345.46
2020-07-17,BK,36.86,36.12,Bullish,0.22,7361.85
2020-07-20,UNM,17.35,17.09,Bullish,3.13,7592.31
2020-07-21,PRU,63.64,64.99,Bullish,1.9,7736.47
2020-07-22,DLTR,95.52,97.12,Bullish,-0.68,7683.82
2020-07-23,DLR,145.36,145.79,Bearish,-0.95,7610.46
2020-07-24,IEX,170.34,167.67,Bearish,-0.61,7564.41
2020-07-27,MET,38.02,37.8,Bullish,-0.08,7558.37
2020-07-28,STX,49.57,48.57,Bearish,1.62,7680.88
2020-07-29,EBAY,55.19,54.53,Bullish,1.33,7783.29
2020-07-30,TJX,51.89,51.6,Bearish,-0.87,7715.33
2020-07-31,CBOE,87.39,87.7,Bullish,-0.68,7662.96
2020-08-03,DHI,66.7,68.32,Bullish,-1.07,7580.78
2020-08-04,DLR,159.53,161.1,Bullish,-1.13,7495.32
2020-08-05,ETR,103.4,100.36,Bearish,-2.01,7344.32
2020-08-06,RSG,86.38,87.9,Bearish,-2.12,7188.67
2020-08-07,SRE,128.28,129.9,Bearish,-2.45,7012.22
2020-08-10,DRE,39.84,39.63,Bearish,3.0,7222.54
2020-08-11,STZ,173.77,172.87,Bearish,-0.64,7176.15
2020-08-12,VAR,173.73,173.42,Bearish,0.1,7183.18
2020-08-13,BIIB,291.87,288.54,Bullish,0.51,7219.6
2020-08-14,NCLH,15.1,15.75,Bullish,-2.9,7010.07
2020-08-17,GPC,95.0,94.22,Bullish,-0.59,6968.36
2020-08-18,IR,34.73,34.62,Bullish,-0.72,6918.13
