Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-17,FCX,12.98,12.87,Bullish,-2.85,9714.96
2020-01-21,EQIX,591.51,590.0,Bullish,-0.64,9652.63
2020-01-22,URI,156.43,155.27,Bullish,0.97,9746.23
2020-01-24,PKI,99.89,99.78,Bullish,0.27,9772.97
2020-01-27,ABBV,85.05,84.02,Bullish,-1.44,9632.68
2020-01-28,HP,40.85,40.64,Bullish,-3.63,9283.38
2020-01-29,SPG,140.28,140.03,Bullish,-1.86,9111.11
2020-01-30,LYV,70.71,70.65,Bullish,-3.2,8819.96
2020-02-03,STE,151.51,151.0,Bullish,-0.31,8792.81
2020-02-04,DRI,115.89,115.56,Bullish,1.35,8911.91
2020-02-05,VAR,142.18,141.51,Bullish,0.52,8957.81
2020-02-06,V,203.05,203.04,Bullish,0.38,8991.52
2020-02-10,SO,68.54,68.44,Bullish,0.03,8994.14
2020-02-11,XEC,41.61,41.07,Bullish,-2.87,8735.64
2020-02-12,MSFT,185.58,184.71,Bullish,0.34,8765.7
2020-02-13,PM,88.84,88.82,Bullish,-0.43,8728.22
2020-02-18,LVS,68.24,68.16,Bullish,0.96,8812.39
2020-02-19,BDX,257.2,256.07,Bullish,-0.72,8748.54
2020-02-20,WAB,78.92,78.84,Bullish,0.04,8751.88
2020-02-26,ROL,38.88,38.87,Bullish,-1.85,8589.94
2020-03-04,URI,131.06,130.16,Bullish,-4.42,8210.32
2020-03-10,ALL,99.36,99.26,Bullish,-3.62,7913.47
2020-03-11,GILD,73.9,73.7,Bullish,-2.64,7704.51
2020-03-13,SYK,165.0,164.3,Bullish,-2.73,7494.02
2020-03-17,FB,150.74,149.42,Bullish,5.16,7880.65
2020-03-19,HRB,14.76,14.75,Bullish,-12.8,6871.93
2020-03-20,LUV,32.06,31.94,Bullish,6.44,7314.3
2020-03-23,XLNX,72.41,72.0,Bullish,1.84,7448.92
2020-03-24,BDX,209.41,202.85,Bullish,-0.94,7378.62
2020-03-26,AAL,16.06,15.66,Bullish,-6.28,6915.6
2020-03-30,FCX,6.27,6.24,Bullish,6.8,7386.13
2020-03-31,HRB,14.14,14.08,Bullish,-2.63,7192.19
2020-04-03,ALK,25.16,24.69,Bullish,2.42,7366.2
2020-04-06,HPQ,15.22,15.0,Bullish,-3.69,7094.07
2020-04-08,KMB,132.76,132.64,Bullish,-0.51,7057.57
2020-04-13,TIF,128.85,128.21,Bullish,0.57,7097.69
2020-04-14,FRT,85.37,84.6,Bullish,-3.93,6818.68
2020-04-16,WU,19.38,19.18,Bullish,1.68,6933.48
2020-04-17,SPG,58.36,56.12,Bullish,-0.39,6906.54
2020-04-22,EW,73.13,72.17,Bullish,1.01,6976.29
2020-04-23,CBRE,40.06,39.99,Bullish,-1.26,6888.44
2020-04-24,VMC,103.15,102.03,Bullish,4.47,7196.14
2020-04-27,HRL,47.08,46.65,Bullish,2.84,7400.68
2020-04-28,ES,86.31,86.22,Bullish,-4.34,7079.69
2020-04-29,MMC,95.01,94.62,Bullish,3.86,7353.18
2020-04-30,KR,31.7,31.61,Bullish,1.65,7474.79
2020-05-01,WHR,112.75,112.19,Bullish,-3.17,7237.9
2020-05-04,XLNX,83.31,83.24,Bullish,-0.57,7196.53
2020-05-05,CSX,64.36,63.77,Bullish,-2.06,7047.98
2020-05-06,MRO,5.61,5.6,Bullish,-1.96,6910.04
2020-05-07,CI,185.52,184.18,Bullish,1.15,6989.43
2020-05-08,NLOK,21.3,21.28,Bullish,1.27,7078.32
2020-05-13,TMO,335.18,334.09,Bullish,2.03,7222.0
2020-05-20,CTXS,138.04,137.44,Bullish,-0.78,7165.4
2020-05-22,LRCX,262.36,261.14,Bullish,-1.17,7081.91
2020-05-26,DVA,78.16,78.02,Bullish,0.63,7126.28
2020-05-27,HOLX,51.4,51.39,Bullish,1.24,7214.53
2020-05-28,O,56.06,55.7,Bullish,0.38,7242.02
2020-05-29,KLAC,176.0,175.96,Bullish,0.55,7281.75
2020-06-02,ULTA,242.16,241.22,Bullish,3.2,7514.98
2020-06-03,ODFL,166.74,166.5,Bullish,0.32,7539.05
2020-06-05,CCI,169.74,168.6,Bullish,2.88,7755.8
2020-06-08,HLT,89.86,89.7,Bullish,-1.9,7608.28
2020-06-10,SJM,109.11,108.74,Bullish,-1.21,7516.35
2020-06-12,FMC,98.43,97.34,Bullish,3.87,7806.94
2020-06-15,WMT,118.4,118.08,Bullish,-0.13,7797.16
2020-06-17,CNP,18.5,18.46,Bullish,0.38,7827.02
2020-06-22,COF,68.58,68.3,Bullish,0.0,7827.02
2020-06-23,ODFL,165.8,164.97,Bullish,-0.21,7810.76
2020-06-25,ISRG,556.7,555.11,Bullish,-1.21,7716.46
2020-06-29,EQIX,692.8,688.92,Bullish,0.54,7758.44
2020-07-01,LHX,171.44,170.49,Bullish,-0.01,7757.98
2020-07-02,IVZ,10.72,10.55,Bullish,-1.1,7672.42
2020-07-06,FRT,87.63,86.12,Bullish,-2.46,7483.34
2020-07-07,PYPL,177.69,177.28,Bullish,1.5,7595.45
2020-07-08,XLNX,100.25,99.28,Bullish,0.58,7639.65
2020-07-09,FLIR,40.15,39.94,Bullish,1.08,7722.05
2020-07-10,SYK,177.9,177.89,Bullish,-0.68,7669.44
2020-07-13,MTD,824.9,823.99,Bullish,3.12,7908.37
2020-07-15,REG,43.11,42.97,Bullish,-1.01,7828.41
2020-07-16,PG,125.08,124.76,Bullish,0.43,7862.2
2020-07-20,CXO,50.95,50.77,Bullish,5.04,8258.2
2020-07-21,WELL,49.99,49.48,Bullish,6.28,8776.43
2020-07-22,ADBE,447.55,445.05,Bullish,-2.99,8514.15
2020-07-23,FE,27.71,27.4,Bullish,5.51,8983.43
2020-07-24,TXN,129.75,129.63,Bullish,1.36,9105.41
2020-07-27,RSG,85.24,85.05,Bullish,0.55,9155.84
2020-07-28,CBOE,87.78,87.43,Bullish,1.71,9312.54
2020-07-29,ZBRA,274.31,273.85,Bullish,1.24,9427.76
2020-07-31,ADP,133.66,132.91,Bullish,0.82,9505.52
2020-08-03,DOV,103.34,103.14,Bullish,0.68,9570.35
2020-08-04,MSI,138.36,137.57,Bullish,-0.01,9568.97
2020-08-05,GPN,175.4,174.34,Bullish,1.25,9688.64
2020-08-06,ANET,237.81,236.38,Bullish,-1.8,9514.67
2020-08-07,AKAM,109.31,109.22,Bullish,-1.13,9407.4
2020-08-10,BDX,259.5,256.75,Bullish,-1.65,9251.75
2020-08-11,SYK,189.26,188.92,Bullish,-0.23,9230.88
2020-08-12,CHRW,96.17,95.68,Bullish,-0.31,9201.86
2020-08-17,IQV,161.82,161.5,Bullish,-0.79,9129.07
2020-08-18,ADI,118.01,117.88,Bullish,-0.3,9102.1
2020-08-19,LIN,248.27,247.24,Bullish,0.4,9138.61
2020-08-21,CNC,62.53,62.47,Bullish,-4.01,8771.9
2020-08-24,FTNT,133.32,133.06,Bullish,1.02,8860.99
2020-08-25,BDX,256.11,255.79,Bullish,-0.27,8836.64
2020-08-26,HAS,79.8,79.45,Bullish,1.52,8971.18
2020-08-27,AWK,141.88,141.37,Bullish,-0.25,8948.94
2020-08-28,AAP,155.38,154.77,Bullish,1.0,9037.98
2020-08-31,TRV,116.68,116.04,Bullish,-0.41,9001.09
2020-09-01,ADS,45.5,45.19,Bullish,1.97,9178.4
2020-09-04,APD,298.91,298.43,Bullish,-0.13,9166.89
2020-09-09,RF,11.48,11.46,Bullish,-2.77,8913.13
2020-09-11,CMS,60.98,60.91,Bullish,0.28,8937.87
2020-09-14,TFX,375.29,371.88,Bullish,-1.29,8822.88
2020-09-15,HSIC,63.99,63.75,Bullish,-0.28,8798.19
2020-09-16,RJF,74.93,74.69,Bullish,-0.14,8786.28
2020-09-18,GS,195.01,194.86,Bullish,2.16,8975.98
2020-09-22,REG,37.29,37.26,Bullish,-1.85,8809.58
2020-09-23,BDX,225.92,225.59,Bullish,-2.14,8620.91
2020-09-24,AMT,236.3,236.18,Bullish,2.05,8797.37
2020-09-28,NOV,9.82,9.8,Bullish,-4.86,8370.22
2020-09-29,NI,21.97,21.96,Bullish,-0.59,8321.05
2020-09-30,XOM,34.64,34.33,Bullish,-1.95,8158.52
2020-10-01,UPS,169.04,167.65,Bullish,0.18,8173.21
2020-10-06,FISV,102.66,102.36,Bullish,-0.52,8130.34
2020-10-07,HIG,38.3,37.95,Bullish,2.64,8344.63
2020-10-08,CBOE,85.88,85.03,Bullish,-0.62,8293.14
2020-10-09,CCL,15.72,15.69,Bullish,-1.55,8164.32
2020-10-12,WMB,19.54,19.45,Bullish,0.52,8206.57
2020-10-13,MCO,293.98,293.41,Bullish,-1.37,8094.41
2020-10-14,WRK,38.43,38.1,Bullish,5.57,8544.94
2020-10-15,NFLX,545.52,541.94,Bullish,-3.4,8253.99
2020-10-16,LHX,174.46,174.37,Bullish,-1.94,8093.47
2020-10-19,WMB,19.43,19.29,Bullish,1.18,8189.13
2020-10-20,LEG,44.78,44.26,Bullish,-0.93,8113.2
2020-10-21,PM,73.93,73.82,Bullish,0.13,8124.05
2020-10-22,IQV,169.87,169.4,Bullish,-1.93,7967.06
2020-10-23,ALLE,103.15,102.88,Bullish,-0.76,7906.69
2020-10-27,TXN,147.63,147.12,Bullish,-1.17,7813.8
2020-10-29,HRL,48.76,48.7,Bullish,0.25,7833.1
2020-11-02,GOOG,1628.16,1626.03,Bullish,1.13,7921.57
2020-11-03,LUV,39.23,38.85,Bullish,0.21,7937.88
2020-11-04,JNJ,139.49,139.4,Bullish,-0.56,7893.27
2020-11-05,VNO,31.89,31.85,Bullish,nan,nan
