Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-23,LVS,67.68,69.45,Bearish,2.04,10203.58
2020-01-27,TXT,43.73,44.7,Bearish,-1.6,10040.25
2020-01-30,JCI,40.29,40.51,Bearish,4.36,10478.37
2020-02-05,EVRG,70.87,71.02,Bearish,-0.41,10435.59
2020-02-07,PSX,89.97,90.33,Bearish,-0.45,10389.14
2020-02-10,ALGN,257.75,259.03,Bearish,-1.91,10190.97
2020-02-20,WMT,117.21,117.69,Bearish,-0.97,10092.05
2020-02-28,APTV,75.32,78.11,Bearish,-4.4,9648.41
2020-03-06,JBHT,90.03,93.23,Bearish,1.07,9751.95
2020-03-18,XEC,12.16,13.39,Bearish,-23.16,7493.61
2020-03-23,STX,40.54,40.78,Bearish,-2.36,7317.12
2020-04-01,WAT,176.58,182.31,Bearish,-2.89,7105.46
2020-04-13,MU,44.9,46.17,Bearish,-1.32,7011.73
2020-04-14,FTI,8.25,8.45,Bearish,-2.06,6867.16
2020-04-15,GS,170.63,178.52,Bearish,0.1,6874.13
2020-04-30,J,82.35,82.75,Bearish,0.92,6937.37
2020-05-01,HSY,131.44,132.54,Bearish,0.49,6971.03
2020-05-04,PXD,81.2,83.06,Bearish,6.32,7411.27
2020-05-11,FIS,127.28,128.24,Bearish,0.74,7466.48
2020-05-13,CTVA,23.15,23.27,Bearish,-2.42,7286.13
2020-05-14,ANSS,249.25,252.15,Bearish,-1.86,7150.81
2020-05-22,TAP,36.54,36.83,Bearish,1.63,7267.63
2020-05-27,ANSS,267.65,269.31,Bearish,-2.31,7099.79
2020-05-29,WHR,121.1,121.82,Bearish,-1.85,6968.33
2020-06-04,ILMN,355.29,358.4,Bearish,0.86,7028.23
2020-06-08,TSCO,120.29,122.24,Bearish,-0.36,7002.88
2020-06-09,MNST,69.98,70.43,Bearish,0.4,7030.6
2020-06-15,WRK,27.0,28.26,Bearish,2.79,7226.69
2020-06-18,VNO,39.41,40.04,Bearish,3.83,7503.61
2020-06-22,CFG,25.02,25.43,Bearish,0.73,7558.47
2020-06-24,ATO,98.02,98.96,Bearish,1.41,7665.17
2020-06-25,IPG,16.19,16.46,Bearish,0.86,7730.77
2020-06-29,ACN,210.15,212.72,Bearish,-1.11,7645.22
2020-07-08,DAL,26.65,27.01,Bearish,4.26,7970.55
2020-07-14,ADP,142.68,145.48,Bearish,-1.82,7825.27
2020-07-16,KLAC,193.98,196.04,Bearish,0.41,7857.68
2020-07-20,ARNC,16.04,16.25,Bearish,-3.51,7581.54
2020-07-24,DG,190.83,191.7,Bearish,0.96,7654.28
2020-07-27,ABBV,96.35,97.16,Bearish,0.3,7677.16
2020-07-28,NRG,33.6,33.74,Bearish,0.36,7704.45
2020-07-30,LH,193.39,194.84,Bearish,0.84,7769.0
2020-08-04,ESS,212.5,214.27,Bearish,-1.45,7656.6
2020-08-06,AAP,150.95,151.83,Bearish,-0.7,7602.82
2020-08-13,NLSN,15.69,15.87,Bearish,-0.82,7540.11
2020-08-19,FLS,30.18,30.32,Bearish,1.53,7655.76
2020-08-20,BAX,82.55,82.89,Bearish,-0.11,7647.46
2020-08-26,FFIV,133.22,133.81,Bearish,3.43,7910.14
2020-09-01,ZION,31.86,32.19,Bearish,-0.81,7846.13
2020-09-04,AAPL,120.07,120.96,Bearish,0.99,7923.94
2020-09-17,ROL,53.17,53.62,Bearish,2.02,8083.9
2020-09-24,EXPE,91.23,92.05,Bearish,-2.78,7859.25
2020-09-25,ACN,213.03,214.63,Bearish,-1.68,7726.88
2020-09-29,VRSN,200.63,204.91,Bearish,0.09,7733.66
2020-09-30,CAH,46.59,46.95,Bearish,2.35,7915.57
2020-10-02,ABC,94.05,95.38,Bearish,-0.65,7864.33
2020-10-13,AVY,129.0,129.44,Bearish,-1.38,7755.53
2020-10-14,ADM,48.03,48.85,Bearish,-3.08,7517.02
2020-10-15,MAR,96.29,97.07,Bearish,-0.44,7483.81
2020-10-29,BEN,18.36,18.64,Bearish,-1.13,7399.04
2020-11-04,TSN,56.38,56.54,Bearish,-1.26,7305.57
