Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-17,REG,63.22,63.2,Bullish,0.74,10074.16
2020-01-21,JNPR,24.63,24.52,Bullish,-0.69,10004.51
2020-01-22,ICE,96.63,96.43,Bullish,1.2,10124.17
2020-01-27,STT,76.15,75.45,Bullish,0.42,10166.7
2020-01-28,GIS,53.13,53.01,Bullish,0.02,10168.61
2020-01-29,JKHY,149.56,149.6,Bullish,3.04,10477.31
2020-01-30,LUV,55.31,55.83,Bullish,-1.15,10356.75
2020-01-31,NRG,36.7,36.89,Bullish,1.38,10499.39
2020-02-03,FFIV,121.19,121.77,Bullish,-0.04,10495.14
2020-02-05,CHTR,522.0,522.18,Bullish,0.32,10529.13
2020-02-07,NOC,363.38,361.42,Bullish,0.62,10594.46
2020-02-10,CPRT,102.56,102.53,Bullish,-0.78,10512.26
2020-02-11,ECL,204.8,204.62,Bullish,0.57,10572.58
2020-02-12,AJG,107.16,106.65,Bullish,1.5,10731.27
2020-02-13,GM,35.21,35.29,Bullish,-1.53,10567.11
2020-02-14,NCLH,52.44,52.46,Bullish,-0.77,10485.96
2020-02-18,LRCX,323.24,325.34,Bullish,0.81,10570.5
2020-02-19,NTAP,53.16,53.21,Bullish,0.96,10671.83
2020-02-20,NWL,19.83,19.89,Bullish,-2.63,10390.85
2020-02-21,CTVA,31.35,31.22,Bullish,0.62,10455.65
2020-02-24,LH,185.89,187.55,Bullish,-2.24,10221.86
2020-02-25,NEM,49.5,49.14,Bullish,1.06,10330.6
2020-02-26,GRMN,91.45,90.38,Bullish,-0.35,10294.86
2020-02-27,MXIM,56.2,55.96,Bullish,2.7,10572.38
2020-02-28,FOXA,30.25,30.74,Bullish,4.49,11047.15
2020-03-05,WDC,56.88,57.71,Bullish,-0.58,10982.94
2020-03-06,UNM,20.29,20.65,Bullish,-7.4,10170.04
2020-03-09,MS,36.85,37.5,Bullish,-0.78,10090.85
2020-03-11,XOM,42.39,41.98,Bullish,-6.82,9402.95
2020-03-12,CLX,160.1,158.7,Bullish,2.3,9619.11
2020-03-16,KMI,13.12,12.73,Bullish,-1.86,9439.87
2020-03-19,PRGO,45.1,43.75,Bullish,-4.55,9010.01
2020-03-20,BDX,217.81,220.12,Bullish,-8.52,8242.39
2020-03-23,UNP,110.39,114.04,Bullish,6.19,8752.45
2020-03-25,LLY,120.12,121.94,Bullish,8.97,9537.61
2020-03-27,HAS,64.06,65.64,Bullish,9.62,10454.66
2020-03-30,WY,17.18,16.95,Bullish,1.5,10611.16
2020-03-31,MCHP,68.11,67.8,Bullish,-3.55,10234.64
2020-04-01,WMB,13.75,13.33,Bullish,3.53,10595.69
2020-04-02,ESS,190.0,194.47,Bullish,-1.12,10476.57
2020-04-03,ABMD,142.38,141.4,Bullish,4.2,10916.85
2020-04-08,ODFL,137.05,138.3,Bullish,-3.06,10583.26
2020-04-09,SJM,113.33,112.75,Bullish,-2.08,10363.32
2020-04-14,PXD,77.05,77.37,Bullish,3.3,10704.81
2020-04-15,KEY,10.39,10.31,Bullish,-5.89,10073.9
2020-04-16,CBOE,98.04,97.94,Bullish,3.85,10461.6
2020-04-20,HSY,143.25,144.58,Bullish,-3.16,10131.09
2020-04-21,UAA,9.35,9.54,Bullish,-2.14,9914.0
2020-04-22,HRL,48.81,48.4,Bullish,-1.67,9748.77
2020-04-23,IRM,24.4,24.43,Bullish,-4.04,9355.16
2020-04-27,JNJ,154.81,154.29,Bullish,0.09,9363.82
2020-04-28,WMT,128.28,128.0,Bullish,-1.57,9216.91
2020-04-29,K,65.12,64.9,Bullish,-1.52,9076.95
2020-04-30,IFF,131.43,131.03,Bullish,-1.81,8912.95
2020-05-01,FFIV,134.43,135.3,Bullish,2.47,9132.84
