Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-23,KMI,21.38,21.76,Bullish,-0.96,9903.54
2020-01-28,M,16.57,16.87,Bullish,-0.47,9856.79
2020-01-31,CLX,156.65,157.31,Bullish,-1.15,9743.63
2020-02-04,GD,179.24,179.53,Bullish,1.64,9902.96
2020-02-05,DRI,115.91,117.48,Bullish,2.98,10198.42
2020-02-11,LEG,45.05,45.48,Bullish,0.94,10294.49
2020-02-12,HAL,22.27,22.35,Bullish,0.23,10317.74
2020-02-19,COP,58.75,59.26,Bullish,-0.62,10253.3
2020-02-20,LLY,141.63,142.0,Bullish,0.5,10304.08
2020-03-02,ARE,152.89,155.58,Bullish,0.9,10396.35
2020-03-04,VTR,52.89,53.75,Bullish,-1.91,10197.48
2020-03-10,LNC,35.38,35.5,Bullish,-5.12,9675.31
2020-03-13,HFC,21.29,22.66,Bullish,9.95,10638.33
2020-03-19,CPRI,7.58,10.02,Bullish,-4.17,10194.2
2020-03-24,BMY,48.18,49.24,Bullish,0.65,10260.74
2020-03-26,CLX,167.96,173.11,Bullish,1.61,10425.68
2020-04-06,WDC,40.64,43.31,Bullish,-5.91,9809.98
2020-04-17,HP,16.44,17.74,Bullish,10.11,10802.0
2020-04-24,MDT,97.6,99.3,Bullish,0.73,10880.83
2020-05-05,PGR,76.03,78.04,Bullish,-3.08,10545.87
2020-05-08,WRK,25.6,27.0,Bullish,-2.15,10319.37
2020-05-18,CCI,153.25,156.4,Bullish,-2.02,10111.26
2020-05-26,HP,19.1,19.45,Bullish,-2.39,9869.8
2020-05-27,WLTW,204.48,204.56,Bullish,-1.02,9769.09
2020-06-03,DHI,56.29,56.67,Bullish,-4.66,9313.66
2020-06-05,DLR,139.41,141.28,Bullish,0.13,9325.52
2020-06-12,XRX,16.94,17.06,Bullish,3.32,9635.41
2020-06-16,MRK,75.38,76.97,Bullish,-1.38,9502.14
2020-06-29,PEG,47.95,49.21,Bullish,-0.28,9475.16
2020-07-21,NOV,11.6,12.27,Bullish,1.92,9657.53
2020-07-24,FE,27.94,29.48,Bullish,-1.58,9504.95
2020-07-27,MCHP,101.81,103.09,Bullish,-1.99,9315.89
2020-07-29,MRO,5.58,5.74,Bullish,-1.08,9215.54
2020-08-03,AMCR,10.4,10.44,Bullish,2.39,9436.01
2020-08-11,KEYS,98.23,98.81,Bullish,0.3,9464.53
2020-08-24,KSS,19.19,20.39,Bullish,0.44,9506.02
2020-08-25,AMGN,242.9,248.22,Bullish,0.74,9576.83
2020-09-09,AKAM,106.21,108.94,Bullish,-2.58,9329.43
2020-09-14,KLAC,176.56,178.08,Bullish,0.43,9369.86
2020-09-15,EXPE,96.84,97.4,Bullish,1.31,9492.56
2020-09-16,FTI,6.89,7.33,Bullish,3.21,9797.06
2020-09-22,CMCSA,44.94,46.19,Bullish,-1.82,9618.93
2020-09-25,FITB,19.96,20.47,Bullish,2.01,9812.04
2020-09-28,HOG,23.61,23.91,Bullish,-0.76,9737.8
2020-10-16,BMY,60.67,61.24,Bullish,-1.67,9575.51
2020-10-19,NCLH,16.32,16.45,Bullish,2.52,9816.91
2020-10-22,T,27.83,28.28,Bullish,-1.87,9633.38
2020-10-23,INTU,333.32,334.42,Bullish,-0.85,9551.29
2020-10-29,AVY,135.63,139.81,Bullish,0.17,9567.88
2020-11-02,HCA,126.11,130.6,Bullish,2.49,9805.65
2020-11-03,EW,73.5,74.21,Bullish,-0.35,9770.93
2020-11-04,MKTX,549.27,579.92,Bullish,-0.98,9675.37
