Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-16,AZO,1143.94,1142.12,Bullish,0.88,10087.81
2020-01-17,NWSA,14.92,14.91,Bullish,-1.9,9896.57
2020-01-21,TSCO,93.56,93.64,Bullish,-1.01,9796.36
2020-01-22,WAB,79.22,79.11,Bullish,1.45,9938.01
2020-01-23,PVH,96.82,96.89,Bullish,-2.26,9712.96
2020-01-24,ADSK,199.43,199.19,Bullish,0.05,9717.92
2020-01-27,BXP,141.21,141.04,Bullish,-0.13,9705.55
2020-01-28,USB,53.84,53.86,Bullish,-0.7,9637.22
2020-01-29,F,8.85,8.86,Bullish,0.34,9670.04
2020-01-30,PRGO,57.83,57.87,Bullish,-0.73,9599.36
2020-01-31,CNC,62.84,62.81,Bullish,-0.68,9534.16
2020-02-03,MCD,214.99,215.18,Bullish,-0.69,9468.43
2020-02-04,LW,92.21,92.28,Bullish,0.22,9488.92
2020-02-05,SBAC,254.7,254.57,Bullish,0.69,9554.86
2020-02-06,V,203.05,203.04,Bullish,0.38,9590.81
2020-02-07,DISCK,28.36,28.35,Bullish,0.57,9645.23
2020-02-10,AES,20.5,20.52,Bullish,0.87,9729.47
2020-02-11,PNW,98.68,98.61,Bullish,0.34,9762.12
2020-02-12,CTSH,69.53,69.43,Bullish,0.51,9811.45
2020-02-13,INTU,297.29,297.84,Bullish,1.92,9999.76
2020-02-14,PGR,83.86,83.77,Bullish,-0.45,9954.4
2020-02-18,AIZ,141.94,141.8,Bullish,-1.01,9854.23
2020-02-19,APA,28.4,28.47,Bullish,-0.03,9850.79
2020-02-20,ICE,95.14,95.21,Bullish,-0.35,9816.6
2020-02-21,LB,23.97,24.07,Bullish,1.81,9994.08
2020-02-24,LDOS,114.11,113.83,Bullish,-4.2,9574.77
2020-02-25,HRL,44.7,44.72,Bullish,-2.23,9361.72
2020-02-26,INCY,78.06,77.97,Bullish,-1.44,9226.67
2020-02-27,STE,163.79,163.62,Bullish,-0.91,9142.52
2020-02-28,AMT,226.7,226.8,Bullish,5.12,9610.37
2020-03-02,APA,25.49,25.52,Bullish,-2.76,9344.87
2020-03-03,MAS,43.19,43.17,Bullish,3.1,9634.83
2020-03-04,UNH,290.0,289.42,Bullish,0.48,9681.36
2020-03-05,LRCX,297.85,299.13,Bullish,1.25,9802.56
2020-03-06,NKE,88.36,88.36,Bullish,2.71,10068.3
2020-03-09,ALXN,86.5,86.42,Bullish,-0.06,10062.63
2020-03-10,ICE,90.82,90.55,Bullish,-2.31,9830.0
2020-03-11,JKHY,161.0,161.01,Bullish,2.05,10031.07
2020-03-12,XEC,14.9,15.15,Bullish,10.57,11091.17
2020-03-13,PKI,74.0,73.82,Bullish,-1.77,10895.18
2020-03-16,LNC,21.78,21.67,Bullish,2.0,11113.47
2020-03-17,AAL,15.79,15.58,Bullish,-18.19,9092.13
2020-03-18,V,148.46,148.48,Bullish,3.63,9421.98
2020-03-19,CTSH,46.63,46.49,Bullish,-4.79,8970.41
2020-03-20,SRE,99.15,99.64,Bullish,-6.87,8354.26
2020-03-23,EFX,104.6,104.62,Bullish,4.87,8761.25
2020-03-24,TSCO,80.65,80.02,Bullish,-3.93,8416.62
2020-03-25,AES,12.75,12.82,Bullish,4.41,8787.66
2020-03-26,EXPD,64.73,65.2,Bullish,2.42,9000.54
2020-03-27,ADS,35.77,36.47,Bullish,-6.23,8439.55
2020-03-30,TSN,58.94,59.15,Bullish,-2.48,8230.48
2020-03-31,PEAK,24.01,23.85,Bullish,-3.8,7918.07
2020-04-01,ES,75.5,75.99,Bullish,6.39,8423.77
2020-04-02,ANTM,210.53,211.39,Bullish,-2.68,8198.35
2020-04-03,PFG,26.33,26.41,Bullish,-0.35,8169.44
2020-04-06,DAL,22.31,22.32,Bullish,-11.74,7210.24
2020-04-07,TGT,98.75,98.26,Bullish,4.27,7517.76
2020-04-08,HFC,26.66,26.63,Bullish,-4.93,7147.14
2020-04-09,AAPL,67.18,67.0,Bullish,1.84,7278.73
2020-04-13,ROP,313.3,314.72,Bullish,-0.2,7263.96
2020-04-14,F,5.27,5.29,Bullish,-0.59,7220.9
2020-04-15,ARE,152.05,152.01,Bullish,-0.14,7210.47
2020-04-16,GS,177.22,177.04,Bullish,0.0,7210.47
2020-04-17,MO,41.0,40.85,Bullish,-2.93,6999.08
2020-04-20,RHI,41.37,41.19,Bullish,4.85,7338.46
2020-04-21,ETN,76.71,76.91,Bullish,-1.61,7220.37
2020-04-22,PGR,82.54,82.49,Bullish,-1.35,7122.62
2020-04-23,VNO,37.42,37.48,Bullish,-0.24,7105.69
2020-04-24,SBUX,75.75,75.58,Bullish,1.38,7203.91
2020-04-27,STE,149.36,149.67,Bullish,-2.92,6993.92
2020-04-28,ADM,37.17,37.17,Bullish,1.35,7088.03
2020-04-29,BKR,14.77,14.81,Bullish,-4.91,6740.15
2020-04-30,CDW,110.93,110.8,Bullish,-1.29,6652.96
2020-05-01,TFX,329.37,329.37,Bullish,-0.96,6589.05
2020-05-04,MS,38.0,38.09,Bullish,-2.57,6420.01
2020-05-05,GILD,79.33,79.14,Bullish,-1.81,6303.65
2020-05-06,FB,208.12,208.47,Bullish,0.05,6306.64
2020-05-07,PEP,131.55,131.55,Bullish,0.87,6361.61
2020-05-08,GOOGL,1381.82,1384.34,Bullish,1.95,6485.44
2020-05-11,TAP,38.6,38.54,Bullish,-2.33,6334.19
2020-05-12,KHC,29.34,29.38,Bullish,-2.31,6187.88
2020-05-13,MAA,107.94,108.09,Bullish,-0.51,6156.38
2020-05-14,VRTX,277.56,277.0,Bullish,4.74,6448.08
2020-05-15,FDX,107.54,107.52,Bullish,5.02,6771.93
2020-05-18,MU,45.83,45.92,Bullish,-1.44,6674.31
2020-05-19,ABMD,190.95,190.79,Bullish,1.94,6803.9
2020-05-20,GPC,77.09,77.22,Bullish,0.53,6840.25
2020-05-21,COTY,3.32,3.33,Bullish,7.45,7349.84
2020-05-22,CHTR,513.71,512.9,Bullish,-1.0,7276.34
2020-05-26,GPS,8.88,8.93,Bullish,10.68,8053.5
2020-05-27,PH,183.51,183.69,Bullish,-3.44,7776.06
2020-05-28,YUM,90.61,90.85,Bullish,-0.61,7728.69
2020-05-29,CHRW,80.92,81.13,Bullish,-0.3,7705.76
2020-06-01,QRVO,104.74,104.58,Bullish,3.47,7973.28
2020-06-02,LB,16.84,16.8,Bullish,6.14,8463.23
2020-06-03,NBL,10.0,10.01,Bullish,1.71,8607.54
2020-06-04,PAYX,74.26,74.19,Bullish,4.82,9022.31
2020-06-05,GWW,322.45,322.83,Bullish,1.85,9189.37
2020-06-08,JBHT,122.13,122.01,Bullish,-0.1,9180.18
2020-06-09,AAL,18.45,18.55,Bullish,-3.79,8832.48
