Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-16,FOX,36.91,38.23,Bullish,0.69,10069.17
2020-01-17,YUM,103.24,105.4,Bullish,0.88,10157.67
2020-01-21,PPG,127.82,125.89,Bearish,0.02,10159.28
2020-01-22,PCAR,77.87,76.94,Bearish,-1.15,10042.75
2020-01-23,ICE,96.15,97.3,Bullish,-0.2,10023.14
2020-01-24,WMT,116.0,114.37,Bearish,-2.36,9786.7
2020-01-27,DGX,106.96,109.47,Bullish,1.09,9892.94
2020-01-28,NTAP,58.3,56.92,Bearish,2.78,10168.27
2020-01-29,MCHP,104.33,102.46,Bearish,-0.0,10168.27
2020-01-30,PVH,88.84,91.4,Bullish,-4.27,9733.89
2020-01-31,URI,139.84,135.69,Bearish,-1.7,9568.57
2020-02-03,HAS,102.69,101.77,Bearish,-0.83,9488.72
2020-02-04,VAR,142.41,141.43,Bearish,0.47,9533.43
2020-02-05,UNH,285.6,295.73,Bullish,-1.53,9387.7
2020-02-06,RJF,96.71,94.41,Bearish,-0.44,9346.6
2020-02-07,BA,340.37,336.75,Bearish,-2.21,9140.11
2020-02-10,GRMN,96.02,97.71,Bullish,0.47,9183.2
2020-02-11,MCD,214.0,215.73,Bullish,0.68,9245.27
2020-02-12,SYK,218.53,216.08,Bearish,-0.49,9200.4
2020-02-13,RMD,172.59,174.88,Bullish,0.89,9281.87
2020-02-14,AMZN,2155.68,2134.87,Bearish,-1.44,9147.99
2020-02-18,FLIR,57.58,56.58,Bearish,-1.85,8978.73
2020-02-19,UAL,80.94,79.42,Bearish,-0.77,8909.67
2020-02-20,BWA,34.62,35.15,Bullish,-3.05,8637.67
2020-02-21,TSCO,98.27,99.78,Bullish,-1.4,8516.71
2020-02-24,COG,14.59,15.05,Bullish,-3.44,8223.81
2020-02-25,ILMN,282.65,269.95,Bearish,-1.01,8140.95
2020-02-26,NOV,20.41,19.47,Bearish,-0.32,8114.92
2020-02-27,MET,45.78,43.89,Bearish,-1.45,7997.36
2020-02-28,BWA,29.48,31.6,Bullish,2.63,8208.09
2020-03-02,UDR,45.33,47.08,Bullish,0.11,8216.76
2020-03-03,ADS,85.63,79.68,Bearish,-0.26,8195.32
2020-03-04,MAA,139.67,145.0,Bullish,1.13,8288.07
2020-03-05,WHR,128.36,124.86,Bearish,-0.09,8280.53
2020-03-06,XEL,66.51,70.15,Bullish,2.46,8483.93
2020-03-09,NCLH,23.93,19.81,Bearish,7.82,9147.69
2020-03-10,ORLY,381.68,393.52,Bullish,-2.89,8882.87
2020-03-11,ALB,73.38,70.07,Bearish,-1.28,8769.01
2020-03-12,ZBRA,177.23,161.51,Bearish,-5.45,8291.14
2020-03-13,AMGN,189.76,202.1,Bullish,2.17,8471.17
2020-03-16,SPG,78.88,65.79,Bearish,11.56,9450.04
2020-03-17,LLY,133.21,143.2,Bullish,4.95,9917.9
2020-03-18,TFC,27.23,28.32,Bullish,8.55,10765.64
2020-03-19,FLIR,33.34,31.4,Bearish,19.21,12834.25
2020-03-20,STZ,126.6,119.7,Bearish,9.9,14105.09
2020-03-23,M,5.94,4.81,Bearish,-9.48,12768.24
2020-03-24,KLAC,121.7,136.36,Bullish,1.29,12932.88
2020-03-25,GILD,73.87,69.66,Bearish,-5.67,12200.2
2020-03-26,IBM,106.91,112.89,Bullish,-0.51,12138.4
2020-03-27,RCL,37.51,34.5,Bearish,7.86,13092.64
2020-03-30,SJM,104.3,110.63,Bullish,0.38,13142.37
2020-03-31,AMD,47.93,45.48,Bearish,1.18,13297.06
2020-04-01,UAA,8.78,8.26,Bearish,4.53,13899.99
2020-04-02,XYL,59.18,63.4,Bullish,-4.15,13323.02
2020-04-03,XRAY,37.4,35.45,Bearish,-2.3,13015.96
2020-04-06,RCL,26.8,29.61,Bullish,-4.98,12367.19
2020-04-07,NKE,88.7,84.16,Bearish,-0.71,12279.58
2020-04-08,PNW,73.68,78.87,Bullish,2.42,12576.29
2020-04-09,FRT,82.88,86.0,Bullish,-2.81,12222.39
2020-04-13,GD,140.94,136.95,Bearish,0.37,12267.24
2020-04-14,ROL,36.54,37.58,Bullish,-1.1,12132.25
2020-04-15,ISRG,495.61,511.0,Bullish,-0.86,12027.63
2020-04-16,EA,114.75,118.1,Bullish,-1.34,11866.86
2020-04-17,RHI,41.85,43.24,Bullish,-0.44,11815.23
2020-04-20,VTR,30.33,28.65,Bearish,-3.44,11408.26
2020-04-21,CVS,61.51,60.25,Bearish,0.72,11490.83
2020-04-22,YUM,83.0,86.79,Bullish,-1.23,11348.99
2020-04-23,FE,44.45,43.03,Bearish,-5.83,10687.75
2020-04-24,NCLH,11.37,10.86,Bearish,-3.62,10300.51
2020-04-27,RCL,36.33,39.47,Bullish,-0.74,10224.3
2020-04-28,CLX,188.9,186.94,Bearish,-1.42,10079.41
2020-04-29,DHI,47.1,48.55,Bullish,-0.11,10068.75
2020-04-30,ADM,38.4,37.14,Bearish,4.2,10491.72
2020-05-01,ARE,153.48,150.99,Bearish,-0.12,10479.08
2020-05-04,NFLX,417.78,428.15,Bullish,-0.67,10408.49
2020-05-05,MS,38.98,37.98,Bearish,3.04,10725.05
2020-05-06,RSG,85.23,78.55,Bearish,-2.31,10477.8
2020-05-07,HON,134.62,132.79,Bearish,-1.66,10303.52
2020-05-08,AAP,121.9,124.85,Bullish,1.47,10455.44
2020-05-11,INCY,96.09,99.33,Bullish,-3.26,10114.59
2020-05-12,CTXS,154.7,146.84,Bearish,0.58,10172.94
2020-05-13,COTY,4.08,3.66,Bearish,9.68,11157.41
2020-05-14,NEE,56.94,58.06,Bullish,-0.95,11051.68
2020-05-15,ANTM,271.06,278.09,Bullish,-1.76,10857.38
2020-05-18,TFC,33.05,34.15,Bullish,-3.41,10487.68
2020-05-19,UAL,25.62,23.68,Bearish,-2.17,10259.69
2020-05-20,ABMD,192.62,196.36,Bullish,-0.14,10245.08
2020-05-21,AES,12.9,12.31,Bearish,0.49,10295.05
2020-05-22,VRSN,210.0,213.72,Bullish,-4.17,9865.78
2020-05-26,WLTW,203.68,201.65,Bearish,-0.04,9861.92
2020-05-27,TIF,125.74,127.54,Bullish,0.02,9863.46
2020-05-28,CPRI,17.99,16.37,Bearish,5.53,10408.68
2020-05-29,ESS,246.56,242.77,Bearish,-1.73,10228.56
2020-06-01,FRT,80.35,84.87,Bullish,2.84,10519.1
2020-06-02,APTV,77.84,79.66,Bullish,2.69,10801.69
2020-06-03,LVS,48.77,51.79,Bullish,-2.8,10498.85
2020-06-04,A,89.82,91.14,Bullish,-1.9,10299.43
2020-06-05,DLTR,94.8,92.9,Bearish,-1.08,10188.36
2020-06-08,ESS,266.63,276.2,Bullish,-0.83,10103.55
