Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-16,AMAT,62.59,63.21,Bullish,-1.47,9852.64
2020-01-17,WMB,24.06,23.86,Bearish,2.75,10123.32
2020-01-21,M,17.58,16.99,Bearish,0.12,10135.11
2020-01-22,FANG,87.87,85.44,Bearish,0.14,10149.45
2020-01-23,SO,67.97,68.96,Bullish,0.64,10214.17
2020-01-24,PNW,95.6,97.12,Bullish,0.4,10255.12
2020-01-27,MXIM,61.08,60.29,Bearish,-2.39,10009.9
2020-01-28,ABBV,84.99,83.77,Bearish,0.72,10081.57
2020-01-29,PNW,96.99,98.05,Bullish,1.1,10191.97
2020-01-30,CMA,61.34,62.48,Bullish,-0.88,10102.77
2020-01-31,SEE,36.4,35.5,Bearish,-1.34,9966.98
2020-02-03,DRI,117.13,114.92,Bearish,0.28,9995.36
2020-02-04,LEN,66.87,65.62,Bearish,-3.66,9629.45
2020-02-05,EMR,74.6,76.01,Bullish,-1.8,9456.04
2020-02-06,T,37.86,38.44,Bullish,0.0,9456.04
2020-02-07,PKG,103.68,101.38,Bearish,0.34,9487.9
2020-02-10,GPN,200.25,204.64,Bullish,-0.97,9396.33
2020-02-11,VNO,66.43,67.14,Bullish,0.16,9411.7
2020-02-12,REGN,398.13,406.3,Bullish,-1.88,9235.02
2020-02-13,EXPD,72.94,74.18,Bullish,-1.18,9125.59
2020-02-14,UAA,16.78,17.19,Bullish,-1.7,8970.11
2020-02-18,ROL,39.77,39.4,Bearish,-0.51,8924.71
2020-02-19,ARE,173.85,169.19,Bearish,0.17,8939.5
2020-02-20,PSX,88.51,90.19,Bullish,-0.3,8912.53
2020-02-21,F,8.02,7.89,Bearish,1.69,9063.01
2020-02-24,JNPR,23.67,23.29,Bearish,3.08,9342.23
2020-02-25,PPG,115.69,109.63,Bearish,1.27,9460.6
2020-02-26,CPB,48.13,46.64,Bearish,1.42,9595.28
2020-02-27,VTR,58.97,55.01,Bearish,1.63,9751.52
2020-02-28,FLS,38.87,40.19,Bullish,2.59,10003.71
2020-03-02,ANSS,242.08,258.81,Bullish,-3.08,9695.79
2020-03-03,MYL,17.71,16.29,Bearish,-1.26,9573.28
2020-03-04,ETN,94.71,98.12,Bullish,-1.33,9446.21
2020-03-05,ALK,47.66,43.46,Bearish,-8.94,8601.74
2020-03-06,PKG,88.02,90.78,Bullish,-1.06,8510.67
2020-03-09,GILD,77.92,73.52,Bearish,4.2,8867.96
2020-03-10,TDG,468.51,495.64,Bullish,-2.69,8628.97
2020-03-11,RL,96.09,90.67,Bearish,6.07,9152.9
2020-03-12,AIG,29.66,25.67,Bearish,-3.45,8837.28
2020-03-13,NEM,45.91,39.5,Bearish,-18.47,7205.03
2020-03-16,KIM,12.31,10.6,Bearish,-0.09,7198.39
2020-03-17,MRO,4.15,3.62,Bearish,1.43,7301.22
2020-03-18,AVY,97.74,105.46,Bullish,-1.34,7203.36
2020-03-19,BDX,236.5,220.96,Bearish,-1.06,7126.97
2020-03-20,BSX,28.63,27.24,Bearish,3.98,7410.46
2020-03-23,MPC,18.71,16.62,Bearish,2.72,7612.3
2020-03-24,CPRT,61.8,68.98,Bullish,4.71,7970.81
2020-03-25,EA,93.53,89.64,Bearish,-9.65,7201.66
2020-03-26,ADBE,305.99,322.67,Bullish,-1.88,7066.03
2020-03-27,FCX,6.66,6.2,Bearish,0.48,7099.84
2020-03-30,FISV,93.95,98.33,Bullish,-0.93,7033.94
2020-03-31,ORCL,51.12,48.33,Bearish,-4.64,6707.55
2020-04-01,DAL,26.59,23.87,Bearish,5.18,7055.27
2020-04-02,LMT,335.25,353.96,Bullish,-0.43,7025.2
2020-04-03,DGX,76.92,73.34,Bearish,-3.83,6756.39
2020-04-06,TFX,305.44,321.45,Bullish,-7.62,6241.51
2020-04-07,ED,82.94,79.92,Bearish,-4.06,5988.17
2020-04-08,HES,35.97,39.18,Bullish,-2.27,5851.94
2020-04-09,WEC,92.9,98.22,Bullish,-1.84,5744.33
2020-04-13,AIZ,111.81,108.57,Bearish,2.89,5910.6
2020-04-14,AMD,52.24,54.93,Bullish,2.35,6049.21
2020-04-15,ACN,174.3,169.45,Bearish,1.93,6166.12
2020-04-16,KIM,9.58,8.48,Bearish,2.3,6307.95
2020-04-17,DVN,8.18,9.22,Bullish,9.18,6886.87
2020-04-20,GD,137.99,135.25,Bearish,0.57,6926.38
2020-04-21,WAB,47.77,50.06,Bullish,-0.47,6893.94
2020-04-22,PHM,24.91,24.07,Bearish,-2.31,6734.37
2020-04-23,AJG,77.75,74.82,Bearish,0.05,6737.95
2020-04-24,CHD,70.54,71.35,Bullish,-1.13,6661.53
2020-04-27,BAX,94.0,92.67,Bearish,2.11,6801.98
2020-04-28,NFLX,419.99,403.83,Bearish,-3.09,6591.56
