Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-10,WM,116.3,116.2,Bullish,1.03,10103.04
2020-01-13,BA,332.4,330.22,Bullish,0.48,10151.61
2020-01-14,COP,65.22,65.14,Bullish,0.0,10151.61
2020-01-15,EA,109.79,109.61,Bullish,1.15,10267.89
2020-01-16,INCY,81.08,80.62,Bullish,-0.59,10207.03
2020-01-17,BLK,537.06,535.24,Bullish,-0.54,10151.96
2020-01-21,CME,207.46,206.86,Bullish,0.08,10159.8
2020-01-22,PFG,55.85,55.61,Bullish,-0.05,10154.29
2020-01-23,MU,60.33,59.2,Bullish,-3.73,9775.2
2020-01-28,FRT,127.32,127.23,Bullish,-1.2,9657.97
2020-01-29,SEE,37.05,36.92,Bullish,0.25,9681.73
2020-01-30,LYV,70.71,70.65,Bullish,-3.2,9372.34
2020-02-03,CAH,51.43,51.26,Bullish,-0.9,9287.73
2020-02-04,DISH,37.03,36.78,Bullish,2.21,9492.9
2020-02-05,KSU,173.35,172.64,Bullish,-0.32,9462.64
2020-02-06,MTD,787.38,778.52,Bullish,1.25,9580.7
2020-02-07,ATO,117.81,117.59,Bullish,0.33,9612.39
2020-02-10,PG,126.46,126.17,Bullish,-1.67,9451.76
2020-02-11,LNT,58.47,58.39,Bullish,0.79,9526.47
2020-02-12,JPM,138.6,138.0,Bullish,0.09,9535.46
2020-02-13,ZBH,159.0,158.73,Bullish,1.12,9642.46
2020-02-14,BR,122.8,122.28,Bullish,0.34,9675.64
2020-02-18,SBUX,89.37,89.23,Bullish,0.73,9745.91
2020-02-19,DXC,29.81,29.8,Bullish,2.77,10016.08
2020-02-20,MDT,115.03,113.86,Bullish,-0.27,9988.75
2020-02-21,BIIB,336.97,336.71,Bullish,-1.67,9822.42
2020-02-26,BAX,87.79,87.03,Bullish,-1.15,9709.51
2020-03-02,IR,33.06,32.8,Bullish,-2.76,9441.45
2020-03-03,OXY,33.05,32.99,Bullish,-0.96,9350.59
2020-03-04,NWS,12.15,12.1,Bullish,-3.74,9001.03
2020-03-10,LYB,62.77,59.74,Bullish,-6.51,8415.09
2020-03-11,DXC,17.78,16.43,Bullish,-11.35,7459.72
