Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-22,IDXX,285.15,287.62,Bullish,-0.68,9931.91
2020-01-23,BA,308.5,317.79,Bullish,0.33,9964.3
2020-01-28,M,16.57,16.87,Bullish,-0.47,9917.27
2020-02-10,FFIV,125.5,126.91,Bullish,-0.74,9843.88
2020-02-18,CHRW,71.86,72.45,Bullish,1.21,9963.2
2020-02-19,APTV,88.32,90.71,Bullish,1.24,10087.23
2020-02-21,GD,184.91,187.6,Bullish,0.82,10169.86
2020-03-02,AMT,229.03,240.75,Bullish,0.79,10250.12
2020-03-13,WHR,107.79,115.43,Bullish,-11.63,9058.18
2020-03-19,CPRI,7.58,10.02,Bullish,-4.17,8680.02
2020-03-24,DE,117.37,126.0,Bullish,2.07,8860.0
2020-03-26,ADBE,305.99,322.67,Bullish,-1.88,8693.14
2020-04-06,NWSA,8.57,8.93,Bullish,-0.45,8653.76
2020-04-17,FTV,48.79,50.51,Bullish,-1.33,8538.84
2020-04-22,ETR,96.55,99.48,Bullish,-2.45,8329.26
2020-04-24,PCAR,66.65,67.48,Bullish,1.64,8465.82
2020-05-01,RMD,157.0,159.07,Bullish,-2.67,8240.1
2020-05-05,ARE,150.02,152.95,Bullish,-1.39,8125.61
2020-05-14,DHR,158.11,161.66,Bullish,2.69,8344.08
2020-05-26,COO,292.59,297.9,Bullish,1.97,8508.15
2020-05-28,MKTX,475.57,483.51,Bullish,4.01,8849.0
2020-06-01,FCX,9.05,9.34,Bullish,3.17,9129.92
2020-06-09,SBAC,299.63,308.25,Bullish,-0.5,9084.22
2020-06-18,CTAS,271.29,275.81,Bullish,-3.74,8744.05
2020-06-23,MHK,94.5,103.88,Bullish,-2.06,8563.79
2020-06-25,MKC,174.34,178.54,Bullish,-2.35,8362.15
2020-07-08,LYV,44.92,46.06,Bullish,-2.38,8162.83
2020-07-13,NSC,172.38,175.13,Bullish,2.23,8344.8
2020-07-15,ULTA,199.05,203.81,Bullish,1.4,8461.41
2020-07-17,ARE,163.97,166.75,Bullish,-0.43,8424.7
2020-07-21,RF,10.34,10.8,Bullish,1.12,8519.36
2020-07-27,DHI,64.58,66.57,Bullish,-6.07,8002.63
2020-07-28,KIM,10.65,11.12,Bullish,0.09,8009.69
2020-07-29,ZION,32.13,33.37,Bullish,0.21,8026.84
2020-07-30,HD,263.34,266.31,Bullish,0.18,8041.68
2020-08-03,SLB,18.1,18.72,Bullish,2.94,8278.45
2020-08-04,PM,76.04,77.1,Bullish,-0.31,8252.71
2020-08-05,EXPE,80.96,82.58,Bullish,2.93,8494.82
2020-08-07,CCI,163.91,168.19,Bullish,-1.12,8399.79
2020-08-10,APA,15.71,16.28,Bullish,-6.93,7818.07
2020-08-12,EBAY,54.4,55.49,Bullish,1.22,7913.69
2020-08-14,CVS,64.28,65.67,Bullish,-1.44,7799.52
2020-08-17,MCHP,100.6,103.36,Bullish,3.31,8057.73
2020-08-21,WM,110.37,111.16,Bullish,0.91,8131.45
2020-08-24,AEP,79.25,80.78,Bullish,-1.34,8022.83
2020-08-27,GL,83.91,85.09,Bullish,-1.11,7933.97
2020-08-28,MU,44.62,45.69,Bullish,0.35,7961.96
2020-09-02,CI,177.13,181.34,Bullish,-2.28,7780.13
2020-09-08,HPQ,18.87,19.45,Bullish,0.97,7855.9
2020-09-09,LOW,155.89,159.53,Bullish,-1.1,7769.53
2020-09-25,INFO,76.16,77.78,Bullish,1.3,7870.79
2020-09-30,SEE,38.07,38.81,Bullish,2.12,8037.87
2020-10-01,CLX,209.53,211.65,Bullish,-1.16,7944.46
2020-10-05,DHR,214.54,218.35,Bullish,-0.28,7922.32
2020-10-06,CLX,209.19,211.15,Bullish,1.93,8075.09
2020-10-12,NVDA,559.58,569.04,Bullish,-0.34,8047.84
2020-10-15,SIVB,265.17,273.39,Bullish,-0.57,8002.15
2020-10-22,NWL,17.61,17.87,Bullish,0.45,8037.87
2020-10-27,VAR,172.36,172.96,Bullish,-0.1,8029.95
2020-10-29,TDG,456.29,476.54,Bullish,0.73,8088.4
2020-10-30,MCK,143.26,147.49,Bullish,1.12,8179.33
