Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-22,IDXX,285.15,287.62,Bullish,-0.68,9931.91
2020-01-23,AAP,146.07,149.73,Bullish,-5.55,9381.02
2020-01-28,VRTX,228.53,231.97,Bullish,0.3,9408.96
2020-01-30,NWS,13.75,14.01,Bullish,-0.07,9402.23
2020-02-03,TFC,51.98,52.5,Bullish,-0.45,9359.97
2020-02-06,GILD,67.29,68.21,Bullish,-1.59,9211.5
2020-02-10,FFIV,125.5,126.91,Bullish,-0.74,9143.34
2020-02-11,PKG,101.16,102.6,Bullish,-1.27,9027.12
2020-02-13,PG,123.73,124.96,Bullish,0.68,9088.36
2020-02-14,ILMN,292.92,298.92,Bullish,0.31,9116.33
2020-02-18,MGM,31.54,32.02,Bullish,-0.5,9071.1
2020-02-19,EOG,74.93,77.28,Bullish,-1.04,8976.59
2020-02-21,EXR,107.12,109.2,Bullish,-0.1,8967.53
2020-02-28,CPRI,23.95,25.82,Bullish,-1.51,8832.08
2020-03-02,LLY,127.74,132.84,Bullish,-2.23,8635.26
2020-03-06,DLTR,76.0,80.24,Bullish,10.7,9559.0
2020-03-10,CTVA,24.4,25.91,Bullish,-0.04,9555.18
2020-03-13,PG,106.5,114.07,Bullish,6.63,10189.06
2020-03-19,SYY,31.05,37.11,Bullish,-15.26,8634.67
2020-03-24,FBHS,36.99,40.37,Bullish,4.9,9057.54
2020-03-26,VZ,49.59,53.54,Bullish,1.19,9165.23
2020-04-02,PEP,117.22,123.86,Bullish,1.14,9269.38
2020-04-06,NWSA,8.57,8.93,Bullish,-0.45,9227.39
2020-04-14,CI,181.04,185.62,Bullish,-0.09,9219.32
2020-04-17,USB,33.08,35.06,Bullish,0.74,9287.1
2020-04-22,ETR,96.55,99.48,Bullish,-2.45,9059.15
2020-04-24,PCAR,66.65,67.48,Bullish,1.64,9207.69
2020-05-01,RMD,157.0,159.07,Bullish,-2.67,8962.18
2020-05-04,EFX,136.76,141.71,Bullish,2.96,9227.12
2020-05-05,ARE,150.02,152.95,Bullish,-1.39,9098.92
2020-05-06,K,63.3,64.09,Bullish,-2.73,8850.45
2020-05-07,UAA,9.35,9.61,Bullish,0.81,8921.96
2020-05-14,STE,146.4,150.89,Bullish,0.69,8983.11
2020-05-15,ABC,83.36,85.75,Bullish,1.33,9102.5
2020-05-22,SRE,121.14,123.81,Bullish,-0.39,9067.03
2020-05-26,COO,292.59,297.9,Bullish,1.97,9245.32
2020-05-28,EW,73.07,74.05,Bullish,0.69,9309.53
2020-06-01,REG,42.97,45.4,Bullish,-0.24,9287.22
2020-06-05,CL,71.17,72.4,Bullish,2.18,9489.9
2020-06-09,SBAC,299.63,308.25,Bullish,-0.5,9442.4
2020-06-12,ARE,156.66,159.27,Bullish,6.38,10044.92
2020-06-15,OKE,32.5,36.44,Bullish,1.27,10172.08
2020-06-16,MRK,75.38,76.97,Bullish,-1.38,10031.38
2020-06-18,CTAS,271.29,275.81,Bullish,-3.74,9655.75
2020-06-19,WDC,43.42,44.39,Bullish,-0.88,9570.88
2020-06-23,MHK,94.5,103.88,Bullish,-2.06,9373.57
2020-06-25,CPB,48.88,49.6,Bullish,-2.5,9139.42
2020-06-30,AMZN,2685.07,2758.82,Bullish,4.38,9539.43
2020-07-08,LYV,44.92,46.06,Bullish,-2.38,9312.05
2020-07-09,JNPR,22.39,22.74,Bullish,-0.13,9299.72
2020-07-10,WM,102.02,103.82,Bullish,0.0,9299.72
2020-07-13,NSC,172.38,175.13,Bullish,2.23,9507.03
2020-07-15,KSS,21.26,22.3,Bullish,5.32,10012.73
2020-07-17,CCI,166.74,168.96,Bullish,-4.02,9610.59
2020-07-21,COF,61.51,62.87,Bullish,5.89,10176.2
2020-07-22,ABT,98.11,100.19,Bullish,0.54,10231.0
2020-07-27,INTU,290.47,296.15,Bullish,1.55,10389.22
2020-07-28,ATO,102.2,104.6,Bullish,0.6,10451.53
2020-07-29,HBAN,9.09,9.45,Bullish,0.98,10553.56
2020-07-30,HD,263.34,266.31,Bullish,0.18,10573.07
2020-07-31,NEM,66.61,69.2,Bullish,-1.52,10412.64
2020-08-03,GIS,63.82,64.6,Bullish,2.02,10622.7
2020-08-04,COTY,3.65,3.83,Bullish,2.33,10870.38
2020-08-05,EXPE,80.96,82.58,Bullish,2.93,11189.28
2020-08-07,ARE,173.92,175.65,Bullish,-0.38,11146.6
2020-08-10,HP,18.56,19.42,Bullish,-3.19,10790.98
2020-08-12,TMO,408.9,416.17,Bullish,1.11,10910.93
2020-08-14,CVS,64.28,65.67,Bullish,-1.44,10753.52
2020-08-17,O,61.09,61.98,Bullish,-0.29,10722.18
2020-08-21,DHR,205.35,207.8,Bullish,-1.5,10561.36
2020-08-24,STT,67.9,68.94,Bullish,-0.72,10485.46
2020-08-26,MKTX,487.28,499.41,Bullish,0.18,10504.51
2020-08-27,AIZ,122.06,123.66,Bullish,-1.34,10363.44
2020-08-28,MU,44.62,45.69,Bullish,0.35,10400.0
2020-09-01,ALGN,297.1,305.43,Bullish,5.43,10964.75
2020-09-02,CDW,113.93,117.53,Bullish,-4.14,10511.2
2020-09-04,CXO,49.81,50.65,Bullish,-3.74,10118.2
2020-09-08,HPQ,18.87,19.45,Bullish,0.97,10216.74
2020-09-09,IEX,177.22,179.69,Bullish,-1.37,10077.0
2020-09-14,SLG,45.42,47.57,Bullish,5.34,10615.21
2020-09-18,APTV,87.04,88.95,Bullish,-2.52,10347.23
2020-09-22,ETR,94.82,97.28,Bullish,-2.23,10116.56
2020-09-25,MCK,146.5,148.51,Bullish,-0.5,10065.59
2020-09-28,LKQ,27.74,28.26,Bullish,-1.71,9893.83
2020-09-30,SEE,38.07,38.81,Bullish,2.12,10103.86
2020-10-01,CLX,209.53,211.65,Bullish,-1.16,9986.44
2020-10-05,NLOK,20.76,21.52,Bullish,-0.93,9893.1
2020-10-06,CLX,209.19,211.15,Bullish,1.93,10083.88
2020-10-12,NVDA,559.58,569.04,Bullish,-0.34,10049.85
2020-10-14,DOW,47.84,48.83,Bullish,2.36,10287.03
2020-10-15,WYNN,71.45,72.7,Bullish,-1.94,10087.05
2020-10-16,LH,194.52,199.09,Bullish,0.52,10139.8
2020-10-22,ZION,30.25,32.25,Bullish,1.81,10323.25
2020-10-23,EBAY,52.47,53.79,Bullish,-0.28,10294.31
2020-10-27,VAR,172.36,172.96,Bullish,-0.1,10284.17
2020-10-29,HIG,37.29,38.69,Bullish,1.08,10394.81
2020-10-30,MCK,143.26,147.49,Bullish,1.12,10511.66
2020-11-02,DGX,123.11,124.84,Bullish,0.56,10570.15
