Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-21,CPRI,36.44,36.67,Bearish,1.27,10127.41
2020-01-23,WYNN,134.76,139.11,Bearish,2.64,10394.49
2020-01-27,CHTR,499.14,504.08,Bearish,0.48,10444.01
2020-01-30,COG,14.22,14.31,Bearish,0.63,10510.3
2020-01-31,INCY,72.55,73.07,Bearish,1.37,10653.84
2020-02-03,FFIV,121.19,121.77,Bearish,0.04,10658.16
2020-02-05,LNT,58.5,58.56,Bearish,0.26,10685.41
2020-02-07,RJF,93.64,94.05,Bearish,-0.72,10608.89
2020-02-10,PCAR,74.79,75.31,Bearish,0.11,10620.09
2020-02-13,MTD,767.64,769.48,Bearish,0.88,10713.88
2020-02-14,PCAR,74.7,74.74,Bearish,0.36,10752.67
2020-02-18,GE,12.71,12.75,Bearish,0.71,10828.87
2020-02-20,WMT,117.21,117.69,Bearish,-0.97,10723.75
2020-02-24,CNP,25.07,25.22,Bearish,2.93,11038.28
2020-02-26,ALB,85.19,85.65,Bearish,2.78,11345.09
2020-02-27,BKNG,1612.98,1659.85,Bearish,-3.16,10986.02
2020-02-28,ANTM,249.94,257.09,Bearish,-4.5,10492.16
2020-03-04,RJF,79.68,79.79,Bearish,3.2,10828.03
2020-03-06,PKI,82.39,83.51,Bearish,1.99,11043.22
2020-03-16,CERN,59.92,60.53,Bearish,-2.28,10791.5
2020-03-18,VIAC,12.05,12.21,Bearish,-3.87,10374.05
2020-03-20,TMO,277.46,278.37,Bearish,6.22,11019.57
2020-03-23,PM,58.96,59.98,Bearish,-4.35,10540.46
2020-04-02,UNM,12.89,12.96,Bearish,-3.94,10125.35
2020-04-08,MCK,131.35,131.56,Bearish,-0.88,10036.48
2020-04-13,URI,103.37,103.76,Bearish,-1.53,9882.65
2020-04-20,TMUS,89.58,89.94,Bearish,2.27,10107.43
2020-04-23,IRM,24.4,24.43,Bearish,4.04,10515.52
2020-04-29,UPS,96.1,96.11,Bearish,0.98,10618.91
2020-04-30,MAA,110.66,111.92,Bearish,-0.2,10597.56
2020-05-01,JBHT,99.59,100.87,Bearish,0.14,10612.32
2020-05-04,MU,44.19,44.46,Bearish,0.09,10621.66
2020-05-11,ADP,144.09,144.61,Bearish,2.15,10850.45
2020-05-13,CTVA,23.15,23.27,Bearish,-2.42,10588.36
2020-05-14,UAL,19.72,20.3,Bearish,-1.27,10453.78
2020-05-19,LH,166.02,167.01,Bearish,0.03,10456.85
2020-05-27,EW,72.11,72.12,Bearish,-1.35,10316.12
2020-05-29,MAS,45.6,46.65,Bearish,0.09,10324.95
2020-06-04,ALXN,113.19,113.68,Bearish,-1.26,10195.18
2020-06-05,INCY,93.17,93.51,Bearish,-2.95,9894.44
2020-06-08,DGX,116.6,116.8,Bearish,0.23,9917.27
2020-06-09,XEC,31.7,31.78,Bearish,3.24,10238.52
2020-06-10,HII,196.79,197.01,Bearish,5.11,10761.38
2020-06-12,OKE,33.64,34.09,Bearish,-12.12,9456.77
2020-06-15,WU,21.69,22.11,Bearish,2.74,9716.09
2020-06-18,FANG,46.43,46.59,Bearish,1.99,9909.68
2020-06-22,WEC,87.83,87.85,Bearish,1.86,10093.94
2020-06-24,MKC,172.0,172.27,Bearish,-2.41,9850.76
2020-06-25,MAR,83.59,84.04,Bearish,3.12,10158.49
2020-07-07,ED,72.21,72.5,Bearish,0.33,10192.04
2020-07-08,DVN,10.31,10.36,Bearish,5.04,10705.59
2020-07-14,STZ,179.0,179.18,Bearish,-0.87,10612.17
2020-07-16,GS,213.51,214.67,Bearish,1.62,10784.51
2020-07-20,MTB,98.64,98.79,Bearish,-4.23,10328.12
2020-07-24,GOOGL,1499.19,1508.21,Bearish,-1.07,10217.76
2020-07-28,SCHW,33.6,33.66,Bearish,-1.1,10105.61
2020-07-30,BIIB,273.02,274.86,Bearish,-0.46,10059.41
2020-08-06,PEP,135.27,135.86,Bearish,-0.59,10000.21
2020-08-12,ETR,101.63,101.65,Bearish,-0.53,9946.85
2020-08-13,LVS,48.49,48.62,Bearish,-0.58,9888.93
2020-08-14,KIM,11.93,11.98,Bearish,-0.08,9880.69
2020-08-18,WBA,40.65,40.76,Bearish,1.28,10006.71
2020-08-19,JCI,40.22,40.23,Bearish,-0.38,9969.15
2020-08-20,PAYX,73.81,74.04,Bearish,0.07,9975.89
2020-08-26,IP,36.09,36.17,Bearish,-1.1,9865.66
2020-08-27,HII,153.25,153.44,Bearish,0.83,9947.79
2020-09-01,IPG,17.67,17.74,Bearish,-1.01,9847.03
2020-09-03,APA,14.33,14.39,Bearish,-0.55,9792.77
2020-09-08,HAS,77.48,78.09,Bearish,0.17,9808.99
2020-09-11,SRE,117.76,117.8,Bearish,-0.54,9756.02
2020-09-17,GRMN,97.92,98.2,Bearish,2.12,9963.19
2020-09-21,ROL,52.26,52.34,Bearish,-1.11,9852.74
2020-09-24,XRX,17.72,17.79,Bearish,-1.87,9668.53
2020-09-25,LKQ,26.9,27.08,Bearish,-1.87,9487.29
2020-10-02,LIN,229.27,232.15,Bearish,-0.28,9460.58
2020-10-12,XEC,24.72,24.77,Bearish,3.71,9811.52
2020-10-13,NKE,128.05,129.2,Bearish,1.44,9953.17
2020-10-14,SIVB,267.78,267.78,Bearish,-3.1,9644.63
2020-10-15,ARE,161.0,161.93,Bearish,-0.03,9641.65
2020-10-21,NOC,308.04,308.37,Bearish,2.03,9837.13
2020-10-26,HRB,18.18,18.38,Bearish,1.54,9988.14
2020-10-28,LEN,71.07,72.33,Bearish,1.63,10151.43
2020-10-29,CL,76.54,76.67,Bearish,1.31,10284.77
2020-10-30,CMS,63.19,63.33,Bearish,-0.66,10217.2
2020-11-04,TSN,56.38,56.54,Bearish,-1.26,10088.12
