Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-21,WMT,114.59,115.59,Bullish,0.76,10076.38
2020-01-23,WY,30.36,30.82,Bullish,-0.94,9981.56
2020-01-27,WMT,113.19,115.86,Bullish,0.53,10034.92
2020-01-30,IPG,22.85,23.2,Bullish,-2.16,9818.65
2020-02-03,AMD,46.4,48.02,Bullish,0.49,9866.54
2020-02-05,DUK,96.42,97.14,Bullish,-0.08,9858.4
2020-02-07,RE,279.51,282.58,Bullish,1.35,9991.21
2020-02-10,INCY,73.66,75.11,Bullish,1.14,10105.35
2020-02-12,VTR,58.06,58.68,Bullish,-0.2,10084.68
2020-02-13,WFC,47.62,48.12,Bullish,0.17,10101.44
2020-02-18,IR,36.47,37.55,Bullish,-0.11,10090.72
2020-02-20,DE,164.76,165.83,Bullish,-0.27,10063.49
2020-02-27,DGX,109.02,110.97,Bullish,-2.95,9766.97
2020-02-28,COP,45.42,48.42,Bullish,-0.18,9749.14
2020-03-06,DAL,43.47,45.89,Bullish,1.12,9857.87
2020-03-23,CDW,78.38,85.6,Bullish,3.98,10250.05
2020-04-02,LIN,160.15,164.09,Bullish,-0.69,10179.72
2020-04-23,GL,72.89,74.86,Bullish,0.5,10230.83
2020-04-27,OKE,27.16,28.52,Bullish,4.23,10663.96
2020-04-30,AON,168.23,172.67,Bullish,3.91,11080.54
2020-05-01,NEM,58.65,60.99,Bullish,1.03,11194.74
2020-05-04,IT,113.91,116.3,Bullish,-1.7,11004.98
2020-05-11,ALL,99.87,101.84,Bullish,-4.43,10517.64
2020-05-13,PYPL,140.2,143.73,Bullish,1.65,10690.88
2020-05-14,HIG,31.57,33.3,Bullish,0.76,10771.87
2020-05-22,VRSN,210.0,213.72,Bullish,-4.17,10322.71
2020-05-27,VRTX,264.38,278.51,Bullish,0.4,10364.18
2020-05-29,WMB,19.82,20.43,Bullish,0.29,10394.7
2020-06-02,JBHT,115.29,117.78,Bullish,-3.07,10075.81
2020-06-05,NFLX,407.29,419.6,Bullish,0.84,10160.34
2020-06-09,LRCX,295.65,302.33,Bullish,-0.04,10156.63
2020-06-15,DISCK,19.06,20.21,Bullish,-3.7,9780.64
2020-06-18,HES,49.87,51.65,Bullish,-4.31,9358.73
2020-06-22,WLTW,188.15,193.67,Bullish,-0.74,9289.77
2020-06-25,NTAP,40.57,41.83,Bullish,1.29,9409.56
2020-07-08,ALGN,274.35,278.39,Bullish,-1.65,9254.57
2020-07-10,BA,171.7,178.44,Bullish,-2.52,9020.89
2020-07-14,MRO,5.09,5.37,Bullish,1.97,9198.73
2020-07-16,FE,40.8,41.29,Bullish,1.59,9345.09
2020-07-20,BAC,23.19,23.58,Bullish,2.99,9624.93
2020-07-21,DTE,108.54,111.11,Bullish,3.32,9944.69
2020-07-22,PSA,185.45,188.31,Bullish,-1.0,9845.72
2020-07-24,BBY,95.82,96.99,Bullish,1.08,9952.44
2020-07-27,HPE,9.57,9.75,Bullish,-2.37,9716.69
2020-07-28,SRE,122.19,124.65,Bullish,0.54,9769.05
2020-07-30,INCY,97.32,100.51,Bullish,-1.62,9610.43
2020-08-04,IFF,123.47,125.89,Bullish,-0.43,9568.8
2020-08-06,ETR,100.27,102.29,Bullish,2.59,9816.39
2020-08-07,AVY,113.72,115.82,Bullish,-0.15,9801.21
2020-08-12,ALXN,100.79,102.78,Bullish,-0.63,9739.08
2020-08-13,AON,191.13,194.67,Bullish,1.27,9863.12
2020-08-14,FITB,20.63,20.96,Bullish,-0.38,9825.18
2020-08-20,GWW,349.54,354.25,Bullish,-0.18,9807.66
2020-08-26,MCD,212.09,213.76,Bullish,-1.0,9709.28
2020-08-27,CMA,39.08,40.09,Bullish,-1.08,9604.14
2020-09-01,VTR,40.75,41.87,Bullish,5.55,10137.06
2020-09-08,HLT,90.12,91.9,Bullish,-1.43,9992.24
2020-09-11,NTRS,78.38,79.85,Bullish,-0.07,9984.8
2020-09-17,NSC,217.73,222.94,Bullish,-0.66,9919.28
2020-09-21,AWK,137.94,139.72,Bullish,-0.05,9914.33
2020-09-22,CDW,108.33,110.17,Bullish,-1.62,9753.57
2020-09-24,K,61.0,62.65,Bullish,0.75,9826.79
2020-09-30,MCK,146.23,148.93,Bullish,-1.67,9663.06
2020-10-02,CF,29.49,30.57,Bullish,2.54,9908.17
2020-10-05,BMY,58.55,59.2,Bullish,-2.7,9641.02
2020-10-07,CVX,72.17,73.78,Bullish,1.12,9748.59
2020-10-12,HRB,17.4,17.68,Bullish,-0.51,9698.88
2020-10-15,ORLY,462.34,469.5,Bullish,-0.36,9663.49
2020-10-21,RL,73.24,75.01,Bullish,2.23,9878.72
2020-10-28,AIZ,118.58,122.21,Bullish,3.05,10180.39
2020-10-29,NWSA,12.92,13.09,Bullish,0.46,10227.13
2020-10-30,WBA,33.37,34.04,Bullish,3.65,10600.32
