Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-16,AIZ,131.44,131.57,Bullish,1.5,10150.24
2020-01-17,UPS,118.74,118.6,Bullish,-0.69,10079.83
2020-01-21,ROL,35.84,35.89,Bullish,0.11,10091.02
2020-01-22,FOXA,39.15,39.09,Bullish,-3.3,9757.86
2020-01-23,COTY,10.71,10.71,Bullish,-1.77,9585.07
2020-01-24,VRSK,165.4,165.3,Bullish,0.39,9622.64
2020-01-27,MNST,66.56,66.6,Bullish,0.41,9661.64
2020-01-28,DG,156.42,156.66,Bullish,-0.8,9584.72
2020-01-29,CME,213.78,213.58,Bullish,2.64,9837.42
2020-01-30,UA,18.6,18.55,Bullish,-2.87,9555.44
2020-01-31,NOV,20.64,20.61,Bullish,1.16,9666.6
2020-02-03,SIVB,244.0,244.69,Bullish,1.43,9805.18
2020-02-04,COTY,10.65,10.64,Bullish,4.1,10207.44
2020-02-05,KMX,97.97,97.97,Bullish,-1.22,10082.67
2020-02-06,INFO,80.82,80.85,Bullish,-0.57,10025.32
2020-02-07,EQIX,605.14,606.0,Bullish,0.47,10072.06
2020-02-10,CMCSA,44.64,44.66,Bullish,-0.07,10065.32
2020-02-11,SRE,158.53,158.56,Bullish,0.62,10127.79
2020-02-12,APH,103.65,103.55,Bullish,1.59,10288.47
2020-02-13,NBL,19.58,19.6,Bullish,-2.69,10011.53
2020-02-14,GRMN,98.14,98.18,Bullish,-1.34,9877.28
2020-02-18,STE,168.11,167.93,Bullish,0.04,9880.81
2020-02-19,AIG,49.4,49.41,Bullish,0.79,9958.8
2020-02-20,FTV,64.23,64.26,Bullish,-0.6,9898.73
2020-02-21,WAB,78.47,78.5,Bullish,-1.93,9707.95
2020-02-24,SJM,109.92,109.82,Bullish,-1.84,9529.3
2020-02-25,QRVO,96.93,96.6,Bullish,-0.72,9460.41
2020-02-26,MSFT,169.71,170.17,Bullish,-3.15,9162.67
2020-02-27,GWW,279.8,279.79,Bullish,2.42,9384.83
2020-02-28,ULTA,257.52,257.09,Bullish,1.81,9554.7
2020-03-02,CXO,69.02,69.06,Bullish,-2.3,9335.1
2020-03-03,MAS,43.19,43.17,Bullish,3.1,9624.76
2020-03-04,DVN,16.15,16.26,Bullish,2.05,9821.81
2020-03-05,WM,117.96,117.71,Bullish,2.36,10053.55
2020-03-06,WRK,30.19,30.08,Bullish,-3.73,9678.91
2020-03-09,XYL,75.68,75.94,Bullish,4.7,10134.22
2020-03-10,HST,12.62,12.62,Bullish,-5.71,9555.12
2020-03-11,DVN,8.42,8.41,Bullish,-6.31,8951.77
2020-03-12,CCI,143.19,142.51,Bullish,3.65,9278.42
2020-03-13,HES,35.2,34.92,Bullish,0.16,9293.38
2020-03-16,MET,26.87,26.8,Bullish,2.6,9534.86
2020-03-17,EMR,47.66,47.42,Bullish,-6.48,8917.12
2020-03-18,AWK,129.61,130.08,Bullish,-10.76,7957.66
2020-03-19,RE,186.95,187.24,Bullish,2.99,8195.55
2020-03-20,CAG,26.31,26.05,Bullish,-2.68,7975.72
2020-03-23,LDOS,71.43,70.83,Bullish,4.11,8303.81
2020-03-24,MNST,53.53,53.73,Bullish,-0.09,8296.08
2020-03-25,FITB,14.72,14.82,Bullish,15.08,9547.38
2020-03-26,SPG,62.69,62.1,Bullish,-3.72,9191.85
2020-03-27,FRT,75.71,76.05,Bullish,-1.78,9028.14
2020-03-30,EXR,96.7,96.75,Bullish,0.08,9035.69
2020-03-31,GD,132.5,132.31,Bullish,0.54,9084.89
2020-04-01,MSFT,153.0,152.11,Bullish,2.24,9288.29
2020-04-02,RCL,25.5,24.82,Bullish,-5.13,8811.41
2020-04-03,CCL,8.29,8.49,Bullish,10.02,9694.45
2020-04-06,COTY,5.06,5.0,Bullish,1.09,9800.21
2020-04-07,NEM,50.07,49.96,Bullish,1.49,9945.87
2020-04-08,NTRS,83.55,83.38,Bullish,0.01,9947.04
2020-04-09,DISCK,20.13,20.14,Bullish,-0.95,9852.73
2020-04-13,UPS,98.58,98.42,Bullish,0.84,9935.03
2020-04-14,TWTR,28.0,27.94,Bullish,1.51,10085.34
2020-04-15,LKQ,20.41,20.39,Bullish,-2.51,9832.59
2020-04-16,ADSK,171.46,171.0,Bullish,2.76,10103.98
2020-04-17,TSCO,93.12,92.72,Bullish,2.2,10326.13
2020-04-20,INTC,59.28,59.18,Bullish,-3.01,10015.15
2020-04-21,COP,32.95,33.19,Bullish,-0.63,9952.56
2020-04-22,CI,182.94,182.59,Bullish,0.7,10022.17
