Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-02-03,COTY,10.29,10.56,Bullish,-0.09,9990.61
2020-02-11,FB,210.19,207.19,Bearish,-1.4,9850.74
2020-02-14,ICE,94.5,96.86,Bullish,0.37,9886.71
2020-02-19,SPG,138.87,137.01,Bearish,-2.56,9633.44
2020-04-13,NFLX,371.31,396.72,Bullish,4.04,10022.42
2020-06-02,GLW,22.94,23.88,Bullish,3.37,10360.2
2020-07-20,DG,189.62,192.77,Bullish,-0.35,10323.62
2020-07-22,GRMN,99.82,101.35,Bullish,-1.19,10200.44
2020-07-27,TIF,121.59,125.0,Bullish,-0.56,10143.61
2020-07-28,MAA,110.4,112.99,Bullish,0.12,10156.09
2020-08-18,RL,70.7,68.5,Bearish,0.4,10196.52
2020-09-03,TSCO,147.62,145.58,Bearish,2.42,10443.03
2020-09-29,PSX,53.76,52.19,Bearish,1.2,10568.42
2020-10-08,FRT,78.23,79.72,Bullish,-2.39,10315.72
2020-10-26,PKG,118.23,115.78,Bearish,1.37,10456.78
