Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-17,CINF,105.85,107.31,Bullish,-0.88,9912.37
2020-01-21,M,17.58,16.99,Bearish,0.12,9923.92
2020-01-22,ALLE,127.61,129.45,Bullish,0.68,9991.66
2020-01-23,ED,91.2,92.77,Bullish,1.13,10105.0
2020-01-24,C,79.62,78.42,Bearish,-0.59,10045.38
2020-01-31,AKAM,94.49,93.35,Bearish,0.35,10080.64
2020-02-03,PRGO,57.45,58.51,Bullish,0.57,10138.59
2020-02-04,EXPE,109.03,110.66,Bullish,-0.61,10076.92
2020-02-05,EMR,74.6,76.01,Bullish,-1.8,9895.44
2020-02-07,CDW,134.41,132.66,Bearish,-0.96,9800.0
2020-02-10,NVDA,252.5,262.97,Bullish,0.21,9820.9
2020-02-11,DUK,96.37,96.99,Bullish,0.97,9916.09
2020-02-12,TWTR,36.19,36.79,Bullish,2.0,10114.79
2020-02-13,CPRI,30.55,29.7,Bearish,3.73,10492.44
2020-02-14,APTV,90.41,88.32,Bearish,0.05,10497.2
2020-02-18,HRB,22.38,22.98,Bullish,0.43,10542.84
2020-02-19,SPG,138.87,137.01,Bearish,-2.56,10272.77
2020-02-20,PSX,88.51,90.19,Bullish,-0.3,10241.79
2020-02-21,NTAP,53.25,52.0,Bearish,0.79,10322.91
2020-02-25,STT,74.02,70.85,Bearish,1.31,10457.99
2020-03-02,GILD,70.32,75.4,Bullish,-0.08,10449.55
2020-03-04,LLY,133.03,140.38,Bullish,1.28,10583.2
2020-03-05,WELL,78.53,76.17,Bearish,0.23,10607.47
2020-03-11,MKTX,356.17,333.65,Bearish,1.24,10738.62
2020-03-17,HSY,128.44,139.1,Bullish,-12.18,9430.92
2020-03-18,AZO,867.0,808.5,Bearish,-3.48,9102.74
2020-03-19,ACN,151.36,158.5,Bullish,-4.82,8664.16
2020-03-20,MAA,99.82,87.5,Bearish,2.96,8920.36
2020-03-23,KIM,10.52,9.41,Bearish,-4.38,8529.82
2020-03-24,EIX,46.33,50.38,Bullish,7.58,9175.99
2020-03-25,SYY,39.54,45.65,Bullish,13.28,10394.66
2020-03-26,SBUX,66.71,69.9,Bullish,-0.51,10341.66
2020-03-27,ALK,31.73,29.87,Bearish,2.75,10625.67
2020-03-30,VRSK,138.81,146.87,Bullish,-3.82,10219.47
2020-04-01,NCLH,10.5,9.55,Bearish,8.3,11067.38
2020-04-02,PFE,31.9,32.87,Bullish,3.1,11409.95
2020-04-06,AMD,44.3,47.52,Bullish,-2.86,11083.68
2020-04-08,OXY,14.2,15.56,Bullish,-8.02,10194.33
2020-04-09,CTXS,146.23,139.4,Bearish,-0.84,10108.41
2020-04-13,MKTX,400.0,385.79,Bearish,0.01,10109.17
2020-04-14,TJX,48.58,50.22,Bullish,1.03,10212.8
2020-04-15,REGN,525.3,511.69,Bearish,-4.05,9799.31
2020-04-16,NBL,6.74,6.25,Bearish,-9.79,8839.5
2020-04-17,VAR,110.5,115.75,Bullish,-2.4,8627.74
2020-04-20,RSG,79.85,78.29,Bearish,0.16,8641.24
