Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-17,DE,175.71,176.2,Bearish,1.45,10145.06
2020-01-21,TSCO,93.56,93.64,Bearish,1.01,10247.79
2020-01-22,YUM,106.01,106.49,Bearish,-0.16,10231.32
2020-01-28,MCK,151.11,152.12,Bearish,1.96,10431.49
2020-01-29,AFL,52.56,52.38,Bearish,-2.12,10210.57
2020-01-30,EQIX,602.7,603.0,Bearish,2.37,10452.96
2020-01-31,CLX,156.65,157.31,Bearish,1.15,10572.97
2020-02-03,LVS,66.11,66.56,Bearish,-1.18,10448.4
2020-02-04,CL,75.28,75.4,Bearish,-0.64,10381.75
2020-02-05,TMUS,81.96,81.79,Bearish,-0.78,10300.85
2020-02-06,NEE,66.69,67.08,Bearish,-0.01,10299.7
2020-02-07,ETR,131.8,131.94,Bearish,-0.57,10241.24
2020-02-10,HSY,156.41,156.99,Bearish,-0.5,10189.66
2020-02-11,NBL,20.07,19.9,Bearish,1.32,10323.81
2020-02-12,DAL,59.29,59.47,Bearish,-0.65,10257.03
2020-02-13,LIN,222.3,221.26,Bearish,-0.45,10210.75
2020-02-14,WU,26.16,26.24,Bearish,2.31,10446.68
2020-02-18,DUK,101.65,102.02,Bearish,0.78,10528.44
2020-02-19,OMC,78.77,78.62,Bearish,-0.37,10489.54
2020-02-20,NOV,23.47,23.62,Bearish,0.39,10530.06
2020-02-25,REGN,437.25,442.35,Bearish,-3.13,10200.42
2020-03-03,MTD,725.04,731.05,Bearish,-3.12,9882.09
2020-03-04,VTR,52.89,53.75,Bearish,1.91,10071.12
2020-03-17,DVA,73.3,75.13,Bearish,-6.56,9410.84
2020-03-20,OKE,22.74,20.67,Bearish,3.02,9694.89
2020-03-24,ORLY,272.27,277.13,Bearish,-6.94,9021.64
2020-03-25,SPG,55.72,62.34,Bearish,0.94,9106.55
2020-03-26,AVY,98.72,101.99,Bearish,-1.99,8925.07
2020-03-30,TGT,96.18,96.01,Bearish,2.42,9141.45
2020-03-31,DVN,6.68,6.91,Bearish,-3.35,8835.34
2020-04-02,FLS,23.22,24.1,Bearish,1.82,8995.99
2020-04-03,CCL,8.29,8.49,Bearish,-10.02,8094.45
2020-04-06,EIX,51.6,53.17,Bearish,1.78,8238.65
2020-04-07,DD,37.55,37.26,Bearish,-2.94,7996.4
2020-04-08,RL,75.3,76.16,Bearish,-2.85,7768.31
2020-04-09,SYY,49.04,49.59,Bearish,5.24,8175.11
2020-04-13,KR,31.2,31.33,Bearish,-0.12,8164.91
2020-04-14,HUM,356.27,352.21,Bearish,-1.3,8058.69
2020-04-16,DG,178.17,180.13,Bearish,-1.03,7975.54
2020-04-17,SWK,111.31,112.54,Bearish,-1.46,7859.08
2020-04-20,AMZN,2389.95,2393.61,Bearish,3.66,8146.86
2020-04-21,FLIR,41.6,40.65,Bearish,4.83,8539.99
2020-04-22,CNC,67.95,68.35,Bearish,-0.3,8514.01
2020-04-23,MGM,13.72,13.78,Bearish,-0.36,8483.37
2020-04-24,UA,8.84,8.97,Bearish,-3.54,8182.74
2020-04-27,ED,82.86,82.67,Bearish,0.93,8258.83
2020-04-28,AIZ,110.63,109.58,Bearish,2.03,8426.22
2020-04-29,DOW,37.0,37.47,Bearish,1.56,8557.35
2020-05-05,LOW,108.93,110.15,Bearish,0.61,8609.33
2020-05-06,MKC,160.64,160.22,Bearish,0.25,8630.69
2020-05-07,FRC,100.88,101.88,Bearish,-0.16,8616.54
2020-05-08,SPG,58.64,58.02,Bearish,4.37,8993.52
2020-05-11,INTC,59.74,60.13,Bearish,3.04,9266.82
2020-05-12,HUM,383.0,383.71,Bearish,2.36,9485.46
2020-05-13,K,63.57,64.17,Bearish,1.18,9597.38
2020-05-15,UNH,292.41,290.96,Bearish,1.72,9762.01
2020-05-18,TWTR,29.7,29.64,Bearish,-0.61,9702.85
2020-05-19,CMG,1000.0,1009.08,Bearish,-0.78,9627.28
2020-05-20,AME,85.14,84.83,Bearish,-0.01,9626.14
2020-05-21,DAL,22.77,23.16,Bearish,2.37,9853.95
2020-05-26,BBY,79.76,79.47,Bearish,2.78,10127.74
2020-05-27,MCHP,95.37,96.75,Bearish,1.15,10244.19
2020-05-28,ROL,40.01,40.08,Bearish,-4.5,9783.2
2020-06-01,TSCO,122.05,122.66,Bearish,-2.04,9583.97
2020-06-02,HST,12.43,12.28,Bearish,-0.88,9499.63
2020-06-03,L,35.36,35.48,Bearish,-3.37,9179.48
2020-06-05,PWR,41.99,42.39,Bearish,-1.26,9063.58
2020-06-08,NTAP,48.61,49.01,Bearish,3.83,9410.6
2020-06-10,PEP,133.28,134.13,Bearish,4.75,9857.93
2020-06-16,CERN,68.71,69.44,Bearish,0.36,9893.2
2020-06-17,CRM,180.97,181.4,Bearish,-3.16,9580.49
2020-06-18,RMD,173.12,173.74,Bearish,2.1,9781.95
2020-06-19,HUM,385.05,380.76,Bearish,-0.32,9750.69
2020-06-23,MPC,39.05,38.8,Bearish,4.25,10165.55
2020-06-26,CLX,216.5,215.3,Bearish,-0.73,10091.2
2020-06-29,CVS,64.0,64.42,Bearish,-0.4,10050.65
2020-06-30,STX,47.99,48.41,Bearish,2.21,10272.98
2020-07-01,LYV,44.86,46.02,Bearish,3.28,10610.3
2020-07-02,ROST,88.74,88.58,Bearish,-0.42,10565.38
2020-07-06,PFG,42.02,42.26,Bearish,1.49,10722.74
2020-07-07,TTWO,146.05,147.27,Bearish,0.62,10789.06
2020-07-10,XEL,63.35,63.77,Bearish,-1.58,10618.27
2020-07-13,INFO,76.11,75.81,Bearish,-1.94,10412.74
2020-07-14,PPL,25.32,25.54,Bearish,0.89,10505.14
2020-07-15,TDG,430.09,434.21,Bearish,-0.4,10463.58
2020-07-16,AZO,1150.07,1149.32,Bearish,-0.04,10459.51
2020-07-17,DVA,85.38,85.11,Bearish,-0.88,10366.96
2020-07-20,A,94.91,95.21,Bearish,-0.47,10318.15
2020-07-21,UPS,119.0,119.04,Bearish,0.03,10320.76
2020-07-22,ORLY,447.82,450.77,Bearish,0.71,10393.98
2020-07-23,SIVB,222.7,224.89,Bearish,-2.93,10088.93
2020-07-27,SPGI,350.13,351.32,Bearish,2.52,10342.73
2020-07-28,CMI,195.49,195.02,Bearish,-0.44,10296.76
2020-07-29,NEE,70.06,70.36,Bearish,-0.79,10215.9
2020-08-03,CPRT,93.45,93.29,Bearish,-3.82,9826.01
2020-08-04,WELL,52.88,53.29,Bearish,1.39,9962.74
2020-08-05,PKG,96.29,95.86,Bearish,0.99,10061.37
2020-08-07,KMB,156.5,157.26,Bearish,-0.3,10030.73
2020-08-10,LEN,73.42,74.5,Bearish,2.14,10245.54
2020-08-11,IVZ,11.08,10.94,Bearish,0.96,10343.54
2020-08-12,SYK,190.61,190.18,Bearish,-1.08,10231.85
2020-08-13,INTU,305.25,306.71,Bearish,0.65,10298.71
2020-08-14,AZO,1190.07,1196.05,Bearish,-0.73,10223.64
2020-08-17,GPS,15.24,15.39,Bearish,-1.08,10113.12
2020-08-18,SWK,159.81,159.92,Bearish,0.71,10185.12
2020-08-19,NWSA,15.22,15.22,Bearish,-0.66,10117.4
2020-08-21,FDX,209.16,210.49,Bearish,-2.08,9906.47
2020-08-24,JNPR,23.7,23.84,Bearish,-0.25,9881.47
2020-08-25,DE,206.0,205.6,Bearish,-2.14,9670.06
2020-08-26,KEYS,97.59,98.07,Bearish,3.32,9990.8
2020-08-27,EXR,106.38,106.53,Bearish,-0.19,9972.04
2020-08-31,QCOM,118.33,119.1,Bearish,-0.77,9895.45
