Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-16,DG,157.53,158.27,Bullish,-0.4,9959.65
2020-01-17,MRO,13.36,13.21,Bearish,2.21,10179.46
2020-01-21,ALB,80.79,81.32,Bullish,0.25,10204.54
2020-01-22,FMC,98.29,97.6,Bearish,-0.19,10185.54
2020-01-23,HII,275.33,277.1,Bullish,-0.46,10138.23
2020-01-24,JNJ,148.58,148.32,Bearish,-0.83,10053.7
2020-01-27,NLOK,27.72,27.43,Bearish,-0.73,9980.53
2020-01-28,FRC,112.73,113.61,Bullish,-1.16,9864.34
2020-01-29,BDX,283.05,282.2,Bearish,-0.41,9823.83
2020-01-30,BDX,280.0,281.15,Bullish,-1.56,9670.61
2020-01-31,CF,40.26,40.28,Bullish,-1.29,9545.73
2020-02-03,AKAM,94.01,93.68,Bearish,-0.44,9503.44
2020-02-04,HSIC,70.38,69.75,Bearish,-0.79,9428.01
2020-02-05,PEP,143.68,144.3,Bullish,-0.21,9407.8
2020-02-06,VTR,58.66,58.86,Bullish,-0.29,9380.74
2020-02-07,TSCO,95.91,96.55,Bullish,1.41,9513.4
2020-02-10,IDXX,277.94,279.15,Bullish,1.09,9616.91
2020-02-11,BMY,67.35,66.99,Bearish,0.13,9629.81
2020-02-12,PH,214.49,213.91,Bearish,-0.36,9594.88
2020-02-13,HBI,14.59,14.39,Bearish,-0.0,9594.88
2020-02-14,UPS,104.99,105.95,Bullish,0.44,9637.44
2020-02-18,FE,52.39,52.27,Bearish,0.21,9657.72
2020-02-19,ADP,180.5,181.25,Bullish,0.06,9663.07
2020-02-20,PEG,58.83,59.18,Bullish,1.63,9820.3
2020-02-21,IDXX,280.64,278.11,Bearish,1.7,9987.03
2020-02-24,FLS,44.22,43.57,Bearish,5.09,10495.69
2020-02-27,KHC,25.38,24.97,Bearish,-0.9,10401.64
2020-03-04,XEC,31.91,30.58,Bearish,1.84,10592.88
2020-03-05,CSCO,40.17,39.57,Bearish,-4.42,10124.57
2020-03-06,CDW,108.96,111.58,Bullish,-3.86,9734.05
2020-03-09,ROST,96.99,94.81,Bearish,-4.83,9264.18
2020-03-11,EOG,39.45,38.86,Bearish,7.64,9972.36
2020-03-12,MRO,3.78,3.98,Bullish,3.9,10361.19
2020-03-16,MOS,9.43,9.95,Bullish,-4.26,9920.07
2020-03-17,RCL,31.22,27.66,Bearish,14.18,11326.87
2020-03-18,CXO,33.97,36.0,Bullish,11.81,12664.07
2020-03-19,KHC,23.16,22.28,Bearish,0.76,12759.97
2020-03-20,COF,48.0,45.01,Bearish,1.2,12912.89
2020-03-23,WLTW,152.18,147.56,Bearish,-10.69,11532.82
2020-03-24,BIIB,278.89,276.19,Bearish,-3.73,11102.54
2020-03-25,NOW,272.35,264.67,Bearish,-9.28,10071.7
2020-03-26,FOXA,24.2,24.97,Bullish,-6.83,9383.85
2020-03-27,VAR,104.86,100.97,Bearish,-1.33,9259.17
2020-03-30,LYV,44.98,45.23,Bullish,2.32,9473.83
2020-03-31,WHR,86.93,85.8,Bearish,-0.75,9402.77
2020-04-01,HBI,7.5,7.39,Bearish,1.23,9518.07
2020-04-02,DIS,94.2,96.97,Bullish,-2.52,9277.91
2020-04-03,SWK,94.69,95.27,Bullish,4.35,9681.74
2020-04-06,TTWO,120.65,121.29,Bullish,-2.73,9417.4
2020-04-07,CVS,57.9,56.87,Bearish,-3.63,9075.72
2020-04-08,EXPE,58.75,60.55,Bullish,-2.53,8846.14
2020-04-09,CSCO,42.09,41.2,Bearish,-0.44,8807.34
2020-04-13,NCLH,12.05,11.36,Bearish,1.12,8906.06
2020-04-14,CMG,772.25,785.33,Bullish,1.63,9051.57
2020-04-15,PXD,72.53,74.92,Bullish,-3.75,8712.2
2020-04-16,WU,19.38,19.18,Bearish,-1.68,8565.51
2020-04-17,CMG,810.75,820.27,Bullish,0.19,8581.75
2020-04-20,JKHY,166.96,166.67,Bearish,5.02,9012.79
2020-04-21,ALB,58.5,57.86,Bearish,-0.83,8937.89
2020-04-22,BWA,26.11,25.65,Bearish,-3.41,8632.67
2020-04-23,UAL,26.0,25.72,Bearish,1.39,8752.57
2020-04-24,XOM,44.4,43.73,Bearish,-0.8,8682.29
2020-04-27,CBOE,98.06,97.14,Bearish,0.26,8705.15
2020-04-28,MHK,86.52,87.51,Bullish,2.39,8913.08
2020-04-29,PLD,91.55,90.16,Bearish,-0.59,8860.83
2020-04-30,ORLY,387.19,386.34,Bearish,0.8,8931.37
2020-05-01,ZBH,117.6,116.25,Bearish,1.16,9035.07
2020-05-04,WLTW,181.01,183.54,Bullish,3.17,9321.8
2020-05-05,WM,99.93,99.02,Bearish,3.68,9664.99
2020-05-06,HP,17.04,15.96,Bearish,0.97,9758.77
2020-05-07,FTV,49.1,48.48,Bearish,-1.23,9638.76
2020-05-08,M,5.26,5.37,Bullish,-2.41,9406.72
2020-05-11,IP,33.71,33.07,Bearish,3.22,9709.98
2020-05-12,UAL,23.95,22.76,Bearish,8.0,10486.43
2020-05-13,EVRG,55.84,56.52,Bullish,1.54,10647.99
2020-05-14,SBAC,278.86,282.93,Bullish,0.64,10716.27
2020-05-15,IBM,115.93,116.98,Bullish,1.4,10866.44
2020-05-18,LOW,118.0,116.73,Bearish,-0.75,10784.95
2020-05-19,CERN,68.5,67.78,Bearish,0.34,10821.41
2020-05-20,ZBH,125.3,126.6,Bullish,-2.73,10526.33
2020-05-21,SLG,38.16,37.42,Bearish,2.05,10741.9
2020-05-22,NDAQ,114.08,115.34,Bullish,-1.81,10547.78
2020-05-26,ALLE,96.96,97.64,Bullish,-0.57,10487.41
2020-05-27,EXR,93.39,94.38,Bullish,2.68,10768.76
2020-05-28,SLB,19.14,18.79,Bearish,0.43,10815.2
2020-05-29,GPN,177.74,179.49,Bullish,1.11,10934.98
2020-06-01,SYK,195.12,197.25,Bullish,0.58,10998.17
2020-06-02,LH,178.19,179.82,Bullish,-1.81,10798.7
2020-06-03,IDXX,315.44,318.03,Bullish,-2.54,10524.79
2020-06-04,TMUS,101.54,100.17,Bearish,0.17,10542.45
2020-06-05,APD,249.83,248.58,Bearish,-1.07,10429.31
2020-06-08,BWA,37.81,37.52,Bearish,-0.47,10380.71
2020-06-09,TIF,124.05,124.56,Bullish,-0.47,10332.06
2020-06-10,RE,225.28,221.69,Bearish,0.72,10406.92
2020-06-11,FTV,53.64,52.59,Bearish,2.35,10651.21
2020-06-12,TIF,120.23,119.12,Bearish,-1.56,10484.57
2020-06-15,JWN,16.66,17.27,Bullish,1.35,10626.25
2020-06-16,ROL,42.78,42.37,Bearish,0.16,10643.78
2020-06-17,HBAN,10.37,10.12,Bearish,-1.8,10451.81
2020-06-18,EL,194.37,196.15,Bullish,-4.8,9949.87
2020-06-19,MYL,16.62,16.16,Bearish,-2.36,9714.74
2020-06-22,BAC,24.89,24.62,Bearish,0.88,9800.2
2020-06-23,XEC,30.5,29.65,Bearish,7.55,10540.02
