Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-16,JPM,137.45,137.25,Bearish,-0.48,9952.01
2020-01-17,M,17.57,17.57,Bullish,-3.36,9618.02
2020-01-21,HBAN,14.62,14.61,Bearish,-1.03,9519.06
2020-01-22,WAT,244.61,244.09,Bearish,0.43,9560.2
2020-01-23,MDT,120.74,120.97,Bullish,-1.35,9431.3
2020-01-24,HP,42.38,42.23,Bearish,1.99,9618.87
2020-01-27,STZ,190.0,190.9,Bullish,0.68,9684.19
2020-01-28,TAP,56.03,56.09,Bullish,-0.04,9680.75
2020-01-29,WM,121.3,121.47,Bullish,1.41,9817.5
2020-01-30,BBY,87.05,87.1,Bullish,-2.31,9591.0
2020-01-31,ATO,116.97,117.03,Bullish,1.08,9694.76
2020-02-03,FRT,125.35,125.07,Bearish,-1.51,9548.62
2020-02-04,DG,155.91,155.99,Bullish,0.42,9588.86
2020-02-05,VNO,66.36,66.48,Bullish,-0.22,9567.34
2020-02-06,GE,12.94,12.95,Bullish,-1.46,9427.72
2020-02-07,KIM,19.67,19.62,Bearish,0.66,9489.53
2020-02-10,VMC,147.06,147.12,Bullish,-1.92,9306.88
2020-02-11,A,85.03,85.09,Bullish,0.04,9310.15
2020-02-12,DTE,133.81,133.75,Bearish,0.09,9318.5
2020-02-13,WYNN,134.27,133.62,Bearish,0.91,9403.06
2020-02-14,VRSN,210.0,209.57,Bearish,-0.52,9354.56
2020-02-18,ABBV,93.67,93.61,Bearish,-0.39,9317.65
2020-02-19,DISCA,30.3,30.48,Bullish,0.54,9367.64
2020-02-20,GOOGL,1519.01,1516.99,Bearish,1.4,9499.14
2020-02-21,DFS,75.29,75.32,Bullish,0.4,9536.95
2020-02-24,GOOGL,1423.05,1419.86,Bearish,3.12,9834.72
2020-02-25,HRL,44.7,44.72,Bullish,-2.23,9615.88
2020-02-26,LRCX,296.24,296.6,Bullish,0.02,9617.9
2020-02-27,CNP,24.11,24.16,Bullish,-3.03,9326.2
2020-02-28,ARE,152.39,151.88,Bearish,-1.76,9162.11
2020-03-02,PKI,86.56,86.79,Bullish,-0.89,9081.01
2020-03-03,AKAM,90.53,90.28,Bearish,-3.2,8790.69
2020-03-04,UAL,59.51,59.47,Bearish,9.67,9640.36
2020-03-05,TGT,105.64,105.97,Bullish,1.72,9806.03
2020-03-06,DOW,38.72,38.97,Bullish,-12.14,8615.2
2020-03-09,PNR,35.91,35.69,Bearish,-2.28,8418.44
2020-03-10,ALXN,88.89,88.84,Bearish,3.06,8675.64
2020-03-11,DVA,75.9,74.87,Bearish,2.58,8899.77
2020-03-12,HBAN,8.39,8.38,Bearish,-3.26,8609.56
2020-03-13,HOLX,40.97,40.58,Bearish,6.3,9152.35
2020-03-16,RCL,29.9,29.94,Bullish,-11.4,8108.71
2020-03-17,MYL,15.48,15.57,Bullish,-2.34,7918.84
2020-03-18,IT,84.12,83.38,Bearish,-11.99,6969.53
2020-03-19,NEE,52.5,51.78,Bearish,6.8,7443.77
2020-03-20,CCI,129.31,128.06,Bearish,7.74,8020.25
2020-03-23,DG,139.88,139.87,Bearish,2.31,8205.33
2020-03-24,MXIM,47.7,48.04,Bullish,1.59,8335.65
2020-03-25,BA,154.9,158.73,Bullish,4.79,8735.28
2020-03-26,SPG,62.69,62.1,Bearish,3.72,9060.58
2020-03-27,DHI,37.4,36.88,Bearish,-0.24,9038.39
2020-03-30,LMT,351.49,348.85,Bearish,1.7,9192.0
2020-03-31,L,34.84,34.83,Bearish,0.61,9247.99
2020-04-01,MAS,33.07,33.2,Bullish,0.55,9298.7
2020-04-02,CE,68.15,68.6,Bullish,-1.81,9129.98
2020-04-03,FTNT,100.81,101.44,Bullish,3.44,9444.26
2020-04-06,RMD,157.99,158.3,Bullish,-3.52,9112.22
2020-04-07,LNC,29.69,29.42,Bearish,-8.68,8321.44
2020-04-08,CPB,46.5,46.16,Bearish,-4.55,7942.44
2020-04-09,MTD,730.2,727.42,Bearish,3.86,8249.08
2020-04-13,ROL,35.73,35.87,Bullish,2.85,8483.86
2020-04-14,VAR,112.39,112.7,Bullish,-1.09,8391.12
2020-04-15,LH,141.0,141.48,Bullish,-2.75,8160.21
2020-04-16,DUK,88.0,87.59,Bearish,-0.87,8088.95
2020-04-17,BKNG,1469.0,1470.87,Bullish,-3.45,7810.0
2020-04-20,RCL,35.51,35.99,Bullish,-0.2,7794.15
2020-04-21,URI,97.16,97.67,Bullish,-1.14,7705.32
2020-04-22,IFF,124.55,124.28,Bearish,1.92,7853.2
2020-04-23,HP,19.2,19.34,Bullish,-8.07,7219.42
2020-04-24,JNJ,155.57,154.86,Bearish,0.34,7243.67
2020-04-27,MSI,153.78,154.44,Bullish,-6.64,6762.84
2020-04-28,UNM,17.12,17.04,Bearish,-0.5,6728.93
2020-04-29,DGX,113.19,113.55,Bullish,-1.16,6651.01
2020-04-30,NKE,87.0,87.18,Bullish,-0.15,6640.92
2020-05-01,FBHS,52.1,51.5,Bearish,-1.45,6544.69
2020-05-04,WMT,123.84,123.7,Bearish,-0.75,6495.53
2020-05-05,PSX,75.5,75.2,Bearish,5.16,6830.5
2020-05-06,KLAC,163.41,163.81,Bullish,-2.11,6686.43
2020-05-07,CMCSA,35.58,35.58,Bullish,0.77,6738.08
2020-05-08,GS,185.03,185.39,Bullish,0.34,6760.97
2020-05-11,GPC,75.73,75.99,Bullish,-2.47,6593.83
2020-05-12,CMS,55.42,55.55,Bullish,-1.07,6523.38
2020-05-13,A,80.38,80.16,Bearish,-2.96,6330.04
2020-05-14,CVS,62.31,62.31,Bullish,2.3,6475.56
2020-05-15,NLSN,12.7,12.71,Bullish,4.15,6744.36
2020-05-18,CMG,997.45,998.58,Bullish,0.91,6805.59
2020-05-19,OKE,35.0,35.11,Bullish,1.02,6875.27
2020-05-20,D,79.15,78.75,Bearish,-0.18,6863.0
2020-05-21,AIZ,100.71,101.08,Bullish,0.51,6897.7
2020-05-22,PKG,92.81,92.99,Bullish,3.54,7141.67
2020-05-26,HP,19.1,19.45,Bullish,-2.39,6971.12
2020-05-27,ZBRA,257.29,258.67,Bullish,-0.32,6948.98
2020-05-28,ZTS,137.81,138.11,Bullish,0.69,6996.67
2020-05-29,XRAY,46.61,46.52,Bearish,-1.86,6866.54
2020-06-01,DOW,38.61,38.61,Bullish,3.57,7111.77
2020-06-02,PSA,207.31,207.74,Bullish,-0.34,7087.92
2020-06-03,LOW,132.5,132.84,Bullish,-2.03,6943.84
2020-06-04,RMD,160.7,160.81,Bullish,-0.6,6902.21
2020-06-05,CMI,179.47,180.01,Bullish,2.79,7095.12
2020-06-08,RSG,89.54,89.81,Bullish,-1.06,7019.98
2020-06-09,ITW,177.84,178.03,Bullish,-1.96,6882.33
2020-06-10,LRCX,301.41,301.3,Bearish,3.37,7114.5
2020-06-11,AAL,14.61,14.38,Bearish,0.48,7148.33
2020-06-12,CERN,67.57,66.96,Bearish,-3.02,6932.47
2020-06-15,EVRG,58.76,59.35,Bullish,-1.17,6851.36
2020-06-16,MU,51.16,51.02,Bearish,0.66,6896.77
2020-06-17,BAX,85.33,85.1,Bearish,0.78,6950.63
2020-06-18,PBCT,11.91,11.97,Bullish,-1.72,6830.79
2020-06-19,AMZN,2678.08,2675.01,Bearish,-1.09,6756.19
2020-06-22,ABC,101.79,101.73,Bearish,0.75,6807.05
2020-06-23,MMM,157.96,157.84,Bearish,2.6,6984.32
2020-06-24,MKC,172.0,172.27,Bullish,2.41,7152.58
2020-06-25,CF,27.58,27.54,Bearish,-0.55,7113.28
2020-06-26,EFX,167.41,167.53,Bullish,-0.07,7108.61
2020-06-29,CFG,23.5,23.53,Bullish,7.96,7674.14
2020-06-30,DIS,111.5,111.51,Bullish,0.17,7687.07
2020-07-01,TSCO,132.16,132.68,Bullish,-1.38,7581.17
2020-07-02,EW,69.55,69.19,Bearish,0.67,7632.08
2020-07-06,BKR,15.73,15.51,Bearish,0.72,7686.84
2020-07-07,AMCR,10.62,10.62,Bullish,-0.85,7621.2
2020-07-08,VTR,35.43,35.39,Bearish,2.55,7815.9
2020-07-09,STE,150.78,150.44,Bearish,0.01,7816.94
2020-07-10,LH,173.4,172.68,Bearish,-0.15,7805.52
2020-07-13,WEC,88.03,87.72,Bearish,-0.2,7789.54
2020-07-14,WYNN,79.24,79.3,Bullish,5.77,8238.81
2020-07-15,FBHS,67.99,68.38,Bullish,1.28,8343.91
2020-07-16,SRE,122.8,122.63,Bearish,-1.51,8217.69
2020-07-17,CLX,229.12,228.38,Bearish,0.11,8227.06
2020-07-20,SYY,53.52,53.03,Bearish,-2.05,8058.28
2020-07-21,ZBH,132.45,132.53,Bullish,0.65,8110.69
2020-07-22,AMT,258.08,259.04,Bullish,-0.48,8071.88
2020-07-23,EMN,76.32,76.48,Bullish,0.05,8076.1
2020-07-24,MA,306.48,306.92,Bullish,0.59,8123.44
2020-07-27,ADP,145.25,145.72,Bullish,0.55,8168.0
2020-07-28,RL,71.36,71.4,Bullish,2.18,8345.86
2020-07-29,AMD,75.5,76.09,Bullish,3.75,8659.23
2020-07-30,BA,162.88,161.95,Bearish,2.2,8849.52
2020-07-31,ISRG,687.85,685.44,Bearish,-0.47,8808.35
2020-08-03,LMT,376.84,377.1,Bullish,-0.29,8783.02
2020-08-04,ALL,96.58,96.24,Bearish,3.49,9089.83
2020-08-05,FDX,171.85,171.7,Bearish,-0.14,9077.15
2020-08-06,PSX,61.1,60.97,Bearish,-3.75,8737.13
2020-08-07,ANSS,313.85,312.37,Bearish,0.91,8816.76
2020-08-10,SPG,65.22,65.47,Bullish,-1.48,8686.11
2020-08-11,APH,108.71,108.81,Bullish,0.49,8728.24
2020-08-12,BLK,592.14,590.24,Bearish,-0.48,8685.99
2020-08-13,AMGN,241.31,240.46,Bearish,-0.21,8667.84
2020-08-14,AVGO,328.02,327.82,Bearish,-0.25,8646.53
2020-08-17,GRMN,104.64,104.48,Bearish,0.48,8687.82
2020-08-18,CDNS,109.57,109.15,Bearish,0.64,8743.49
2020-08-19,BMY,63.07,63.09,Bullish,-0.89,8665.5
2020-08-20,CMCSA,43.23,43.27,Bullish,0.07,8671.54
2020-08-21,URI,174.85,175.06,Bullish,-0.23,8651.5
2020-08-24,EW,79.0,78.71,Bearish,-1.02,8563.39
2020-08-25,WU,23.98,23.9,Bearish,0.33,8591.96
2020-08-26,PPL,27.73,27.68,Bearish,0.5,8635.25
2020-08-27,QCOM,116.43,116.02,Bearish,-1.28,8525.0
2020-08-28,SYF,25.75,25.78,Bullish,-3.73,8207.42
