Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-21,ESS,309.99,311.5,Bearish,0.97,10097.16
2020-01-22,SYK,215.84,217.07,Bearish,0.35,10132.53
2020-01-24,FE,50.32,50.47,Bearish,0.32,10164.68
2020-01-27,PNW,97.28,97.67,Bearish,0.83,10248.81
2020-01-31,AEE,81.81,82.05,Bearish,-0.49,10198.96
2020-02-11,ALLE,136.83,137.89,Bearish,-0.57,10141.22
2020-02-12,KLAC,174.0,175.97,Bearish,-1.73,9965.74
2020-02-13,CCI,163.06,163.92,Bearish,-0.91,9874.85
2020-02-14,LNT,59.47,59.74,Bearish,-0.37,9838.61
2020-02-18,BXP,147.5,147.51,Bearish,1.96,10031.0
2020-02-19,CTAS,303.8,304.26,Bearish,1.59,10190.5
2020-02-21,FFIV,132.16,133.36,Bearish,-0.57,10132.28
2020-03-02,HBI,13.21,13.36,Bearish,5.58,10697.76
2020-03-03,J,96.9,97.6,Bearish,-3.1,10365.64
2020-03-27,PSA,184.8,191.52,Bearish,-2.95,10060.27
2020-04-03,INCY,77.59,78.59,Bearish,-5.66,9490.75
2020-04-06,GIS,56.4,57.7,Bearish,2.52,9730.06
2020-04-14,WMT,127.1,129.0,Bearish,0.19,9748.17
2020-05-05,LOW,108.93,110.15,Bearish,0.61,9807.39
2020-05-15,NWS,10.92,11.01,Bearish,1.83,9986.63
2020-05-18,TROW,117.0,117.22,Bearish,2.04,10190.53
2020-05-29,CLX,205.49,206.25,Bearish,0.97,10289.37
2020-06-01,CCI,171.74,173.77,Bearish,0.21,10311.13
2020-06-02,A,90.0,90.29,Bearish,0.18,10329.33
2020-06-03,MMC,108.82,109.23,Bearish,-0.03,10326.48
2020-06-05,ROK,225.0,227.39,Bearish,1.07,10436.54
2020-06-09,GOOG,1445.36,1456.16,Bearish,-0.43,10391.42
2020-07-15,GWW,331.2,333.62,Bearish,0.07,10398.27
2020-07-16,CHTR,552.82,558.03,Bearish,-0.39,10357.42
2020-07-21,INFO,79.65,79.75,Bearish,-0.91,10263.59
2020-07-23,WAB,61.23,61.75,Bearish,-0.32,10230.3
2020-07-24,CINF,83.01,83.23,Bearish,1.43,10377.06
2020-07-28,PLD,101.6,102.54,Bearish,-3.48,10015.99
2020-07-30,DLR,156.42,158.73,Bearish,0.98,10114.22
2020-07-31,DGX,126.84,127.07,Bearish,-1.79,9933.68
2020-08-03,INFO,81.14,81.55,Bearish,-0.26,9908.17
2020-08-04,EXPD,86.0,86.84,Bearish,-2.94,9617.07
2020-08-06,TXN,132.59,133.74,Bearish,0.13,9630.01
2020-08-07,ALGN,301.1,305.81,Bearish,0.81,9707.91
2020-08-10,MKC,201.49,201.82,Bearish,2.09,9911.2
2020-08-11,GPC,95.07,95.27,Bearish,-0.95,9817.21
2020-08-17,FLT,241.47,245.44,Bearish,0.64,9880.45
2020-08-24,TXN,140.86,141.02,Bearish,-0.06,9874.86
2020-08-25,VNO,36.97,37.12,Bearish,3.48,10218.68
2020-08-31,TMO,425.49,428.98,Bearish,-0.37,10181.32
2020-09-02,CMCSA,45.05,45.17,Bearish,2.57,10442.5
2020-09-03,VTR,44.0,44.25,Bearish,-0.59,10381.21
2020-09-16,WRK,36.14,36.35,Bearish,-5.35,9826.27
2020-09-18,AFL,37.49,37.8,Bearish,1.81,10003.82
2020-09-28,NEE,70.86,71.04,Bearish,0.34,10038.33
2020-09-30,AON,205.96,206.3,Bearish,0.26,10064.55
2020-10-05,JWN,13.0,13.32,Bearish,4.44,10511.86
2020-10-06,EQIX,787.42,790.83,Bearish,-1.57,10346.51
2020-10-09,EMN,86.07,86.16,Bearish,0.93,10443.21
2020-10-14,NI,23.13,23.3,Bearish,-1.21,10316.68
2020-10-16,CE,120.01,120.1,Bearish,2.1,10532.94
2020-10-23,UA,12.59,12.74,Bearish,3.55,10906.74
2020-11-02,CFG,27.61,28.03,Bearish,-1.12,10785.09
2020-11-03,RCL,56.9,57.57,Bearish,0.4,10828.45
