Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-14,AMD,48.64,48.21,Bullish,0.66,10066.35
2020-01-17,DIS,145.54,144.33,Bullish,-0.47,10018.89
2020-01-21,DFS,84.0,83.68,Bullish,1.08,10126.88
2020-01-23,ULTA,273.73,272.2,Bullish,0.26,10153.66
2020-01-24,EQIX,597.37,591.96,Bullish,0.68,10223.2
2020-01-29,SNPS,153.0,150.44,Bullish,0.78,10302.43
2020-02-03,CLX,157.65,155.84,Bullish,3.05,10616.48
2020-02-07,MO,46.66,46.22,Bullish,0.11,10627.98
2020-02-13,UA,15.45,15.13,Bullish,1.98,10838.43
2020-02-20,HLT,112.32,112.0,Bullish,-1.41,10685.33
2020-03-05,ULTA,260.96,257.14,Bullish,1.65,10861.86
2020-03-11,LNC,33.59,31.87,Bullish,-18.66,8835.42
2020-03-16,SPGI,222.61,222.16,Bullish,-0.42,8798.32
2020-03-18,RSG,78.4,75.89,Bullish,-1.73,8646.42
2020-03-23,PEAK,20.58,19.95,Bullish,3.02,8907.41
2020-03-27,ALK,31.73,29.87,Bullish,-2.75,8662.79
2020-03-31,LRCX,252.25,240.0,Bullish,-2.45,8450.14
2020-04-01,HES,32.19,31.98,Bullish,4.65,8843.47
2020-04-03,AMCR,8.02,7.84,Bullish,0.61,8897.59
2020-04-07,BIIB,314.94,301.21,Bullish,3.83,9238.63
2020-04-09,AKAM,97.04,95.39,Bullish,0.2,9257.1
2020-04-13,HAS,75.1,74.22,Bullish,-0.98,9166.25
2020-04-15,HD,198.67,198.48,Bullish,0.37,9199.86
2020-04-20,KLAC,158.79,156.3,Bullish,-3.16,8909.06
2020-04-23,RSG,77.85,76.5,Bullish,-0.92,8826.71
2020-04-24,TDG,313.46,304.92,Bullish,3.11,9101.37
2020-04-28,VAR,111.92,108.86,Bullish,3.16,9388.63
2020-04-29,COTY,5.95,5.46,Bullish,0.0,9388.63
2020-04-30,KMI,15.61,15.23,Bullish,-1.95,9205.28
2020-05-06,DGX,108.85,107.41,Bullish,-0.97,9116.13
2020-05-08,ABMD,188.14,187.07,Bullish,4.01,9482.04
2020-05-11,JCI,29.43,28.56,Bullish,-2.68,9227.46
2020-05-21,ALXN,103.47,101.14,Bullish,0.29,9253.9
2020-05-22,CTAS,241.57,240.65,Bullish,1.45,9388.0
2020-05-28,PHM,36.91,34.41,Bullish,-0.41,9349.47
2020-06-02,NEM,60.9,58.47,Bullish,-1.53,9206.49
2020-06-04,ED,75.23,74.83,Bullish,0.04,9210.16
2020-06-09,WHR,137.83,137.01,Bullish,-1.72,9052.15
2020-06-18,VRSN,209.28,207.23,Bullish,-1.81,8888.04
2020-06-24,CTSH,54.76,53.8,Bullish,2.89,9144.66
2020-06-30,LHX,173.74,169.67,Bullish,-0.55,9093.99
2020-07-01,FFIV,139.76,137.31,Bullish,-0.08,9086.77
2020-07-07,LB,15.37,15.15,Bullish,3.84,9436.03
2020-07-09,NVR,3330.0,3244.48,Bullish,0.64,9496.13
2020-07-10,ROL,45.79,44.9,Bullish,-1.11,9390.53
2020-07-13,PHM,35.15,33.89,Bullish,5.07,9866.46
2020-07-15,PSA,195.63,192.8,Bullish,-2.08,9660.81
2020-07-20,SRE,124.01,122.62,Bullish,1.6,9815.15
2020-07-22,MGM,16.4,16.33,Bullish,-1.3,9687.13
2020-07-28,FTV,59.94,59.44,Bullish,0.35,9721.47
2020-07-30,MOS,13.6,13.5,Bullish,0.07,9728.69
2020-08-06,TMO,419.01,415.73,Bullish,0.08,9736.45
2020-08-11,FCX,14.44,13.96,Bullish,-1.62,9578.74
2020-08-13,EXC,38.17,37.94,Bullish,0.48,9624.42
2020-08-28,SRE,123.14,122.32,Bullish,0.92,9713.18
2020-08-31,WHR,178.92,177.72,Bullish,0.52,9763.57
2020-09-10,GRMN,102.1,99.4,Bullish,-0.34,9730.5
2020-09-11,CCL,18.24,17.69,Bullish,-0.5,9681.69
2020-09-15,LVS,53.25,51.85,Bullish,-3.63,9330.41
2020-09-16,FAST,44.97,44.26,Bullish,1.44,9465.14
2020-09-17,KMB,146.77,146.62,Bullish,-0.05,9460.6
2020-09-23,J,92.31,89.27,Bullish,1.0,9555.07
2020-10-01,FITB,21.15,21.03,Bullish,6.68,10193.0
2020-10-06,PYPL,196.13,191.66,Bullish,0.36,10229.8
2020-10-12,FCX,17.16,16.81,Bullish,1.08,10340.46
2020-10-21,CAT,169.81,167.4,Bullish,1.0,10443.88
2020-10-22,MSI,170.88,169.06,Bullish,0.92,10540.37
2020-10-26,WHR,195.5,194.06,Bullish,0.76,10620.64
2020-10-28,RMD,181.81,180.66,Bullish,-0.27,10591.73
2020-10-30,MSFT,203.5,202.47,Bullish,-0.96,10490.11
2020-11-04,NLSN,14.08,14.03,Bullish,-0.56,10431.05
