Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-16,BAX,90.0,89.99,Bullish,-0.12,9987.76
2020-01-17,IQV,161.45,161.51,Bullish,-0.15,9972.88
2020-01-22,J,94.72,94.85,Bullish,1.72,10143.95
2020-01-23,LRCX,312.0,312.42,Bullish,-2.96,9843.7
2020-01-24,PKI,99.89,99.78,Bullish,0.27,9870.71
2020-01-28,ALXN,106.92,106.97,Bullish,-0.18,9853.2
2020-01-29,ATVI,60.49,60.4,Bullish,1.62,10012.71
2020-01-30,IFF,133.03,132.97,Bullish,-1.1,9902.44
2020-01-31,VMC,141.59,141.63,Bullish,1.52,10052.65
2020-02-03,SO,70.67,70.7,Bullish,-1.29,9922.81
2020-02-04,YUM,106.77,106.71,Bullish,-0.6,9863.69
2020-02-05,AXP,133.43,133.6,Bullish,-0.68,9796.78
2020-02-06,MNST,69.42,69.45,Bullish,-0.58,9740.24
2020-02-07,CHTR,526.11,525.21,Bullish,0.87,9825.28
2020-02-10,CNC,63.15,63.0,Bullish,0.9,9913.98
2020-02-11,CAH,59.25,59.41,Bullish,0.22,9935.46
2020-02-12,GOOGL,1515.86,1518.63,Bullish,0.22,9957.76
2020-02-13,DRI,122.12,122.27,Bullish,-0.63,9895.16
2020-02-14,A,85.72,85.82,Bullish,-1.02,9794.66
2020-02-18,BLK,565.0,564.81,Bullish,0.72,9865.19
2020-02-19,KHC,27.36,27.31,Bullish,0.55,9919.46
2020-02-20,NKE,102.46,102.53,Bullish,-1.72,9749.27
2020-02-21,ABMD,167.39,166.74,Bullish,0.86,9833.15
2020-02-28,LDOS,103.04,102.65,Bullish,5.54,10378.18
2020-03-02,COP,49.32,49.23,Bullish,-2.85,10082.74
2020-03-04,MPC,46.1,45.88,Bullish,-3.49,9730.9
2020-03-05,ANTM,287.65,287.16,Bullish,1.44,9871.18
2020-03-06,MYL,15.45,15.4,Bullish,0.84,9954.24
2020-03-10,CNP,18.63,18.71,Bullish,-2.54,9701.54
2020-03-11,AAL,16.31,16.26,Bullish,-4.27,9287.24
2020-03-13,LMT,327.33,328.59,Bullish,-2.4,9064.67
2020-03-17,FTI,6.2,6.17,Bullish,-12.11,7967.37
2020-03-18,OMC,55.79,56.03,Bullish,-0.74,7908.24
2020-03-20,TFC,30.31,30.04,Bullish,-8.25,7255.81
2020-03-23,UAL,25.97,26.25,Bullish,3.16,7484.9
2020-03-24,CHD,62.28,62.75,Bullish,-2.66,7285.54
2020-03-26,ROK,157.98,159.29,Bullish,0.92,7352.53
2020-03-27,M,5.61,5.53,Bullish,-1.1,7271.29
2020-03-30,WAT,186.93,188.14,Bullish,-2.89,7061.07
2020-03-31,HIG,35.3,35.24,Bullish,-1.85,6930.57
2020-04-01,HES,32.19,31.98,Bullish,4.65,7253.17
2020-04-02,LB,10.05,10.15,Bullish,11.83,8111.53
2020-04-03,LYV,33.7,33.57,Bullish,-6.25,7604.7
2020-04-06,FANG,32.2,32.1,Bullish,-1.9,7460.06
2020-04-08,GILD,74.73,74.99,Bullish,-1.16,7373.79
2020-04-09,NFLX,371.06,370.72,Bullish,6.84,7878.41
2020-04-13,GPC,71.41,71.29,Bullish,2.15,8047.67
2020-04-14,MCD,183.75,183.99,Bullish,-0.5,8007.15
2020-04-15,MXIM,52.3,52.11,Bullish,-0.61,7958.64
2020-04-16,ALB,58.26,58.57,Bullish,1.47,8075.56
2020-04-17,ORCL,54.52,54.62,Bullish,-0.26,8054.64
2020-04-20,PGR,81.68,81.94,Bullish,1.51,8176.41
2020-04-22,TFX,332.94,334.03,Bullish,-0.47,8138.2
2020-04-24,JCI,27.97,27.91,Bullish,3.16,8395.41
2020-04-27,MNST,60.6,60.52,Bullish,-1.84,8240.58
2020-04-28,CBOE,98.76,98.5,Bullish,0.24,8260.54
2020-04-29,HSY,134.57,134.41,Bullish,-1.61,8127.36
2020-04-30,CBOE,99.31,99.38,Bullish,-5.03,7718.49
2020-05-01,FE,40.88,40.84,Bullish,0.88,7786.54
2020-05-04,DUK,82.73,82.63,Bullish,0.37,7815.68
2020-05-05,LVS,46.63,46.39,Bullish,-1.13,7727.49
2020-05-07,FB,211.16,211.26,Bullish,0.05,7731.5
2020-05-08,GL,77.45,77.75,Bullish,-1.78,7594.0
2020-05-11,KLAC,169.19,168.78,Bullish,-2.73,7386.55
2020-05-13,AEP,77.49,77.73,Bullish,1.05,7463.96
2020-05-14,CVS,62.31,62.31,Bullish,2.3,7635.54
2020-05-15,WLTW,201.03,200.48,Bullish,-0.5,7597.69
2020-05-20,LW,56.07,56.27,Bullish,-0.52,7558.43
2020-05-21,INCY,98.49,98.68,Bullish,1.74,7689.99
2020-05-22,LKQ,25.45,25.34,Bullish,1.96,7840.77
2020-05-26,HST,12.22,12.17,Bullish,-0.4,7809.59
2020-05-27,DRI,81.45,81.56,Bullish,-3.52,7534.73
2020-05-28,SRE,127.33,127.39,Bullish,-0.13,7525.2
2020-05-29,CMG,1001.0,1003.91,Bullish,3.46,7785.77
2020-06-01,NVDA,353.33,352.25,Bullish,0.33,7811.44
2020-06-02,ADBE,389.92,390.44,Bullish,-0.23,7793.45
2020-06-03,ADBE,390.82,389.92,Bullish,-0.95,7719.42
2020-06-04,AIV,40.04,40.0,Bullish,0.76,7778.39
2020-06-05,AZO,1155.22,1153.93,Bullish,0.29,7801.24
2020-06-08,JBHT,122.13,122.01,Bullish,-0.1,7793.43
2020-06-09,CBOE,103.01,103.05,Bullish,-2.14,7626.41
2020-06-10,HUM,393.86,392.51,Bullish,-3.7,7344.09
2020-06-12,UNM,17.07,17.08,Bullish,5.59,7754.34
2020-06-16,AMZN,2620.0,2615.27,Bullish,-0.25,7735.25
2020-06-17,AAL,16.76,16.98,Bullish,0.73,7791.95
2020-06-18,CI,190.36,189.98,Bullish,-1.38,7684.35
2020-06-19,L,34.63,34.73,Bullish,-0.87,7617.26
2020-06-22,CAH,53.69,53.82,Bullish,-1.49,7503.61
2020-06-23,M,7.1,7.15,Bullish,-2.45,7320.07
2020-06-24,HST,10.97,10.98,Bullish,0.74,7374.39
2020-06-25,TFX,356.07,354.96,Bullish,0.25,7392.88
2020-06-26,PWR,38.71,38.64,Bullish,0.18,7406.13
2020-06-29,ATO,98.11,98.38,Bullish,1.14,7490.38
2020-06-30,UA,8.84,8.84,Bullish,-1.59,7371.08
2020-07-06,IQV,143.3,143.64,Bullish,-0.43,7339.02
2020-07-07,EXC,36.92,37.0,Bullish,0.32,7362.81
2020-07-08,MU,49.56,49.71,Bullish,0.26,7382.01
2020-07-09,IRM,26.16,26.18,Bullish,2.02,7531.28
2020-07-10,MSFT,213.62,213.67,Bullish,-3.45,7271.09
2020-07-14,DXC,15.34,15.41,Bullish,4.32,7585.21
2020-07-15,XLNX,99.46,99.31,Bullish,0.87,7651.57
2020-07-16,BMY,59.23,59.32,Bullish,1.16,7740.0
2020-07-17,CMG,1136.66,1136.22,Bullish,1.19,7832.34
2020-07-20,LEN,69.12,68.85,Bullish,-0.97,7756.31
2020-07-21,CI,178.0,178.3,Bullish,-0.79,7694.99
2020-07-22,PSX,65.16,65.25,Bullish,0.56,7737.72
2020-07-24,BSX,38.53,38.6,Bullish,-0.67,7685.62
2020-07-27,HSIC,66.87,67.03,Bullish,-1.57,7565.08
2020-07-29,AMZN,3030.99,3033.53,Bullish,1.26,7660.16
2020-07-30,PH,180.5,180.52,Bullish,-0.88,7593.11
2020-07-31,CMI,193.49,193.26,Bullish,0.7,7645.96
2020-08-03,JNPR,25.35,25.3,Bullish,0.47,7682.08
2020-08-04,WFC,24.2,24.22,Bullish,0.0,7682.08
2020-08-05,MXIM,68.93,68.89,Bullish,1.05,7762.98
2020-08-06,ISRG,690.2,691.25,Bullish,-0.75,7704.9
2020-08-07,CAH,52.62,52.58,Bullish,0.91,7775.23
2020-08-10,BEN,22.41,22.38,Bullish,-0.18,7761.54
2020-08-12,TDG,499.65,498.49,Bullish,0.54,7803.46
2020-08-13,PVH,53.43,53.61,Bullish,4.41,8147.86
2020-08-14,EXPE,86.56,86.73,Bullish,0.38,8178.64
2020-08-17,KMI,14.43,14.44,Bullish,-0.35,8150.3
2020-08-18,EQR,55.46,55.37,Bullish,-2.06,7982.25
2020-08-20,NTAP,41.49,41.42,Bullish,-0.27,7961.02
2020-08-21,MRK,85.1,84.98,Bullish,0.26,7981.58
2020-08-24,AEE,81.1,81.25,Bullish,-2.38,7791.68
2020-08-25,TMUS,115.56,115.41,Bullish,0.94,7864.78
2020-08-26,WRK,30.65,30.54,Bullish,0.75,7923.88
2020-08-27,MRO,5.37,5.36,Bullish,0.56,7968.23
2020-08-28,CMCSA,44.53,44.56,Bullish,1.24,8067.25
2020-08-31,M,6.94,6.97,Bullish,1.89,8219.68
