Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-14,NOC,375.8,374.67,Bullish,1.49,10148.93
2020-01-15,AMAT,62.3,61.93,Bullish,0.99,10249.46
2020-01-16,GLW,29.8,30.01,Bearish,0.07,10256.27
2020-01-17,KLAC,180.87,178.73,Bullish,0.65,10323.25
2020-01-21,PXD,147.91,147.35,Bullish,-1.44,10174.11
2020-01-22,USB,54.55,54.94,Bearish,-0.16,10157.4
2020-01-23,T,38.96,38.63,Bullish,-0.26,10131.09
2020-01-28,HUM,348.1,352.85,Bearish,0.14,10145.76
2020-01-29,WMT,116.56,115.89,Bullish,0.84,10230.89
2020-01-30,MRK,86.95,86.5,Bullish,-1.09,10119.55
2020-01-31,ROP,386.6,381.66,Bullish,-1.29,9989.33
2020-02-03,DGX,111.19,111.83,Bearish,1.01,10090.64
2020-02-04,ATO,118.5,117.22,Bullish,1.51,10243.06
2020-02-05,PRGO,59.2,59.07,Bullish,-0.24,10218.83
2020-02-06,FTI,17.73,17.49,Bullish,-0.83,10134.47
2020-02-07,LUV,57.46,57.26,Bullish,0.38,10173.45
2020-02-10,TJX,61.45,61.65,Bearish,-0.32,10140.77
2020-02-11,BKNG,1894.48,1909.3,Bearish,-1.89,9948.86
2020-02-12,LDOS,112.12,111.0,Bullish,2.37,10184.79
2020-02-13,LVS,70.41,69.31,Bullish,-1.35,10047.52
2020-02-14,LEN,69.92,70.35,Bearish,0.48,10096.0
2020-02-18,WYNN,132.23,133.46,Bearish,-1.23,9971.41
2020-02-19,ITW,186.92,187.53,Bearish,-1.48,9823.34
2020-02-20,BLK,570.0,566.92,Bullish,-1.14,9711.58
2020-02-21,HOG,35.6,35.19,Bullish,-0.38,9674.73
2020-03-02,FLIR,42.94,43.65,Bearish,4.45,10105.22
2020-03-03,ADP,161.63,155.24,Bullish,3.77,10486.03
2020-03-04,AAP,131.22,132.9,Bearish,1.76,10670.28
2020-03-05,NVR,3988.16,3923.61,Bullish,0.55,10728.54
2020-03-06,COO,328.72,333.81,Bearish,3.79,11134.92
2020-03-10,OMC,62.02,64.18,Bearish,0.37,11175.93
2020-03-11,O,75.1,73.56,Bullish,-1.15,11047.1
2020-03-13,ADP,136.99,144.5,Bearish,4.37,11530.18
2020-03-16,ANSS,226.63,206.35,Bullish,10.57,12749.1
2020-03-17,PLD,66.47,70.69,Bearish,-3.56,12295.37
2020-03-18,CAG,29.04,27.26,Bullish,-3.8,11827.83
2020-03-19,SPG,46.31,55.74,Bearish,18.37,14000.05
2020-03-24,VFC,48.96,52.43,Bearish,-9.2,12712.23
2020-03-25,XLNX,75.91,75.02,Bullish,6.66,13558.36
2020-03-26,KEYS,82.1,84.21,Bearish,5.66,14326.31
2020-03-27,AMAT,47.7,45.05,Bullish,4.19,14925.87
2020-03-30,EMR,45.96,46.63,Bearish,-2.89,14493.98
2020-03-31,CMS,60.6,58.75,Bullish,-1.62,14258.52
2020-04-02,JCI,25.18,26.05,Bearish,1.96,14538.42
2020-04-03,SPG,44.21,46.72,Bearish,-6.84,13544.29
2020-04-07,CL,70.28,69.04,Bullish,0.83,13657.09
2020-04-13,DRE,35.04,33.9,Bullish,3.46,14129.26
2020-04-14,RCL,35.95,37.84,Bearish,-5.6,13338.47
2020-04-15,BIIB,329.45,326.94,Bullish,2.17,13628.08
2020-04-16,LIN,181.79,183.13,Bearish,-0.39,13575.11
2020-04-20,IFF,123.28,120.55,Bullish,4.13,14136.31
2020-04-22,ISRG,503.76,512.13,Bearish,0.37,14188.45
2020-04-23,WM,98.51,97.79,Bullish,0.41,14246.31
2020-04-29,EW,71.7,72.99,Bearish,0.14,14265.94
2020-04-30,BKNG,1514.53,1480.57,Bullish,0.42,14325.66
2020-05-04,BIIB,294.06,296.52,Bearish,-2.46,13973.71
2020-05-05,ALLE,95.57,96.74,Bearish,-0.45,13910.69
2020-05-06,SPGI,294.82,289.36,Bullish,0.35,13959.33
2020-05-07,VNO,36.42,37.69,Bearish,-3.63,13452.79
2020-05-11,HES,47.74,47.13,Bullish,-5.68,12688.1
2020-05-12,NWL,12.11,12.17,Bearish,2.58,13015.06
2020-05-14,LEG,25.07,27.03,Bearish,-1.33,12841.59
2020-05-19,AVB,157.24,154.65,Bullish,-0.42,12788.25
2020-05-20,NDAQ,112.99,114.71,Bearish,-0.11,12773.65
2020-05-21,XLNX,88.71,87.24,Bullish,-0.41,12720.76
2020-05-22,STE,156.62,157.48,Bearish,0.61,12798.05
2020-05-27,TWTR,33.63,33.07,Bullish,0.32,12838.68
2020-05-28,UNP,173.04,170.51,Bullish,-0.19,12813.78
2020-05-29,HP,20.37,20.13,Bullish,1.25,12973.8
2020-06-01,TFC,37.07,38.06,Bearish,2.46,13293.43
2020-06-02,MKC,176.34,175.42,Bullish,-0.58,13216.85
2020-06-04,SPGI,331.1,327.39,Bullish,0.27,13252.22
2020-06-05,EW,71.44,74.37,Bearish,-3.92,12733.23
2020-06-08,APH,106.76,104.08,Bullish,-0.81,12630.17
2020-06-09,JKHY,176.98,178.86,Bearish,-1.0,12503.54
2020-06-10,CPRT,89.25,89.4,Bearish,3.55,12946.89
2020-06-17,URI,157.84,155.56,Bullish,-0.64,12864.09
2020-06-22,DVA,79.48,78.95,Bullish,-0.76,12765.77
2020-06-23,RCL,52.62,54.36,Bearish,7.05,13666.01
2020-06-24,BMY,58.11,57.76,Bullish,0.29,13706.06
2020-06-25,LRCX,308.17,312.6,Bearish,3.16,14139.53
2020-06-26,ACN,216.78,212.47,Bullish,1.22,14312.45
2020-06-29,FOXA,25.87,26.9,Bearish,-0.07,14301.77
2020-06-30,ATVI,75.69,75.9,Bearish,-3.42,13812.72
2020-07-01,MXIM,60.44,59.69,Bullish,0.3,13854.01
2020-07-02,BMY,59.3,59.14,Bullish,0.99,13991.15
2020-07-07,MSFT,210.45,208.25,Bullish,1.31,14174.98
2020-07-08,IT,121.35,121.84,Bearish,2.16,14481.32
2020-07-10,CVS,61.4,62.65,Bearish,0.08,14492.87
2020-07-14,PBCT,11.25,11.16,Bullish,1.83,14757.52
2020-07-16,CE,91.43,90.59,Bullish,-1.6,14520.73
2020-07-17,ADBE,428.12,432.42,Bearish,-4.89,13811.18
2020-07-20,PNW,82.32,80.78,Bullish,0.09,13823.14
2020-07-21,CAT,134.77,135.87,Bearish,-1.28,13646.33
2020-07-22,BK,36.5,36.04,Bullish,1.64,13870.29
2020-07-23,KLAC,205.78,203.92,Bullish,-4.17,13292.56
2020-07-24,TWTR,38.28,37.54,Bullish,-1.94,13034.35
2020-07-27,EL,192.34,192.84,Bearish,-0.5,12969.74
2020-07-28,NVDA,414.97,408.62,Bullish,0.72,13063.04
2020-07-29,CNC,64.57,66.34,Bearish,-2.58,12726.09
2020-07-30,TSCO,144.01,143.42,Bullish,-1.35,12553.71
2020-07-31,AMP,152.42,153.63,Bearish,-0.82,12450.46
2020-08-03,ABBV,95.19,95.94,Bearish,1.7,12662.04
2020-08-04,BDX,283.03,282.86,Bullish,1.12,12803.43
2020-08-06,BK,36.11,35.99,Bullish,4.98,13440.75
2020-08-07,ANSS,313.85,312.37,Bullish,-0.91,13318.26
2020-08-11,MCO,272.76,274.53,Bearish,-0.62,13235.6
2020-08-12,ADSK,229.3,231.57,Bearish,-2.28,12933.81
2020-08-13,LOW,156.36,155.7,Bullish,-0.79,12831.55
2020-08-14,NTRS,82.69,83.42,Bearish,0.43,12887.24
2020-08-18,SJM,113.6,113.92,Bearish,0.06,12895.34
2020-08-19,TXT,37.29,37.71,Bearish,-0.75,12798.12
2020-08-21,COO,299.59,301.6,Bearish,0.5,12861.81
2020-08-24,AAP,156.98,157.14,Bearish,0.76,12959.95
2020-08-25,NVR,4295.11,4224.28,Bullish,0.48,13021.64
2020-08-26,XEC,28.07,27.86,Bullish,1.0,13151.86
2020-08-27,HRL,51.19,51.31,Bearish,0.84,13262.64
2020-08-28,DRE,38.83,38.68,Bullish,0.03,13266.08
2020-08-31,SWK,164.85,161.3,Bullish,3.09,13675.5
2020-09-01,NLOK,23.61,23.82,Bearish,-0.79,13566.87
2020-09-02,LW,61.37,62.77,Bearish,-0.03,13562.58
2020-09-03,LRCX,357.3,341.53,Bullish,-1.73,13327.34
2020-09-04,FCX,15.66,16.02,Bearish,-0.77,13224.82
2020-09-08,COO,320.67,318.2,Bullish,-0.28,13188.05
