Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-21,CHTR,501.28,503.59,Bearish,-0.98,9901.89
2020-01-23,SNA,166.67,168.44,Bearish,1.72,10072.51
2020-01-27,WBA,51.55,52.23,Bearish,-0.63,10009.14
2020-01-29,GLW,27.81,28.35,Bearish,0.97,10105.79
2020-01-30,PSX,95.23,96.41,Bearish,3.72,10481.7
2020-02-03,MRO,11.34,11.47,Bearish,-0.09,10472.78
2020-02-05,WEC,99.49,100.01,Bearish,0.04,10476.97
2020-02-07,TAP,57.1,57.78,Bearish,-0.45,10429.67
2020-02-10,WAB,77.18,77.56,Bearish,0.49,10480.48
2020-02-12,VMC,143.51,145.16,Bearish,0.25,10507.14
2020-02-13,MDT,115.0,116.83,Bearish,-0.41,10463.98
2020-02-14,AMCR,10.09,10.21,Bearish,0.29,10494.63
2020-02-18,STX,53.49,54.2,Bearish,0.68,10566.11
2020-02-20,HII,235.02,237.42,Bearish,0.12,10579.08
2020-02-21,ANTM,292.03,294.71,Bearish,2.11,10802.61
2020-02-27,AOS,38.82,40.12,Bearish,-0.46,10753.22
2020-02-28,FMC,89.3,93.1,Bearish,-3.54,10372.95
2020-03-06,WAT,194.36,200.0,Bearish,-0.44,10327.58
2020-03-16,NEM,34.38,40.73,Bearish,-12.81,9004.84
2020-03-19,DFS,26.42,28.33,Bearish,14.98,10354.05
2020-03-23,RMD,113.0,121.36,Bearish,-5.96,9736.67
2020-03-30,LVS,41.75,43.49,Bearish,2.23,9954.09
2020-04-01,ORCL,46.55,48.71,Bearish,-3.36,9619.39
2020-04-02,ANSS,209.5,216.2,Bearish,-1.37,9487.17
2020-04-03,WAB,42.44,44.06,Bearish,-5.64,8952.28
2020-04-08,MOS,11.49,11.8,Bearish,-5.79,8433.83
2020-04-13,ADI,97.52,99.67,Bearish,-1.2,8332.76
2020-04-21,AEE,71.79,74.02,Bearish,-1.97,8168.98
2020-04-23,TSN,59.0,60.9,Bearish,3.18,8429.12
2020-04-24,EQR,62.02,63.99,Bearish,-0.69,8370.63
2020-04-27,BKR,13.1,13.6,Bearish,-1.43,8251.05
2020-04-29,NFLX,399.53,411.89,Bearish,-2.33,8059.21
