Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-22,NVDA,249.76,250.11,Bullish,0.45,10045.29
2020-01-28,BXP,141.36,141.18,Bullish,0.7,10116.06
2020-02-10,APD,251.5,251.71,Bullish,-0.34,10081.32
2020-02-11,FITB,29.47,29.51,Bullish,-0.57,10023.83
2020-02-13,CAH,59.54,59.4,Bearish,-0.73,9951.0
2020-02-14,AOS,44.0,43.93,Bullish,0.41,9991.9
2020-02-18,XRAY,57.91,57.92,Bullish,0.58,10050.22
2020-03-10,WHR,117.05,117.37,Bullish,-2.67,9781.97
2020-03-11,NTRS,71.9,71.47,Bearish,3.18,10092.96
2020-03-25,IEX,119.84,119.36,Bearish,-4.42,9646.45
2020-03-27,TWTR,25.56,25.29,Bearish,-1.35,9516.56
2020-03-30,ROK,151.39,152.26,Bullish,0.45,9559.63
2020-03-31,KSU,128.06,127.18,Bearish,-2.48,9323.01
2020-04-01,HAL,6.61,6.6,Bearish,-10.43,8351.01
2020-04-02,XRAY,37.38,37.47,Bullish,-5.21,7915.59
2020-04-03,WU,17.69,17.72,Bearish,-4.91,7526.73
2020-04-06,NUE,37.4,37.51,Bullish,-5.11,7142.07
2020-04-07,REGN,502.81,501.51,Bearish,-2.02,6998.15
2020-04-13,LMT,370.95,369.94,Bearish,-0.46,6965.96
2020-04-14,UNH,269.0,270.5,Bullish,1.94,7100.82
2020-04-15,ROP,314.41,314.09,Bearish,1.51,7207.73
2020-04-16,IQV,124.78,124.46,Bullish,2.76,7407.02
2020-04-20,GS,179.7,180.4,Bearish,0.93,7475.84
2020-04-22,ABMD,167.26,166.73,Bullish,1.17,7563.09
2020-04-23,HBAN,7.87,7.92,Bearish,-0.74,7507.07
2020-04-24,HBAN,8.1,8.16,Bullish,8.26,8127.34
2020-04-30,ZION,31.5,31.61,Bearish,1.12,8218.36
2020-05-05,GIS,59.7,59.81,Bearish,1.67,8355.41
2020-05-21,FOXA,27.61,27.62,Bearish,-0.98,8273.46
2020-05-22,FBHS,60.47,60.54,Bullish,-0.9,8198.82
2020-06-02,UNP,170.75,170.94,Bullish,2.54,8407.05
2020-06-09,PBCT,13.5,13.52,Bearish,4.41,8777.76
2020-06-18,DHR,175.75,176.0,Bearish,2.94,9035.41
2020-06-19,HSIC,60.24,60.42,Bullish,-0.88,8955.64
2020-06-23,WY,22.86,22.77,Bullish,-2.82,8703.54
2020-06-24,DISCK,19.7,19.68,Bearish,0.36,8735.04
2020-06-29,AIZ,100.53,100.6,Bullish,3.27,9020.62
2020-06-30,REGN,621.93,623.65,Bullish,-2.53,8792.14
2020-07-07,EMN,71.19,71.3,Bearish,1.8,8950.49
2020-07-08,T,30.46,30.46,Bullish,-1.1,8851.61
2020-07-14,EQR,56.9,57.02,Bearish,0.5,8895.86
2020-07-16,NLOK,20.21,20.17,Bearish,-0.84,8820.77
2020-07-17,LLY,166.04,165.96,Bullish,0.33,8849.91
2020-07-21,FBHS,69.3,69.15,Bullish,2.63,9083.04
2020-07-22,UPS,118.75,118.72,Bearish,0.48,9126.65
2020-07-24,CXO,53.43,53.46,Bullish,-1.59,8981.73
2020-07-30,HRB,14.8,14.85,Bearish,2.03,9163.79
2020-08-03,LYV,46.68,46.67,Bearish,-2.45,8939.71
2020-08-04,BAC,24.96,25.01,Bearish,-0.28,8914.99
2020-08-05,WFC,24.4,24.4,Bullish,0.17,8929.73
2020-08-06,WFC,24.2,24.24,Bearish,-3.9,8581.87
2020-08-12,VAR,173.73,173.42,Bullish,-0.1,8573.45
2020-08-17,COO,304.53,305.0,Bullish,0.45,8611.85
2020-08-18,EL,213.15,213.29,Bearish,0.29,8636.5
2020-08-20,ALB,91.07,91.05,Bearish,0.83,8708.08
2020-08-21,PSX,61.0,60.97,Bullish,3.92,9049.3
2020-09-17,WHR,177.09,176.74,Bearish,1.12,9150.96
2020-09-22,APA,12.19,12.24,Bullish,-9.39,8291.89
2020-09-28,PXD,88.05,88.31,Bullish,-1.32,8182.04
2020-09-29,GIS,59.87,59.86,Bearish,-2.92,7943.12
2020-09-30,AFL,36.25,36.35,Bullish,0.03,7945.3
2020-10-01,VZ,59.4,59.45,Bearish,0.08,7952.0
2020-10-02,CBOE,87.29,87.49,Bearish,1.57,8076.77
2020-10-05,ORLY,459.77,459.49,Bullish,-3.27,7813.0
2020-10-06,ORCL,59.51,59.51,Bearish,-1.37,7705.81
2020-10-09,UAL,37.05,37.12,Bearish,0.87,7773.0
2020-10-12,DAL,32.68,32.64,Bearish,0.41,7804.68
2020-10-15,CBOE,83.58,83.75,Bearish,1.64,7932.77
2020-10-16,DAL,31.4,31.47,Bullish,-0.63,7882.72
2020-10-20,NBL,4.18,4.18,Bearish,-0.0,7882.72
2020-10-21,EXPE,92.56,92.7,Bearish,-8.59,7205.85
2020-10-26,LLY,141.9,141.7,Bearish,0.84,7266.52
2020-10-28,NFLX,486.36,486.24,Bearish,-3.22,7032.84
2020-11-02,PG,138.51,138.5,Bullish,1.36,7128.75
2020-11-04,VZ,57.19,57.22,Bearish,-0.24,7111.54
