Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-29,EMN,70.51,70.83,Bullish,-0.4,9959.9
2020-02-04,ABC,87.15,88.09,Bullish,2.59,10218.04
2020-02-07,CMG,858.46,864.22,Bullish,3.39,10564.45
2020-02-11,SO,68.57,68.59,Bullish,0.41,10607.73
2020-02-12,ADS,104.6,104.63,Bullish,-0.07,10600.56
2020-02-13,CRM,188.5,188.64,Bullish,0.32,10634.15
2020-02-19,LVS,68.44,69.1,Bullish,-1.52,10472.65
2020-03-11,IR,23.18,23.49,Bullish,1.76,10657.43
2020-03-18,GPS,7.69,7.89,Bullish,5.35,11227.87
2020-03-24,ADI,89.78,93.73,Bullish,1.83,11433.86
2020-03-31,HOG,17.87,18.93,Bullish,-2.65,11131.28
2020-04-06,ALK,26.04,26.67,Bullish,-1.06,11013.67
2020-04-09,NTRS,84.88,84.89,Bullish,-0.97,10906.63
2020-04-15,BLL,66.99,67.64,Bullish,0.38,10948.61
2020-04-17,IPGP,117.74,119.05,Bullish,-0.38,10907.0
2020-04-23,ADM,35.59,35.74,Bullish,-0.25,10879.79
2020-04-27,LHX,190.64,192.7,Bullish,0.41,10923.87
2020-05-07,EXPE,65.1,66.46,Bullish,4.06,11366.93
2020-05-08,CERN,68.37,68.75,Bullish,-0.03,11363.6
2020-05-14,PEP,132.71,133.08,Bullish,1.63,11548.79
2020-05-21,WAT,185.18,185.26,Bullish,0.24,11576.08
2020-05-28,ATO,100.9,101.68,Bullish,1.77,11781.26
2020-05-29,CMG,1001.0,1003.91,Bullish,3.46,12189.2
2020-06-04,ODFL,165.41,165.94,Bullish,0.6,12262.21
2020-06-15,GILD,73.26,73.97,Bullish,0.04,12267.14
2020-06-18,CNP,18.28,18.35,Bullish,-4.61,11701.48
2020-06-26,TTWO,140.5,141.18,Bullish,-2.92,11360.15
2020-06-30,CHD,76.8,77.3,Bullish,0.52,11418.78
2020-07-06,MU,50.75,50.92,Bullish,-2.83,11095.57
2020-07-07,CPRI,15.38,15.53,Bullish,3.31,11462.54
2020-07-09,AMAT,63.08,63.49,Bullish,-1.09,11337.56
2020-07-10,FLIR,39.87,40.3,Bullish,-2.35,11071.55
2020-07-17,EQIX,717.3,724.23,Bullish,0.8,11160.15
2020-07-27,TXN,130.35,132.12,Bullish,-0.59,11094.5
2020-07-28,RSG,84.87,85.34,Bullish,1.18,11225.01
2020-07-30,ALB,82.47,83.0,Bullish,-0.18,11204.63
2020-08-04,CI,172.49,173.5,Bullish,-0.32,11168.86
2020-08-10,FLIR,37.37,38.03,Bullish,0.82,11259.9
2020-08-12,GPN,172.26,173.0,Bullish,0.58,11325.22
2020-08-13,FANG,44.45,44.58,Bullish,2.5,11608.35
2020-08-24,IPGP,150.93,151.74,Bullish,0.69,11688.78
2020-08-25,MSCI,364.06,365.53,Bullish,1.88,11908.63
2020-08-28,MRO,5.36,5.39,Bullish,-2.04,11665.59
2020-08-31,AAP,154.77,156.31,Bullish,0.39,11711.27
2020-09-02,ADS,45.18,46.07,Bullish,-1.91,11488.15
2020-09-08,GPC,96.57,97.56,Bullish,1.64,11676.77
2020-09-10,LW,61.59,62.0,Bullish,2.15,11927.26
2020-09-14,SYK,203.75,205.51,Bullish,2.09,12175.98
2020-09-25,BAC,23.28,23.49,Bullish,0.88,12283.06
2020-09-30,AES,18.04,18.11,Bullish,-1.75,12067.57
2020-10-08,CMCSA,45.09,45.3,Bullish,-1.17,11926.63
2020-10-13,WMB,19.32,19.42,Bullish,1.29,12080.08
2020-10-20,WMB,19.46,19.69,Bullish,-1.73,11870.96
2020-10-21,DLR,154.62,154.87,Bullish,-1.61,11680.0
2020-10-22,SEE,40.96,41.16,Bullish,-0.05,11674.34
2020-10-23,XYL,91.59,91.59,Bullish,-0.23,11647.19
2020-10-30,A,101.77,102.09,Bullish,1.66,11840.71
