Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-02-05,DIS,146.6,141.37,Bearish,-0.55,9945.04
2020-02-06,MTD,787.38,778.52,Bearish,-1.25,9820.96
2020-03-03,TWTR,36.02,34.93,Bearish,-0.67,9755.05
2020-04-06,EOG,40.68,39.43,Bearish,1.6,9910.66
2020-04-13,HES,41.77,39.91,Bearish,2.08,10116.82
2020-04-22,FLIR,41.86,39.84,Bearish,2.49,10368.98
2020-04-23,IFF,125.57,123.16,Bearish,-1.7,10193.07
2020-04-28,TSCO,104.76,102.94,Bearish,1.82,10378.15
2020-04-29,JWN,21.65,20.38,Bearish,5.1,10907.81
2020-05-06,MA,276.96,272.44,Bearish,-0.24,10881.9
2020-05-08,FMC,95.41,93.48,Bearish,0.25,10909.18
2020-05-19,INTU,290.89,286.75,Bearish,-0.64,10838.88
2020-05-27,SRE,128.49,124.9,Bearish,-0.05,10833.77
2020-05-28,CF,30.39,29.24,Bearish,-1.59,10661.39
2020-06-08,ADI,125.0,123.71,Bearish,-1.1,10544.34
2020-06-17,BXP,99.66,97.38,Bearish,0.78,10627.08
2020-07-02,STE,155.68,154.01,Bearish,1.2,10754.19
2020-07-06,AEP,83.11,82.12,Bearish,-1.34,10610.0
2020-07-09,NEM,64.27,62.73,Bearish,1.2,10737.06
2020-07-31,CE,97.97,97.2,Bearish,0.68,10810.01
2020-08-12,AFL,38.94,37.62,Bearish,-1.72,10623.58
2020-08-18,BBY,111.89,110.52,Bearish,-1.17,10498.78
2020-08-24,MCO,286.44,284.22,Bearish,0.22,10522.27
2020-09-04,OMC,54.56,54.08,Bearish,0.26,10549.56
2020-09-11,ORCL,60.71,57.0,Bearish,2.3,10792.24
2020-09-16,MDT,107.95,107.49,Bearish,-0.53,10734.88
2020-09-29,STE,173.47,172.82,Bearish,-1.84,10536.94
2020-10-06,HAS,83.92,83.05,Bearish,-0.76,10456.93
2020-10-09,PRU,68.93,67.88,Bearish,-1.18,10333.06
2020-10-12,WHR,202.73,200.91,Bearish,-0.23,10309.4
2020-10-14,MNST,83.79,82.8,Bearish,0.54,10364.84
2020-10-22,FB,279.87,278.12,Bearish,-2.15,10142.15
2020-11-04,CERN,74.89,72.1,Bearish,1.63,10307.51
