Date,Symbol,Open,Close,Trend,Percent Change,Balance
2020-01-06,ES,83.05,83.31,Bearish,0.74,10074.43
2020-01-07,MKC,170.73,168.28,Bullish,-1.12,9961.94
2020-01-08,CFG,39.49,39.76,Bearish,0.1,9971.89
2020-01-09,SRE,149.76,148.82,Bullish,0.34,10005.96
2020-01-10,KSU,159.75,158.25,Bullish,1.14,10120.34
2020-01-13,BAC,34.84,35.06,Bearish,-0.06,10114.61
2020-01-14,AIV,51.72,51.35,Bullish,1.14,10230.37
2020-01-15,VFC,96.44,95.71,Bullish,-1.32,10095.6
2020-01-16,IR,34.74,35.11,Bearish,-0.8,10015.29
2020-01-21,WU,27.71,27.32,Bullish,0.07,10022.56
2020-01-22,GILD,62.8,63.4,Bearish,-1.09,9913.22
2020-01-23,EBAY,35.82,35.61,Bullish,-1.2,9794.12
2020-01-27,HSY,154.12,152.85,Bullish,-0.16,9778.06
2020-01-28,PPL,36.33,36.64,Bearish,-0.05,9772.73
2020-01-29,KMB,144.84,143.2,Bullish,0.86,9857.24
2020-02-03,ABBV,81.31,82.3,Bearish,-0.92,9766.44
2020-02-06,PSA,222.21,224.03,Bearish,-0.02,9764.27
2020-02-07,ECL,206.98,205.64,Bullish,-0.02,9761.89
2020-02-11,DD,52.1,52.69,Bearish,-1.21,9643.81
2020-02-12,ATO,118.88,117.94,Bullish,1.33,9772.2
2020-02-13,LEG,45.69,45.46,Bullish,0.44,9815.25
2020-02-14,VRTX,241.24,243.82,Bearish,-0.41,9774.77
2020-02-18,ALL,125.4,124.3,Bullish,-0.27,9748.1
2020-02-19,TEL,92.47,93.38,Bearish,-0.62,9687.93
2020-02-20,TROW,138.91,137.74,Bullish,-1.0,9591.5
2020-02-21,XEL,70.72,70.82,Bearish,1.84,9768.11
2020-02-24,PKG,100.36,98.94,Bullish,-5.06,9274.29
2020-03-02,SJM,103.5,106.74,Bearish,0.35,9306.48
2020-03-03,TXN,118.38,113.81,Bullish,2.83,9570.15
2020-03-04,CMG,764.43,769.76,Bearish,2.99,9856.74
2020-03-05,WELL,78.53,76.17,Bullish,-0.23,9834.14
2020-03-11,ABMD,161.68,151.13,Bullish,-4.26,9414.84
2020-03-13,WBA,42.72,46.19,Bearish,-7.74,8685.78
2020-03-17,HBI,8.52,9.8,Bearish,-0.0,8685.78
2020-03-18,TTWO,111.65,106.62,Bullish,-0.84,8612.9
2020-03-19,DVN,5.51,6.55,Bearish,9.79,9456.29
2020-03-20,PEAK,20.55,20.96,Bearish,3.06,9745.77
2020-03-23,PPG,78.38,72.5,Bullish,8.22,10546.57
2020-03-24,WRB,45.52,48.1,Bearish,0.73,10623.68
2020-03-26,CPB,41.66,43.59,Bearish,-2.79,10327.13
2020-03-27,ZBRA,192.71,184.57,Bullish,1.15,10445.82
2020-03-30,VIAC,12.97,14.09,Bearish,0.43,10490.36
2020-03-31,ETR,98.71,93.97,Bullish,-4.88,9978.5
2020-04-01,EA,98.38,97.53,Bullish,4.27,10404.69
2020-04-06,HOG,15.69,16.73,Bearish,2.61,10676.12
